Generation,Average,Best,Updates
0,66.8,665,0
1,124.35,685,0
2,125.7,650,0
3,532.5,1160,0
4,313.75,860,0
5,546.95,1175,0
6,499.85,1075,0
7,372.15,1095,0
8,353.7,910,0
9,498,1145,0
10,613.3,1125,0
11,734,1170,0
12,517.45,1180,0
13,736.65,1495,0
14,625.2,920,0
15,555.8,1365,0
16,510.35,1280,0
17,262,1220,0
18,506.35,1000,0
19,532.15,1000,0
20,384.4,980,0
21,627.05,1180,0
22,502.8,1040,0
23,466.85,1260,0
24,832.55,1545,0
25,307.6,1305,0
26,653.15,1360,0
27,691.05,1405,0
28,527.05,1545,0
29,365.45,1110,0
30,563.4,1375,0
31,511.7,1465,0
32,566.65,1355,0
33,543.05,1470,0
34,700.15,1290,0
35,535.1,1030,0
36,586.6,1150,0
37,634.35,1245,0
38,505.05,1085,0
39,546.85,1240,0
40,337.8,960,0
41,745,1515,0
42,781.15,1485,0
43,657.7,1505,0
44,447.55,1630,0
45,460.45,1330,0
46,779.8,1400,0
47,814.5,1475,0
48,596.5,1330,0
49,723.25,1440,0
50,860.7,1840,0
51,786.7,1615,0
52,344.45,1335,0
53,798,1435,0
54,654.7,1530,0
55,825.7,1380,0
56,755.85,1925,0
57,782.75,1485,0
58,437.65,1345,0
59,538.7,1340,0
60,753,1535,0
61,728.75,1675,0
62,777.3,1515,0
63,771.6,1480,0
64,720.75,1355,0
65,857,1315,0
66,523.9,1495,0
67,968.6,1570,0
68,873.25,1585,0
69,635.15,1275,0
70,922.35,1595,0
71,719.7,1565,0
72,964.3,1440,0
73,681.75,1185,0
74,892.55,1405,0
75,854.25,1445,0
76,592.5,1415,0
77,743.15,1655,0
78,935.65,1790,0
79,741.35,1485,0
80,682.55,1250,0
81,823.5,1670,0
82,559.3,1555,0
83,677.1,1660,0
84,604,1295,0
85,824.05,1540,0
86,716.9,1305,0
87,719.1,1800,0
88,857.1,1440,0
89,803.9,1890,0
90,765.15,1520,0
91,679.7,1325,0
92,826.65,1770,0
93,794.75,1485,0
94,800.35,1540,0
95,542.15,1375,0
96,676.5,1400,0
97,812.25,1810,0
98,961,1830,0
99,883.15,1385,0
100,699.65,1220,0
101,703.8,1600,0
102,1048.4,1855,0
103,843.7,1430,0
104,990.6,1670,0
105,884.45,1490,0
106,869.15,1510,0
107,834,1345,0
108,777.55,1415,0
109,860.9,1765,0
110,848.2,1715,0
111,1024.95,1955,0
112,801.7,1495,0
113,853.1,1700,0
114,741.05,1365,0
115,666,1440,0
116,688.2,1460,0
117,909.8,1730,0
118,795.55,1470,0
119,898.55,1625,0
120,967.2,1515,0
121,990.45,1945,0
122,794.1,1605,0
123,789.95,1865,0
124,966.3,1750,0
125,912.95,1875,0
126,912.65,1510,0
127,1004.1,1835,0
128,919.05,1425,0
129,1041.7,1710,0
130,704,1345,0
131,686.95,1495,0
132,991.85,1765,0
133,885.45,1390,0
134,714.25,1755,0
135,926.35,2040,0
136,1137.55,1880,0
137,976,1730,0
138,859,1375,0
139,912.8,1860,0
140,1277.05,2245,0
141,1059.85,2395,0
142,729.05,1595,0
143,1079.6,2100,0
144,768.1,1645,0
145,1268.9,2355,0
146,579.75,1910,0
147,1089.1,1790,0
148,947.3,1975,0
149,1152.55,1815,0
150,873.1,1905,0
151,866.15,1520,0
152,672.7,1335,0
153,1018.4,2135,0
154,760.75,1805,0
155,927.65,1965,0
156,748.55,1685,0
157,828.15,1635,0
158,969.45,1805,0
159,736.85,1545,0
160,765.35,1515,0
161,882.95,1845,0
162,928.7,1625,0
163,1059.9,1720,0
164,996.75,1875,0
165,1014.4,1770,0
166,1239.05,2190,0
167,1011.55,1925,0
168,1042.75,1690,0
169,746.4,1460,0
170,973.2,2000,0
171,848.4,1600,0
172,900.75,1525,0
173,1201.6,1970,0
174,892.25,1925,0
175,1053.2,2195,0
176,1037.15,1950,0
177,835.3,1780,0
178,899.1,1745,0
179,790.55,1580,0
180,990,2045,0
181,934.9,1845,0
182,1061.9,1805,0
183,905.5,1765,0
184,873,1970,0
185,647.7,1740,0
186,957.95,1900,0
187,694,1685,0
188,995.1,1485,0
189,988.95,1725,0
190,783.65,1680,0
191,1132.75,1785,0
192,958.05,1970,0
193,1041.9,1900,0
194,1198.8,2155,0
195,1159.25,1885,0
196,1070.45,1840,0
197,867.7,1790,0
198,1217.25,1950,0
199,872.2,1325,0
200,1214.95,2130,0
