Generation,Average,Best,Updates
0,379.8,1135,66033
1,202.1,550,34353
2,17,50,5544
3,50.25,75,6633
4,40.85,560,13563
5,170.75,365,39501
6,72.25,280,22968
7,122.25,505,33462
8,605.35,1340,117612
9,140.95,1060,30294
10,417.1,1075,79992
11,166.8,1130,36234
12,83.7,505,22968
13,380.2,1005,74646
14,199.85,570,36630
15,219.2,610,43659
16,96.3,405,28512
17,392.4,780,80487
18,125.3,490,30492
19,384.25,1265,73359
20,433.4,1100,89496
21,246.1,1035,39798
22,105.15,345,20097
23,164.45,735,22275
24,442.9,1170,61578
25,423.15,870,69003
26,567.75,1030,99396
27,539.5,1560,89991
28,355.85,1105,80784
29,212.35,540,47025
30,542.7,1315,94347
31,144.9,720,31284
32,828.8,1465,158301
33,476.05,1215,102861
34,714.8,1490,141570
35,496.9,1615,95337
36,64.05,595,14949
37,75.8,460,20097
38,408.1,995,61875
39,385.8,1170,78804
40,522.25,1305,95832
41,476.45,1265,90486
42,461.6,1220,86031
43,503.9,965,101871
44,158.1,1435,33165
45,551.45,1240,92367
46,455.85,1235,101178
47,201.7,1100,43263
48,10.9,210,2079
49,56.35,510,18018
50,365.15,890,76527
51,98.6,525,24849
52,410.1,1500,79695
53,449.2,930,81873
54,421.95,1145,76824
55,651.6,1790,109197
56,642.75,1355,120285
57,536.3,1225,110286
58,358.9,990,81477
59,432.2,1220,90684
60,165.75,665,34353
61,224.75,685,43560
62,44.9,335,7425
63,168.95,455,26631
64,135.9,505,25146
65,57.45,480,10395
66,240.3,850,48312
67,180.1,350,39798
68,171.3,715,48015
69,422.4,1240,91872
70,2.35,235,495
71,393.4,1070,79596
72,517.75,1620,106623
73,642.35,1730,100782
74,253.6,815,55836
75,521.25,1410,97614
76,362.75,1280,82071
77,575.45,1565,102267
78,517.55,1480,85932
79,693.2,1920,127611
80,438.95,935,64746
81,279.35,670,41481
82,843.75,1810,162162
83,780.35,1510,128403
84,25.65,725,5049
85,478.05,1390,115137
86,949.45,1940,180477
87,465.25,1290,74943
88,475.4,1575,88308
89,761,1375,141075
90,618,1770,121374
91,1108.15,2230,193941
92,655,1990,137511
93,610.8,2190,122562
94,923.95,1650,163845
95,655.5,1210,137016
96,354.6,805,68805
97,185.55,610,29007
98,994.35,1390,197604
99,964,1710,176913
100,596.15,1340,122661
101,918.45,1755,175923
102,581.65,1240,119295
103,65.55,1005,17325
104,931.2,1510,156618
105,1026.25,2105,216711
106,721.4,1490,135828
107,900.75,1815,150084
108,978.5,2195,184536
109,602,1480,123354
110,940.8,1580,159687
111,381.45,1815,83160
112,410.4,1425,88407
113,1003.45,1765,183051
114,1146.05,2275,199683
115,646.8,1550,117414
116,906.05,1840,180873
117,1200,2300,217602
118,927.3,1975,161271
119,1112.55,2165,202455
120,1071.55,1860,192060
121,306.5,2370,56826
122,972.5,1955,187209
123,1086.2,1970,189486
124,1018.1,2060,187506
