Generation,Average,Best,Updates
0,256.45,1090,57222
1,124.4,645,19800
2,181,325,22374
3,27.7,420,7128
4,59.55,310,13662
5,18.35,60,6633
6,46.15,195,6039
7,38.6,275,11880
8,58.75,300,16335
9,38,585,15147
10,220.75,445,44748
11,33.75,150,4455
12,442.9,695,84249
13,151.4,810,28116
14,590.3,1425,99594
15,517,1185,100188
16,295.45,1090,44352
17,394.3,1045,80388
18,651.15,1745,118701
19,523.55,1455,89595
20,236.35,1130,57618
21,332.2,900,64053
22,35.25,800,5148
23,64.5,725,14949
24,323.45,945,54153
25,62.75,125,8316
26,79.25,400,18513
27,26.55,260,5742
28,289.35,510,42570
29,126.2,695,25443
30,178.65,560,35046
31,92.95,575,17127
32,329.5,985,60885
33,302,770,48609
34,513.05,1495,92466
35,573.95,1430,96228
36,424.2,1320,72072
37,348.35,1020,59994
38,683.2,1340,141768
39,577.25,1430,95931
40,793.9,1375,141471
41,287.55,755,35838
42,237,705,43461
43,283.55,1605,54450
44,443.75,1655,83160
45,612.45,1530,102267
46,223.4,900,45342
47,169.8,810,21780
48,619.45,910,91476
49,128.6,320,20394
50,188.15,260,41085
51,305.1,440,38115
52,411.95,675,79992
53,912.15,1495,157212
54,593.25,1445,92763
55,697.6,1545,124641
56,1046.2,2220,179784
57,875.45,1805,143352
58,794.05,1650,155925
59,742.25,1555,153549
60,389.85,1485,69795
61,904.6,1915,172359
62,585.55,1710,108009
63,715.1,1850,117414
64,18.6,980,4059
65,722.95,1995,105633
66,1051.6,1980,173250
67,906,1920,163251
68,65.4,900,16335
69,660.35,1565,117513
70,712.2,1810,138798
71,718.65,2160,150876
72,947.7,1860,180180
73,517.45,1460,95238
74,585.7,1155,102465
75,93.5,875,16731
76,527.45,1190,98406
77,267.4,1120,45045
78,754,1855,123849
79,673.05,1660,114048
80,130.95,995,23562
81,747.25,1350,136917
82,1208.35,2320,196911
83,344.1,1350,56826
84,194.75,550,29205
85,1191.95,2180,211068
86,810.5,1920,150777
87,725.65,1725,137907
88,37,725,11682
89,511.75,1135,99000
90,420,1120,87714
91,341.95,985,67320
92,273.55,595,56925
93,191.85,745,39798
94,246.8,600,46233
95,470.9,1185,87021
96,351.15,1045,57024
97,164.25,775,36234
98,323.55,900,50688
99,145.1,395,30294
100,1062.2,2110,203247
101,900.7,1920,183249
102,1068.4,1815,199881
103,969.65,1790,180675
104,1760.95,2555,275121
105,704.15,1640,151767
106,1466.5,2295,264726
107,923.3,1770,161964
108,430.35,1250,78804
109,686.9,1625,121374
110,889.75,1895,177903
111,1019.4,1945,177804
112,818.05,1750,150876
113,150.3,1020,36234
114,961.25,1610,170676
115,927.35,2200,169092
116,723.8,1870,127710
117,1069.85,1955,176220
118,501.95,1555,113652
119,984.55,2220,182853
120,835.35,1755,150975
121,914.7,1765,170874
122,697.6,1725,131967
123,1001.4,2165,171270
124,297.1,900,60093
125,351.95,1125,73557
126,873.1,1620,153846
127,906.6,1645,166815
128,562.65,1660,102069
129,469.65,1320,92070
130,704.35,2390,119493
131,534.1,1600,95931
132,381.65,1095,71577
133,401.3,1280,72171
134,1088,2465,201267
135,817.15,1420,132165
136,285.95,885,48114
137,752.35,1530,145728
138,382.35,1960,63063
139,141.9,910,26334
140,371.1,1245,52668
141,518.3,1665,120681
142,104.15,815,15642
143,714.95,1860,127611
144,482.1,1750,72666
145,936.6,1960,173646
146,500.15,2005,69399
147,253.4,1330,45144
148,16.85,335,10890
149,252.75,1050,37818
150,687,1610,112860
151,775.65,2235,157509
152,591.15,1685,101079
153,1300.65,2250,239283
154,535.45,1270,95337
155,838.9,1830,136620
156,301.9,1670,50589
157,353.7,1320,83853
158,84.55,780,15246
159,965.6,2110,172656
160,829.35,2340,136422
161,1045.45,2065,169389
162,1328.8,2010,253737
163,799.2,1415,149292
164,1164.55,1895,218097
165,1136.8,2680,172359
166,1127.1,2225,196614
167,1427.3,2205,249381
168,201.65,1395,33264
169,563.65,1360,115830
170,161.4,855,19899
171,242.05,845,31581
172,634.95,1080,108009
173,827.65,1505,138204
174,488.2,1220,103158
175,256.6,570,44154
176,426.3,810,69894
177,650.05,1510,135036
178,499.4,1035,78210
179,452.65,1655,72270
180,623.45,1620,116919
181,860.55,1655,145629
182,1062.45,1775,181764
183,341.4,1630,55143
184,799.3,1485,154440
185,864.9,1880,158499
186,425.75,1320,65241
187,162.15,680,33858
188,578.65,1465,86922
189,237.45,1195,43758
190,465.1,950,70389
191,421.25,1100,68607
192,560.35,1600,104346
193,117.05,375,19701
194,481.85,1010,98109
195,246.05,635,39105
196,473.35,945,90387
197,680,1415,126720
198,636.2,1560,90882
199,604.35,1380,101574
200,445.3,920,94347
