Generation,Average,Best,Updates
0,246.9,600,50094
1,33.2,705,6534
2,110.25,635,23166
3,221.25,635,32175
4,305,620,58311
5,171.35,435,28116
6,103.5,360,12870
7,141.3,505,32274
8,494.55,875,103356
9,606.35,1095,103455
10,641.65,1160,105732
11,458.55,775,68607
12,491.2,1295,92070
13,693.25,1385,118899
14,116.4,1380,21384
15,647.35,1405,132462
16,628.3,1520,121572
17,178,1265,38313
18,850.6,1495,187506
19,396.5,1005,85734
20,919.45,1385,147510
21,1067.15,1930,179784
22,975.15,1360,165231
23,484.6,1090,105831
24,791.35,1435,139986
25,182.6,585,38313
26,979.05,1850,169587
27,775.4,1445,144540
28,973.3,1565,199485
29,569.25,1105,103356
30,504,995,86328
31,513.2,1090,105138
32,798.35,1590,140877
33,869,1845,181566
34,226.9,1015,51084
35,335,725,58509
36,364.5,990,81576
37,706.7,1355,124245
38,780.9,1335,167508
39,321.35,1140,68706
40,869.3,1505,174735
41,698.55,1390,139293
42,612.95,885,114741
43,368.3,820,67221
44,484.75,1070,78507
45,330.15,855,67320
46,198.15,785,37620
47,689.5,1550,106623
48,634.55,1450,126126
49,1022.85,1815,192555
50,443.45,1390,113157
51,810.3,1695,159687
52,565.75,1575,113157
53,589.4,1655,99000
54,1151.4,1915,233244
55,862.35,1715,170973
56,873.4,1615,176319
57,734.6,1380,144837
58,883.1,1890,162162
59,611.5,1585,117612
60,891.65,1650,169488
61,587.05,1530,107514
62,365.35,1275,74448
63,1083.05,1635,239481
64,616.25,1745,145728
65,269.5,905,51381
66,1130.45,1900,212949
67,506.75,1275,103950
68,632.85,1590,120285
69,176.1,680,35145
70,1130.9,1955,218988
71,852.65,1785,146223
72,717.95,1300,165528
73,395.75,1370,91575
74,816.7,1550,158301
75,762.65,1910,165627
76,367.7,1015,85239
77,584.65,1040,121869
78,426.75,1160,94050
79,455.55,1520,96723
80,259.35,1425,61776
81,341.2,1095,82962
82,625.85,1150,122067
83,210.2,1070,37026
84,539.6,990,108603
85,815.15,1595,182457
86,314.9,860,54549
87,649.25,1675,119889
88,438.45,1630,92565
89,405.6,1375,84942
90,380.55,1640,85437
91,572.1,1430,122661
92,656.5,1970,140382
93,604.05,1175,116226
94,597.45,1205,111177
95,386.75,1085,98703
96,464.55,855,100683
97,397.25,1055,104841
98,416.8,1350,97515
99,455.15,1225,99792
100,393.25,960,91080
101,586.75,1475,110880
102,820.4,1345,184932
103,664.75,1500,139788
104,984.5,1925,225720
105,977.7,1505,197406
106,756.2,1130,166518
107,561.7,1030,104445
108,808.25,1275,149193
109,873.4,1690,192060
110,424.05,1440,93753
111,978.1,1830,208395
112,976.9,1600,206118
113,1063.7,2160,204930
114,231.1,1295,62865
115,1037.6,1695,224631
116,972.45,1655,174537
117,836.85,1685,152757
118,703.05,1365,154440
119,671.2,1725,125829
120,570.25,1300,89595
121,789.45,1525,181566
122,478,1135,115731
123,381.05,1155,78309
124,296.2,935,72468
125,467.4,960,105336
126,267.85,800,57420
127,538.05,965,111177
128,679,1320,131373
129,814,1460,167013
130,1002.35,2075,190773
131,1056.5,1930,203643
132,1082.2,1630,217305
133,680.3,1315,126720
134,392.75,1120,68706
135,234.15,935,40887
136,342.8,695,57519
137,297.1,710,39699
138,661.65,1560,129393
139,37,295,15147
140,772.2,1615,169092
141,749.5,1815,118701
142,324.4,1010,80388
143,1163,1965,248589
144,542.2,1285,103356
145,516.95,1850,112563
146,373.55,1125,77220
147,1471.3,2020,267696
148,730.2,1350,141273
149,598,935,122661
150,659.65,1615,127314
151,434.6,1045,104346
152,701.05,1475,178695
153,241.6,645,59103
154,495.7,1520,95832
155,729.6,1730,158301
156,630.85,1565,128007
157,678,1915,138600
158,729.7,1425,137610
159,306.3,710,44946
160,923.7,1860,180180
161,582.15,1425,124938
162,434.9,1205,76230
163,405.7,1275,83952
164,540.5,1375,106524
165,733.65,1160,166518
166,818.45,1290,169290
167,147.65,420,32769
168,725.05,1215,166122
169,444.5,790,114345
170,374.1,1345,58311
171,576.8,1020,108405
172,771.8,1470,162459
173,676.9,1375,162360
174,506.9,1065,111969
175,1034,1760,189288
176,852.65,1655,189981
177,187,720,37818
178,378.65,895,57123
179,385.85,870,76923
180,595.05,1280,87318
181,408,510,69003
182,779.4,1740,181368
183,494.25,1145,120384
184,996.1,1580,180972
185,198.5,705,70290
186,1096.45,1745,223344
187,823.45,1465,165627
188,1076.65,1695,227403
189,873.1,1610,184734
190,592.9,1120,107613
191,628.1,1425,137610
192,602.7,1465,145728
193,1038.6,1615,231660
194,416.45,1615,80487
195,149.3,905,21087
196,571.4,1375,122562
197,402.35,970,89298
198,315.3,680,59103
199,493.8,1585,83754
200,393.9,1160,89793
