Generation,Orientation Variance,Velocity Variance
1,0.0265804917325428,0.00503934433514659
2,0.0142982400763948,0.00404671603906977
3,0.0189759102049961,0.00810184755076346
4,0.00236247787088727,0.000323299672339879
5,0.00117910330081129,0.000819043437253228
6,0.00318021274702289,5.29564218295694E-05
7,0.00172089991641819,0.000404053491552135
8,0.00170310581941488,3.92368598064804E-05
9,0.00169057986726325,0.000202746995268585
10,0.000560121351112553,1.70220371733878E-05
11,6.22992221739827E-05,0.000282776842635064
12,0.000681599750278439,2.79834387377186E-05
13,0.000214975888091821,3.50610526104052E-06
14,0.00109512988541805,0.000717816313861957
15,0.000576080755469495,2.16398036110342E-06
16,0.00048970297771815,7.54153479141859E-07
17,0.000199002691165583,0.000411602067058448
18,0.00028459541889386,0.00134417336372019
19,0.000483794756990017,6.59465254575095E-05
20,0.000122329800393814,0.000134758372656186
21,0.000207462674492449,1.22437689315645E-05
22,0.000220900371328215,1.27038355822493E-06
23,0.000147200877309644,1.4794218605008E-05
24,0.000273695174850515,1.69711974962049E-05
25,0.000423140472153799,0.000512647570953219
26,0.000904330822139664,6.50311680142677E-05
27,0.000303437463350726,0.000406644696596791
28,9.04699205322251E-05,3.44322073491293E-06
29,0.00013388843604931,5.61111302129945E-07
30,0.000269039258782368,4.89430703919112E-05
31,0.000102197402691702,8.6792101186008E-06
32,0.000247088375367036,6.92772048492042E-08
33,0.000196292885151574,1.63232965953894E-06
34,0.000433338540715033,6.77821404517944E-08
35,0.000320894744008467,4.7088924119623E-06
36,0.000437037173540081,9.25420304751859E-07
37,0.000366261310154246,7.81458207297593E-08
38,0.000191856578961573,2.26980767502478E-07
39,0.00070034558114468,1.78566217443605E-05
40,0.000251368382055989,0.000129631650390124
41,0.000228447841845947,0.000270077515310401
42,0.00026364802498982,3.75264785150991E-05
43,0.000148582867218414,0.000110674064201806
44,0.000482870199730392,0.000322092960981556
45,0.0016599145429869,0.000753618888158929
46,0.000333392370876438,5.24019242169756E-07
47,0.000534868521502529,2.68963230235175E-06
48,0.000444190908276872,1.37649354096542E-05
49,0.000643599351848802,0.000457059051379789
50,0.000963555706258098,0.00102000920505594
51,0.00024898307043906,2.56022262685532E-06
52,0.000127400850833351,1.21226861347789E-06
53,0.000321935491329903,2.37104902376253E-05
54,0.000420216383460451,3.23562172807436E-07
55,0.000227951380089841,0.000110178880708674
56,0.000620047044174528,6.55416266699663E-06
57,0.000197982049321654,7.03894610360184E-05
58,0.000183405559425896,3.09258021491988E-06
59,9.01079627135345E-05,1.31158986630255E-05
60,0.000181184389463678,9.48816788487565E-06
61,0.000215548413581634,1.54430371469651E-05
62,0.000752962500563207,1.30530939056312E-07
63,0.000104913727390865,1.24979368921286E-05
64,0.000170845434329813,3.9010337105658E-07
65,0.00015984107957827,7.34966768984214E-08
66,0.00040704199055737,0.000531006707140564
67,0.000520039314051202,0.000151544062205851
68,0.00066617377588245,3.2482655235286E-05
69,0.0017190248232736,7.77594980778817E-05
70,0.00052792991277872,9.79248598644068E-05
71,0.000717211642987311,7.94647899841112E-06
72,0.00018443837433325,0.00102473494516101
73,0.000714027256233248,2.94787554826539E-06
74,0.000657358062789913,2.58179970521016E-06
75,0.000337815061049882,9.33999853633273E-06
76,0.000310789245941807,7.08650522034103E-06
77,0.000662941341387071,1.06844995134413E-06
78,0.000786510803947584,2.01578658243056E-05
79,0.000397121427603533,4.38355636809603E-05
80,0.000680474443931197,5.89596563345854E-07
81,0.001445224901752,1.63770362486202E-06
82,0.000721041288356015,1.09679680951152E-05
83,0.00341909161653444,1.33327465330099E-05
84,0.000906561182157309,8.0438555068152E-07
85,0.000597681689517767,2.75280050239224E-05
86,0.000410391713830305,6.43830159288546E-05
87,0.000285271519845884,2.54384045848536E-06
88,0.000593083906062681,6.02605815606261E-07
89,0.000131633348483934,1.10886163723441E-06
90,0.00052515373462242,1.28769907842735E-05
91,0.000435980229915398,1.18766639454269E-06
92,0.000346324482596678,9.3045535300537E-09
93,0.00064737690805111,8.11232247576251E-06
94,0.000511308229569515,2.04544414312102E-07
95,0.00320059003525275,7.10684674006227E-05
96,0.00344661187245379,0.000170192181065005
97,0.00331982581209109,6.56494543418886E-05
98,0.000889784363333756,1.54568595740348E-05
99,0.0013643228641039,0.000169937654300665
100,0.000495666922536815,1.32859265113327E-06
101,0.0016968449192151,0.000177142808024218
102,0.00024526486123705,7.71576559603231E-06
103,0.000114737519502879,7.77820943731583E-06
104,0.000463169401249168,2.27889465893232E-05
105,0.000389620460705418,4.13024189430088E-06
106,0.000350626324609115,6.52054725659139E-06
107,0.000371308546381304,1.98849422411095E-06
108,0.000529316297761569,3.1404657899025E-06
109,0.000520196162984994,4.07714208422515E-07
110,0.00107525606938914,8.12933183443309E-07
111,0.000700869441042114,5.61083191657265E-08
112,0.000718834819019773,2.55204778981627E-06
113,0.000981169200424168,6.62450266028173E-08
114,0.000607119742553644,6.96145480280176E-05
115,0.000198769989245676,1.79440612880611E-07
116,0.000150576996974674,2.3458427434107E-07
117,0.000123601271013655,0.000100298917373907
118,0.000803335504843428,1.00372963080253E-07
119,0.000287211742790229,5.63898216367694E-05
120,0.000931071942393343,1.64749770551168E-07
121,0.000982397079353473,7.34700485898988E-06
122,0.000382203502075817,4.36088597662226E-08
123,0.000973534061797794,2.53470913030393E-06
124,0.00191713905754684,1.35562143137193E-07
125,0.000662580888221051,1.62075216767281E-05
126,0.00140813125686565,1.2053425357906E-06
127,0.00013351149590137,1.99298377640863E-07
128,0.000552681779038238,0.000502345790305198
129,7.79519221297142E-05,3.78046124198146E-07
130,0.000986835259953916,3.95986891570318E-06
131,0.00110149313630772,1.02255149445843E-05
132,0.000520840581459051,8.27310750938938E-07
133,0.00110116938887409,3.46949521171985E-05
134,0.00155831027498535,0.000141345429151209
135,0.00220293981925388,2.83392089557897E-06
136,0.00111484655319378,2.27015258615586E-07
137,0.000582231164516771,5.62706099971031E-08
138,0.000733515618121298,1.64497438781986E-05
139,0.00146540943794657,9.84880255742534E-06
140,0.0017853648593079,4.38466186387974E-06
141,0.00133157306529316,1.60689088555859E-05
142,0.00251716815074371,1.13287580743697E-05
143,0.000821323628587773,0.000246259571915478
144,0.000802009874708716,0.000112459575268952
145,0.000708453902191705,0.000154552318258784
146,0.000226936609192938,0.000199549555535399
147,0.00111023231093837,8.67736325160618E-05
148,0.000490598213489533,0.000308566073330482
149,0.000586645529900049,0.000394459292893813
150,0.000705603777545776,0.000436353305861741
151,0.00194175984415363,0.000210756612663581
152,0.000472951754149184,2.83418406994485E-05
153,0.000110103356446457,0.000176927257167028
154,0.00107445834567172,1.94290880744401E-05
155,0.00290694048870231,0.000181416379103575
156,0.00175246467380008,9.01166819177441E-06
157,0.00118778338374294,0.000826914270857442
158,0.000357432941962793,7.17206844867731E-05
159,0.00036212802607937,3.71234862599579E-05
160,0.000373135456045118,5.15763233619299E-05
161,0.000885317230124974,0.000280069518443936
162,0.000858940652714292,5.21406673894155E-06
163,0.000767538716179583,0.000130330230696395
164,0.000547794109188313,0.000323648782570838
165,0.000289462323224363,0.00023921926597396
166,0.0023320208829451,3.90228369831661E-05
167,0.000370531188838378,0.000170990458945129
168,0.000594104023558933,0.000214337627619496
169,0.00166532506969182,4.68144702626295E-05
170,0.0019911908171602,0.000258928808879824
171,0.00105264049260299,0.00132525467131594
172,0.00108217265039519,0.000563439127456918
173,0.00147901982800123,0.00020863547744877
174,0.00120355923969887,0.000943084640059575
175,0.00156450876819666,7.40412734763749E-05
