Generation,Orientation Variance,Velocity Variance
1,0.0513148865517522,0.0190584997061944
2,0.0307641263550585,0.00877639785795981
3,0.0115748277703982,0.00700806859636115
4,0.0163767755542907,0.0064560110495136
5,0.00373690959472682,0.000552709526867313
6,0.00220580313784077,0.000301213452130394
7,0.00262286199089751,0.000267242157266354
8,0.00229843613125751,0.00010080504804694
9,0.00427650929776787,0.000127129353465608
10,0.00142372303944044,0.000141391226755061
11,0.000507966439659422,5.69342078995219E-05
12,0.000203054703552539,0.0010259405723916
13,0.000611220306474083,4.3802805972253E-05
14,0.000188201550780337,0.000272755430788925
15,0.0009059696082758,1.00240236211427E-05
16,0.000570846629021665,0.000333145064865046
17,0.00037426730534651,0.000102110786719622
18,0.000345190389649485,2.04718892064443E-05
19,0.000227292858539504,4.76990459987627E-06
20,0.000534428139371086,0.000117148871132495
21,0.000166648016373517,1.85967240291758E-05
22,0.000496826939920709,4.02147855960119E-05
23,0.000125958074285108,1.03153438029225E-05
24,0.000348639450602513,1.16502376427526E-05
25,0.000210426094159344,0.000312617099802998
26,0.000433753139431105,0.000648540541958102
27,0.000774025256192847,4.47096967908852E-06
28,0.000334154241223154,1.21955059964986E-06
29,0.000248905992636122,5.03166790036771E-05
30,0.00017076609773609,6.09274269734224E-05
31,0.000174742337288828,1.10932577772254E-06
32,0.000109362678691102,0.000427463775447632
33,0.000311114568758155,1.65524544631215E-06
34,0.000265267343259023,1.1001825853391E-05
35,0.000494453030020845,1.73563941346808E-07
36,0.000240371752923198,7.13821560380967E-06
37,0.000516028665903637,4.30164228074198E-06
38,0.000330686129515398,2.8427980589298E-07
39,0.000159925068068107,0.000266876979357002
40,0.000913299866070547,1.31728839490219E-05
41,0.000457332119348874,4.5596613738111E-06
42,0.000504606862253205,2.8885203103391E-05
43,0.000412205119253378,9.89811829664806E-06
44,0.000322178142724464,5.81728038627035E-07
45,0.000475650835445949,2.63578659214321E-05
46,0.00186065805058751,6.39358475834149E-08
47,0.000473281546577637,0.000223862037574592
48,0.000527033143801209,1.78725329348637E-05
49,0.000342001652047851,2.53331843995198E-06
50,0.000754465654947958,0.000455198419578777
51,0.000358604898597364,2.20404727182376E-06
52,0.000501434480127401,3.35987329714715E-06
53,0.000209204797289609,2.72497652272863E-06
54,8.45535037415306E-05,4.40494858900445E-06
55,0.000477856914245562,4.17908584062403E-06
56,0.000222400347716593,1.40108684329774E-07
57,0.000447247673046989,7.52214479402781E-08
58,8.21787773213543E-05,1.2023729417585E-07
59,0.000201131565277139,4.13880753219214E-05
60,0.000344437412914787,1.15330428106895E-05
61,0.000229599297523081,3.13763164985789E-07
62,0.000343400656290714,2.15154822554662E-06
63,0.000879259280637256,7.78678874959224E-05
64,0.000174917809005343,3.27950716940962E-06
65,0.000209083496270738,8.25440248716234E-08
66,0.00034445714136829,1.31260646162703E-06
67,0.000374473593625435,0.000502496434267035
68,0.000581917032752721,2.9005322049658E-05
69,0.000955820618156191,4.04146003248022E-05
70,0.0012537164284583,3.1142048859933E-05
71,0.000887101999275576,0.000205051379658038
72,0.0012380047462229,5.32377636754204E-06
73,0.00011602266259824,2.34019803814017E-05
74,0.000578559319016354,9.84302006310013E-05
75,0.000335914071322575,4.01176054648448E-06
76,0.000226100435143622,1.00291670938484E-06
77,0.000303089234784537,2.85584614400333E-05
78,0.000298030925974632,2.04817258538386E-06
79,0.000339303882955001,2.82816776489929E-06
80,0.000512439129013596,1.41361656432889E-05
81,0.000388474546089832,0.000969655203462596
82,0.00148489009986182,1.37149366255632E-06
83,0.000620171812887132,6.04675324662273E-06
84,0.00375674920106759,2.80434768748505E-05
85,0.00132730827965894,4.58675606322115E-07
86,0.000588913044707977,0.00105828011044839
87,0.00036494513075247,0.00013049090280731
88,0.000531333083303146,0.000529831244718284
89,0.000383116288833447,1.96843401462842E-08
90,0.000321307683197343,0.000891396138763577
91,0.000731263317489835,1.51816754195629E-07
92,0.000239729976116773,0.000149028485883736
93,0.000307634585314361,8.94495460795308E-07
94,0.000298243950261281,5.58082573928228E-07
95,0.000847316029343753,1.22540216157878E-07
96,0.00218724186001649,8.82146766712683E-06
97,0.00200798010404547,1.64835084523107E-06
98,0.00627506611091458,0.000473893868671892
99,0.00168251610275499,4.01942386461315E-06
100,0.00136957603810457,8.72793539546787E-06
101,0.000560906255245327,1.76128033202984E-05
102,0.00124737866869821,0.000531311549218972
103,0.000258573555485467,0.000179841862430034
104,0.00125128886062037,5.9924071877041E-05
105,0.000305316190464982,1.31897247736643E-06
106,0.000217582856692603,1.99762610877012E-05
107,0.000667908442750742,7.58051413256874E-07
108,0.00107444566383443,1.57390935111208E-06
109,0.000938286035991959,0.000176629632913401
110,0.00037088177093271,5.56884965959756E-06
111,0.0005625456983516,1.72788255791969E-06
112,0.000699588340892207,0.000263984965175065
113,0.000241950147844082,0.000159139782377205
114,0.00076288631595281,6.0183756124166E-06
115,0.00138659805772635,1.91564427809594E-07
116,0.00092205840450859,9.92715739267435E-08
117,0.000130459891867853,1.89835704549121E-05
118,0.000769975480894066,0.00019986960116142
119,0.00093698473104274,4.39530187364863E-06
120,0.000777463366379818,1.60574136492501E-06
121,0.000251108720855899,1.60092699787406E-05
122,0.00210639707488723,1.6019089441887E-07
123,0.000385884866830218,8.02642325855265E-06
124,0.0005557154449843,8.55648213872664E-06
125,0.00267133502201899,4.47359156663478E-05
126,0.00124783693564327,6.05670383355864E-08
127,0.00125309118273373,0.000815495979865041
128,0.000635414481767241,2.33156545776267E-06
129,0.000617125081348199,1.45587792768721E-06
130,0.000454523674309655,2.19221049392092E-05
131,0.00018363730890181,0.000142231863067708
132,0.00131366185703708,0.000183861280676802
133,0.000350952404023084,7.49591614055587E-06
134,8.28495248149608E-05,6.38461669165581E-05
135,0.00121687625497841,1.04219319877839E-07
136,0.000127962230718197,1.63630759354759E-07
137,0.00118829833815047,3.46421432107624E-05
138,0.00158075238349471,1.40590557724306E-07
139,0.000956938448616301,0.000653101344514246
140,0.00130775912979825,2.28153619609542E-05
141,0.000189668570444726,3.14679067000376E-09
142,0.000390649711131971,7.30224699213474E-08
143,0.00373318591595718,0.000881955911982079
144,0.000996281238827882,0.000642168009409369
145,0.000842533904771832,0.000132706241844045
146,0.00017101283681082,4.0938708484613E-05
147,0.000504784900970145,0.00111284402060583
148,0.00154665594703292,5.54580833564246E-05
149,0.00197478683519918,6.25214599634002E-06
150,0.000142045291817453,0.000545800398346307
151,0.00103020409813595,0.000255565672787092
152,0.000805515470553252,1.16481665508715E-05
153,7.86884017370451E-05,1.2372295372482E-05
154,0.00125625408223628,8.88020381312346E-05
155,0.00082462672225232,1.01496398123961E-06
156,0.000946041140742626,6.08950810434782E-05
157,0.00124965943302992,1.44658882605148E-06
158,0.00151739103849448,3.07499841748548E-05
159,0.000702649794065332,3.41892027816509E-06
160,0.0006400614486402,0.000264963759613582
161,0.0002474536689689,0.000140718385030683
162,0.00135312447314263,0.000873152634024051
163,0.000504216662691721,4.56338484790492E-05
164,0.000208765100057955,1.95097089548842E-05
165,0.000530908626211149,0.000454927903085112
166,0.00113597244331586,0.000949915976574364
167,0.000672381358117271,0.000512878096465936
168,0.00100732855881567,0.000805549692104976
169,0.00237371384791331,0.000173636023221329
170,0.000908349284804625,8.7748529898791E-05
171,0.000759401998918649,0.000459068614083208
172,0.000636252552487846,0.000217341659979961
173,0.00105892471491849,0.000899219081766342
174,0.000452480923767086,5.82249130550477E-05
175,0.00319873304502899,0.000420742796981968
176,0.0012747358655196,6.91748998511287E-05
177,0.00267793231748953,2.54227923941773E-05
178,0.00202817808021147,4.50163904262867E-05
179,0.000414873712582422,3.50076045888058E-05
180,0.000444334486162511,0.000216852550681807
181,0.00264868997382568,7.10519048235445E-05
182,0.000761878267991876,0.000225886806867093
183,0.00123017060045847,2.62092386892682E-05
184,0.00125406579956309,1.22471339132042E-05
185,0.000419954524754922,1.00293503295736E-05
186,0.00031220062504958,3.9038198142233E-05
187,0.000241033234160109,2.42794054554216E-05
188,0.000257055165745091,4.64843006294374E-05
189,0.000213226119564509,1.01415291164631E-05
190,0.00166889527124522,4.01309248608047E-05
191,0.00217180987454364,0.000482696344167577
192,0.000656780695582481,1.3000763351571E-06
193,0.000179203765390554,0.000641477456857741
194,0.000511101370098427,1.31449375487654E-06
195,0.00129353633189252,0.000110812777611078
196,0.0012724220648065,3.18720464001469E-06
197,0.000738389830271777,9.61613741185647E-05
198,0.000672396559109922,5.8744983276933E-06
199,0.000356413882152393,0.000228538744581388
200,0.00104302833423042,5.21553286888861E-05
