Generation,Average,Best,Updates
0,241,1050,39006
1,144.75,720,26433
2,96.4,325,13959
3,65.5,210,10296
4,50.25,175,8712
5,11.25,150,1287
6,17.95,145,6930
7,71.5,110,14949
8,1,25,396
9,164,275,24750
10,78.5,180,33363
11,137.2,210,26235
12,122.85,355,38907
13,148.6,235,24750
14,71.3,95,30690
15,2.75,175,297
16,192.85,300,20295
17,346.2,570,65637
18,229.65,800,63162
19,4,25,1584
20,291.15,635,67914
21,36.55,420,14751
22,334.5,655,66330
23,144.2,400,31383
24,138.35,625,22968
25,29,535,6237
26,195.15,715,44748
27,131.5,585,29007
28,323.65,605,67221
29,363.1,595,62568
30,9.5,160,3069
31,0,0,0
32,66.5,470,22572
33,117.95,245,25047
34,327.45,1035,61083
35,248.2,550,41778
36,316.9,745,73359
37,90.75,160,20889
38,156.25,780,45243
39,175.85,605,29997
40,209.2,560,37917
41,160.25,600,31284
42,144.3,805,38412
43,299.75,550,79200
44,24.85,100,5841
45,13,375,2277
46,288,720,67914
47,101.7,320,28611
48,32.2,175,7821
49,198.95,810,51777
50,524.8,1220,105138
51,446.55,1185,98604
52,390.75,585,87318
53,338.5,860,58707
54,176.35,345,40788
55,177.5,350,22374
56,368.6,700,50787
57,312.05,810,58608
58,280.95,1140,59697
59,263.8,710,52767
60,12.95,75,7029
61,455.25,950,83754
62,440.55,1185,68706
63,188.95,605,37818
64,328.55,795,69795
65,283.8,525,65439
66,382.4,675,69102
67,102.9,735,24156
68,32.25,225,3564
69,826,1505,156222
70,459.9,920,82863
71,234.3,570,62172
72,76.1,110,10395
73,291.25,385,62667
74,106.9,520,16731
75,345.6,1070,70686
76,157.9,785,25245
77,655.95,1135,120780
78,211.9,725,56034
79,185.95,760,35145
80,199.2,1030,34848
81,516.7,985,106029
82,3.75,100,1089
83,178.4,530,35541
84,637.7,1220,117810
85,516.9,1305,110880
86,18.25,220,8019
87,514.4,1230,107217
88,270.4,635,45243
89,348.95,1305,52767
90,20.2,520,9405
91,51.5,150,5247
92,394.6,1095,76329
93,15.45,550,2574
94,352.8,895,71082
95,345,935,74646
96,301.4,735,70785
97,615.25,1260,114345
98,365.45,1055,78408
99,308.8,1030,70389
100,485.5,1195,88506
101,348.4,775,64845
102,311.65,1095,65736
103,667.2,1405,130977
104,723.75,1045,121572
105,323.3,1390,69201
106,545.7,1595,102564
107,537.7,1440,112959
108,26.05,650,7128
109,325.4,805,70290
110,436.05,835,72270
111,436.2,1220,98604
112,598.8,1070,105831
113,216.85,1055,58905
114,50.35,200,14355
115,136.85,510,23958
116,403.75,1290,105732
117,517.4,1180,95139
118,331.6,1015,63657
119,182.3,1115,53955
120,494.25,925,110088
121,197.55,645,61974
122,277.4,1055,61380
123,741.7,1525,167409
124,740.7,1535,137313
125,717.9,1370,130977
126,173.25,385,57123
127,373.35,1030,72666
128,757.65,1595,144441
129,532.75,1075,110385
130,656.3,1590,117810
131,153.75,1045,27918
132,362.15,1090,85635
133,486.5,1500,90981
134,761.2,1345,153450
135,677.75,1435,140778
136,302.4,1160,47124
137,378,1130,85041
138,398.95,1165,87417
139,614.85,1005,117810
140,746.9,1790,163944
141,624.75,1405,110187
142,727.8,1645,151371
143,882,1450,165924
144,684.7,1440,131274
145,413.95,1155,69201
146,500.05,945,98901
147,1021.35,1730,202653
148,922.15,1610,193545
149,666.4,1140,120186
150,340.6,1045,69498
151,43,420,7326
152,559,1455,96030
153,316.9,1315,66726
154,603.15,1195,120780
155,421.75,1235,95436
156,399.55,1005,64845
157,349.8,1210,77418
158,729,1580,138996
159,893.25,1595,184635
160,760.75,1810,136917
161,522.8,1220,102465
162,294.05,1150,82962
163,463.55,1190,83160
164,891.65,1660,172656
165,650.7,1330,122859
166,42,50,16632
167,544.8,1335,89892
168,659.55,1275,131175
169,633.85,1355,117315
170,450.2,1525,100584
171,339.95,1295,69795
172,650.45,1175,123750
173,542.2,1280,104148
174,695,1230,148995
175,1045.4,1855,196416
176,718.8,1860,143649
177,635.7,1255,114741
178,542.1,1560,105435
179,37.95,785,6732
180,176,1195,40194
181,165.95,365,39699
182,994.2,1915,165924
183,1041.25,1565,187308
184,888.4,1990,156618
185,1104.75,1985,198000
186,731.4,1520,137709
187,373.65,1110,72963
188,1019.65,1830,196218
189,264.2,1285,80883
190,498.05,1370,90486
191,319.95,1105,57717
192,768.25,1800,154539
193,781.45,2095,144936
194,642.25,1640,120780
195,39.35,860,8613
196,774.05,1865,150282
197,816.75,1565,173250
198,254.4,1155,61677
199,391.4,980,73359
200,654.4,1420,134442
