Generation,Average,Best,Updates
0,200.65,555,38610
1,78.95,175,11583
2,87.85,420,24156
3,81.75,150,11187
4,557.65,1375,112167
5,402.3,1320,77715
6,355.55,810,86625
7,374.55,1435,61974
8,99.15,700,20889
9,357.95,785,70389
10,277.45,725,48708
11,141.65,880,27225
12,131.25,370,24354
13,86.75,260,28017
14,36.65,585,7425
15,110.1,625,28116
16,230.2,945,46233
17,52.6,310,10494
18,109.2,950,24453
19,299.5,500,34056
20,286.25,830,50193
21,373.1,965,68607
22,631.6,1085,112959
23,1.5,75,198
24,383.6,1110,84447
25,545.65,1380,101772
26,572.7,1110,115434
27,187.7,980,51381
28,663.85,1205,117513
29,379.25,810,65934
30,554.5,1465,107118
31,623.1,1405,127116
32,584.55,1170,108801
33,32.55,1305,7227
34,467.8,1330,104544
35,258.35,1270,57024
36,403.15,1380,75240
37,742.05,1360,131175
38,161.45,645,28611
39,439.8,1720,87912
40,477.75,1415,98208
41,71.8,325,15147
42,513.6,1255,118107
43,289.95,1690,75042
44,677.5,1565,141570
45,1172.65,1770,251460
46,239.5,275,57222
47,768.6,1445,144936
48,599.4,1480,137610
49,381.8,920,86229
50,169.65,460,32967
51,312.35,960,42075
52,279.8,620,63261
53,543.65,1025,103653
54,33.55,605,9207
55,333.7,1295,61281
56,98.35,980,18414
57,479,1000,87516
58,453.5,995,61578
59,218.3,1295,36036
60,316.4,1245,65934
61,673.95,1955,135531
62,757.85,1540,161271
63,529.3,1395,105237
64,38.15,185,12177
65,357.85,1620,66528
66,533.35,1620,107712
67,1031.4,2135,215622
68,448.1,1495,71973
69,325.2,1215,68310
70,442.85,1020,91179
71,59.8,670,11682
72,533.2,1420,104742
73,677.45,1060,138006
74,222,395,59895
75,56.6,100,12870
76,102.7,470,10593
77,193.35,570,44451
78,116.4,425,24057
79,87.65,170,21879
80,98.4,135,21384
81,170.5,185,27819
82,283.8,1100,56133
83,206.85,650,31779
84,51,100,10098
85,131.55,335,32868
86,296.85,1070,56331
87,381.1,945,62469
88,673.55,1545,134244
89,456.55,1140,87813
90,119.3,410,29799
91,164.75,325,34254
92,140.05,610,26037
93,81.1,270,23958
94,516.4,735,90882
95,278.4,1145,56628
96,167.5,1085,37917
97,242.5,685,53955
98,610.35,1555,134343
99,209.8,545,43065
100,601.95,1130,125235
101,601.5,1760,113751
102,285.75,1095,52074
103,304.75,1070,55440
104,634.3,1095,102366
105,532.95,1135,103752
106,526.05,1035,108108
107,100.75,435,28710
108,328.4,825,52569
109,472.2,1355,78606
110,203.4,570,38313
111,158.7,800,28413
112,142.95,460,28809
113,156.6,720,39105
114,252.25,770,50688
115,50.35,225,7524
116,439.05,960,93852
117,452.4,1100,74349
118,412.75,1145,80784
119,744.25,1595,127908
120,303.75,1645,77616
121,368.95,1220,71973
122,556.6,1390,103059
123,642.6,1475,118206
124,287.2,915,51183
125,740,1635,164142
126,303.6,1055,73953
127,94,700,18909
128,242.55,770,46233
129,203.2,1145,48015
130,324.7,1250,61776
131,90,195,26730
132,710.3,1585,137709
133,833.5,1400,139491
134,51.95,620,12474
135,847.1,1785,167409
136,628.6,1465,109989
137,332.25,1450,80289
138,68.4,185,15642
139,1226.25,1850,254034
140,663.15,1520,126522
141,656.75,1580,134640
142,250.35,960,51876
143,309.65,1040,53658
144,362.6,610,62469
145,369.4,995,78507
146,524.7,1420,108900
147,398.6,1275,69795
148,90.1,1005,17325
149,520.85,1225,83655
150,76.35,150,10197
151,108.25,270,25146
152,477.1,995,93753
153,553.5,1180,123156
154,54.7,905,10989
155,303.2,725,48015
156,375.25,845,72864
157,206.75,870,40194
158,44.85,635,8910
159,121.25,375,16929
160,555.25,975,109890
161,469.25,1490,93357
162,382.85,1010,67320
163,459.65,1095,80487
164,134.55,635,17325
165,310.35,1495,70488
166,321.9,920,52470
167,636.85,1490,122166
168,383.15,925,84942
169,181.4,535,35145
170,338,1295,77814
171,270.1,955,49302
172,705.95,1190,149985
173,789.65,1775,128700
174,728.55,1140,129690
175,111.3,270,31185
176,886.05,1435,141471
177,309.85,645,80091
178,515.6,1290,105534
179,455.75,1125,80982
180,99.95,915,19404
181,445.45,1570,83754
182,214.85,1310,49995
183,341.1,935,79299
184,154.55,835,36927
185,716.7,1340,135432
186,117.9,920,25740
187,729.65,1740,139392
188,626.85,1230,118206
189,582.65,1035,87714
190,850.3,1475,156816
191,613.45,1255,121869
192,916.25,1480,173052
193,629.1,1585,113652
194,740.75,1575,150975
195,752.5,1555,134937
196,138.5,660,28116
197,400.25,1005,74943
198,270.7,890,55737
199,356.85,950,80487
200,550,915,92862
