Generation,Orientation Variance,Velocity Variance
1,0.0481279538535499,0.014755133898427
2,0.0237721249342778,0.00616027916304486
3,0.023813149640081,0.00251519000185737
4,0.0102516626397853,0.00235971911386421
5,0.0786000087287543,0.00359277549273899
6,0.0557210229435941,0.00141392681973109
7,0.0263137565183059,0.00179584629013739
8,0.0192491404081613,4.5657239011977E-05
9,0.0178452087649653,0.00010073329309123
10,0.0107165164532164,0.00176318709394466
11,0.0125265266791109,0.00181273564593502
12,0.01536280790793,0.00448765566453486
13,0.0121520334020965,0.000286588467504775
14,0.00963534546258953,0.00261415975061362
15,0.0132403090694811,0.00315309519587575
16,0.0119269471002114,0.00329426214490691
17,0.0126258842243624,0.00130095304946557
18,0.0101559292195469,0.00177743440332786
19,0.00989216670228457,9.57916195346645E-05
20,0.0150647061269221,0.00236087085948476
21,0.010966156790579,0.00334833578809259
22,0.00560169679481866,0.000167487895394621
23,0.00697323484891679,0.00365424691676228
24,0.00913599658662804,0.00557763905576987
25,0.000345286033386705,2.86016447000754E-06
26,0.00236074177779479,2.66512764093468E-07
27,0.001689689224632,4.49552855445517E-07
28,0.00134879800351614,0.000418411445522322
29,0.00101727257929583,1.46261034015596E-07
30,0.0022948533086121,0.000100683381312418
31,0.00192806438594516,3.73494600670918E-08
32,0.00251023172919357,4.31554459147328E-07
33,0.00186177398395035,2.13517933771505E-07
34,0.000393891806609909,6.80633820391746E-08
35,0.000784748990860392,1.70306968453557E-07
36,0.00192563439484638,5.71910450783875E-07
37,0.000924499006340082,1.94227842840697E-07
38,0.00414697524388752,1.31052332457525E-06
39,0.00109691654013754,2.74611175140223E-09
40,0.0021640422650137,1.88787754256305E-06
41,0.00104684434574952,1.70795929085951E-08
42,0.00213727698797677,2.99528183829616E-07
43,0.00139126549774518,4.16258503746742E-06
44,0.00362034571815081,6.54324577045162E-08
45,7.8650845795892E-05,0.000189164669378201
46,0.000834525539054465,2.52528310567164E-06
47,0.00384367502296705,5.60673974328599E-06
48,0.00353577243699561,2.79313593926993E-07
49,0.0039799979969257,6.33287839933354E-07
50,0.00168948936159849,5.36947391124526E-07
51,0.00282469746666431,3.82151535120495E-08
52,0.00533140239992659,7.67969491578742E-08
53,0.00586478743679353,6.36932026028151E-06
54,0.0002904626578737,9.96894884137893E-08
55,0.00745550248573204,1.44144720580096E-08
56,0.0102158624043618,5.1466542619311E-07
57,0.00383934437008907,1.27641846358837E-07
58,0.00583346939525482,2.04420283434949E-08
59,0.00529068770862706,1.28720529166948E-07
60,0.00192735410089441,8.25208226392165E-07
61,0.00313106835452034,5.50308586596722E-09
62,0.00156708334426891,2.90081441186419E-08
63,0.00550039063369541,3.8642217195563E-05
64,0.00294429195700744,3.63042806669295E-10
65,0.00438676328170772,0.000123923059433971
66,0.00270569456457803,0.000142133648587749
67,0.000698557976799265,1.24117795635988E-05
68,0.0001229086308247,4.93299551922899E-06
69,0.000201774318662846,4.69939534141886E-07
70,0.00153695858371294,2.9148139428138E-05
71,0.000768988938354643,3.79396116349271E-07
72,0.000354677102082586,2.71463681549323E-07
73,0.00229863270789774,0.000105527952129774
74,0.000527800922776544,2.08228996925199E-06
75,0.000401654126106976,1.63156131892861E-06
76,0.00167719877528839,6.83022947288618E-06
77,0.00557081387255591,0.00117125033679361
78,0.000873227976324846,6.07300542950731E-07
79,0.00286973958922014,3.8741861075609E-05
80,0.00157396033871864,2.08421259431006E-07
81,0.00819302306310131,4.62064112188092E-05
82,0.00266181899962417,1.35176605660089E-05
83,0.00160670042830499,0.000137795008795149
84,0.00230586981632919,1.09470524876933E-05
85,0.00188644432813684,2.38122704764006E-05
86,0.00377936462107386,3.4125516607258E-06
87,0.00258863043856464,4.30025324495851E-05
88,0.00114746503324481,1.59482414035161E-08
89,0.00122695383672753,2.42055709393924E-08
90,0.000208332736636554,1.82997717202387E-07
91,0.000570623583360985,1.13064993347036E-06
92,0.000937028920669088,2.10790057613242E-06
93,0.00130236467552922,9.33503326819304E-05
94,0.000941142608466879,3.15258892750206E-06
95,0.00143751562960192,2.4655200504631E-05
96,0.00167298812227563,0.000165447219240366
97,0.00168397667226322,3.62665091013834E-05
98,0.00201110069119687,3.1074049168173E-05
99,0.00080554147256778,1.0483682091528E-06
100,0.00193262032560565,4.33385901170921E-05
101,8.59762570828454E-05,4.75861574603373E-07
102,0.00034431897814783,4.82683105125253E-05
103,4.93716384246809E-05,3.64368896770136E-06
104,0.000723083504313565,3.77125388728115E-08
105,0.000113925803723815,1.22925860112238E-06
106,6.50871938025258E-05,7.18042317758242E-07
107,0.000791290232478259,7.66987140924194E-07
108,0.000736564883077088,9.58472476235533E-08
109,0.00027657661089898,3.73899697846756E-05
110,0.00208677967994515,4.35641230644485E-06
111,0.00115077230918501,1.17719072503623E-07
112,0.00104998111405022,1.14328041437132E-05
113,0.000596415218618268,3.85339434612751E-08
114,0.000617710141768461,2.99679032944633E-06
115,0.00408720394986898,0.000191132799397109
116,0.0025810369170973,5.66862762274967E-09
117,0.00132745500945785,1.54396288687505E-05
118,0.000912338371040614,1.00986348216609E-05
119,0.000471226805311273,3.93719140156382E-06
120,0.000278541331768682,1.01638136110295E-08
121,7.88625988112324E-05,2.05654409748744E-07
122,0.00245219236669759,5.52802632325282E-07
123,0.00469061990598657,3.20819780040905E-06
124,0.000268190010553409,7.97632831235788E-08
125,0.00083078934067671,1.53446710630993E-08
126,4.35783870099699E-05,1.58402838390241E-05
127,0.000525106140948484,7.48969134831603E-09
128,0.000654956336446532,9.61854172117155E-08
129,0.000994018548161688,1.46939755174616E-05
130,0.000119960682933094,5.26238825200893E-08
131,7.10061377662714E-05,9.07705457204834E-08
132,0.00224614846652498,9.25437330117175E-05
133,0.00107225191865621,5.29025247808816E-08
134,0.000187257950903574,1.75557615992068E-09
135,0.00040116582521463,8.09251383356097E-09
136,7.86354793793265E-05,5.30186258285099E-07
137,0.0030738882814879,7.50458830335561E-07
138,0.00272330075795971,1.49873613890626E-06
139,0.000373552961415554,1.6663530436902E-06
140,0.00203807704629888,8.70741651126988E-07
141,4.39329356457225E-05,5.76198224251735E-09
142,0.00164925045704455,1.31204982068417E-07
143,0.00116683995368991,0.000435086098592223
144,5.54650131181303E-05,2.97683238411585E-09
145,7.85831013666296E-05,1.1156594788232E-07
146,0.00131564233439212,2.74433523715945E-09
147,0.00105660886103058,1.01821397424047E-07
148,0.000977021283218845,7.46773364516017E-07
149,7.99552510931992E-05,2.61421260706734E-07
150,0.000326776976195963,4.10023173737207E-07
151,0.000465586385995449,7.77966474216948E-08
152,0.000742840223050583,7.53811370343471E-06
153,0.00316847495315921,2.09308630592921E-08
154,0.00063995938423462,2.74265510149222E-08
155,0.00227321409531292,9.11244465586446E-08
156,0.0016494968161136,1.48819525115123E-06
157,0.000567744302935334,4.24679565252754E-07
158,0.000314631767134433,6.30694584018755E-08
159,0.000944561916853811,0.00014019150574311
