Generation,Average,Best,Updates
0,335,1700,33164
1,1493,3100,98333
2,1497,2900,115547
3,1983,3200,129297
4,2279,3600,155849
5,2265,3200,157230
6,2675,3700,180892
7,1692,3500,103068
8,2466,3700,163056
9,2620,3600,173731
10,2512,3500,167199
11,2718,4100,180533
12,2560,3400,165670
13,2421,3500,159966
14,2153,3700,148651
15,1665,2900,116515
16,2275,3300,145149
17,2299,3500,150106
18,2517,3500,173406
19,2556,3700,171508
20,2128,3400,139610
21,1901,2900,125336
22,2170,3100,137829
23,2034,2800,134936
24,1752,2700,132082
25,2274,3300,146842
26,2133,3000,135596
27,2241,3300,152275
28,1921,3000,129849
29,1701,2700,119760
30,1978,2800,128990
31,1868,2800,129022
32,1658,2700,119035
33,1578,2600,110637
34,1258,2200,94497
35,940,1600,68024
36,1031,2100,71700
37,935,1900,69603
38,1006,1900,71717
39,1282,2300,105762
40,1086,2400,78211
41,1033,1700,71868
42,1086,2200,75749
43,1033,2100,75248
44,921,1900,65426
45,1418,2200,101370
46,1128,2000,81468
47,1035,2100,82182
48,1083,1800,78855
49,281,1700,7880
50,1116,2200,94302
51,1320,2200,87593
52,1089,1900,75110
53,1128,2200,74788
54,1468,2300,101957
55,1129,2100,71981
56,1180,2100,86496
57,1098,1900,86918
58,607,1200,42133
59,941,1800,68588
60,1104,2100,76217
61,280,1700,10864
62,1011,1900,75531
63,988,1800,74243
64,1150,2300,74045
65,1245,2100,87273
66,1026,1700,74664
67,930,2100,62306
68,1230,2100,89435
69,1036,2100,77596
70,1183,2000,80017
71,1001,2400,63532
72,1229,2100,81933
73,975,2100,70045
74,1241,2000,83598
75,1250,2500,87135
76,1216,2400,80879
77,1446,2400,101524
78,1109,1900,74686
79,1064,2000,69638
80,1032,2100,67353
81,1302,2100,98237
82,1378,2400,93138
83,1503,2400,103373
84,1463,2200,94244
85,1204,2100,91094
86,1531,2500,105966
87,1538,2400,107620
88,395,2100,10543
89,1599,2300,119225
90,1683,2700,107489
91,1646,2600,113024
92,1568,2700,97985
93,1700,2600,108654
94,1734,2800,118189
95,1683,2500,110672
96,1599,2400,104913
97,1591,2500,111466
98,1557,3000,100235
99,1628,2500,114894
100,1654,2500,114529
101,1721,2400,122739
102,1638,2600,105206
103,1533,2600,102883
104,1775,3100,115990
105,1543,2700,101160
106,1371,2600,103101
107,1667,2500,112457
108,1610,2600,102110
109,1285,2200,85761
110,1676,2600,116623
111,1775,2600,116533
112,1587,2600,104461
113,1536,2500,104705
114,1436,2200,94873
115,1442,2300,94029
116,1483,2900,96673
117,1489,2500,99968
118,1801,2700,117746
119,1419,2400,95601
120,1656,2600,112943
121,1573,2600,99975
122,1467,2100,94899
123,1500,2600,101672
124,1306,2800,85462
125,1616,2400,109317
126,1707,2700,118389
127,1552,2500,108059
128,1695,2800,113290
129,1570,2400,118568
130,1490,2400,97445
131,1657,2700,115487
132,1583,2500,105740
133,1700,2900,108514
134,1597,2500,110704
135,1714,2800,109955
136,1467,2700,99387
137,1443,2300,105072
138,1540,2200,102793
139,1566,2900,99407
140,1599,2700,109831
141,1707,2500,118011
142,1514,2400,109401
143,1537,2300,107906
144,1847,2800,127374
145,1685,2600,110365
146,1666,2700,113345
147,1699,2900,113619
148,1664,2600,108147
149,1561,2800,105909
150,1555,2400,107102
151,1604,2600,107061
152,1153,1900,78890
153,1454,2300,95561
154,1289,2400,85143
155,1466,2500,96424
156,1634,2500,110362
157,1785,3000,124728
158,1593,3100,101978
159,418,2400,10737
160,1851,2700,127389
161,1606,2600,105812
162,1706,2700,114435
163,1487,2500,98777
164,1552,2900,113690
165,1652,2700,109489
166,1417,2400,98421
167,1538,2800,101756
168,1621,2700,110851
169,1461,2400,104749
170,1233,2000,89247
171,1423,2500,103611
172,250,2600,6172
173,1533,2600,120995
174,1481,2600,93320
175,1576,2400,111826
176,1439,2400,98623
177,1434,2200,93204
178,1437,2400,89019
179,1680,2700,109444
180,1562,2400,104199
181,1407,2300,97540
182,1534,2800,98824
183,1646,2900,110142
184,1865,2700,124499
185,1483,2600,95528
186,1452,2800,95767
187,1566,2500,105317
188,1456,2300,95128
189,538,2200,23721
190,323,2500,4335
191,1382,2200,93665
192,1606,2600,102930
193,1550,2600,107339
194,1301,2300,91940
195,1501,2600,98442
196,1426,2200,96656
197,1390,2200,89751
198,1447,2600,100350
199,1595,2900,107767
200,1752,3000,120008
