Generation,Baseline-Average,Baseline-Champion,Social-Average (Darwinian),Social-Champion (Darwinian),Social-Average (Lamarkian),Social-Champion (Lamarkian)
0,46.15,605,13.45,325,9.65,325
1,87.8,945,114.55,540,86.75,680
2,61.25,635,89.1,435,59.8,430
3,218.95,935,65.9,445,47.1,280
4,186.55,785,155.45,590,69,480
5,129.55,815,155.4,660,74.4,420
6,222.5,880,142.7,695,41.3,335
7,178.55,1035,188.35,610,188.2,740
8,110.65,830,177.35,835,105.2,540
9,216.1,960,220.85,800,112.85,670
10,200.6,1060,133.5,930,98.35,380
11,278.95,975,182,845,87.4,510
12,207.55,800,176.7,660,144.75,610
13,226.7,1090,187.8,875,254.4,710
14,235.4,1135,205.9,835,155.9,535
15,202.75,1035,156.9,775,178.6,700
16,280.25,1165,125.15,735,107.1,655
17,271.65,1160,221.8,970,196.4,745
18,251.05,1145,172.05,745,133.85,590
19,238.35,1140,182.8,875,103.5,465
20,225.95,1020,238.15,985,123,600
21,347.05,1140,220.65,925,172.1,785
22,333.6,1110,219.1,910,77.3,695
23,319.15,1255,303.2,1110,213.05,720
24,272.05,1320,300.6,1120,96.55,560
25,241.35,1150,380.25,1185,210.6,1005
26,382.55,1225,245.65,1115,115.75,550
27,317.85,1200,232.95,905,114.05,605
28,245.7,1245,307.35,1255,172.95,750
29,327.35,1275,327.8,1105,198.85,775
30,226.05,1175,193.7,955,222.7,760
31,309.7,1050,247.35,985,78.05,545
32,319.3,1425,309.55,1140,109.95,700
33,317.65,1350,395.95,1235,127.05,575
34,380.35,1410,305.2,1125,72.6,415
35,357.1,1250,279.05,980,129.3,630
36,277.6,1220,291.15,1045,118.55,610
37,336.3,1245,421.45,1215,201.3,800
38,311.9,1270,364,1235,100.25,605
39,338.6,1225,270.95,1175,172.65,555
40,322.2,1215,213.15,990,177.8,715
41,336.9,1450,253.65,1095,262,970
42,296.85,1200,270.45,1060,334.4,935
43,216.5,1165,316.4,1125,220.35,820
44,370.85,1365,298.7,1180,202.6,810
45,424.95,1405,390.75,1225,132.3,690
46,406.6,1500,268.95,1115,191.05,960
47,376.9,1400,281.5,1120,137.65,705
48,337.8,1325,281.45,1095,189.45,940
49,300.05,1320,181.25,1060,253.9,935
50,419.4,1495,542.45,1465,330.4,1165
51,366.85,1380,237.55,1015,182.3,860
52,304.45,1180,289.2,1085,113.75,695
53,333.7,1485,241.05,890,158.7,750
54,447.5,1275,260.45,1010,167.2,875
55,392.15,1330,285.1,1160,202,805
56,372.4,1295,426.3,1375,169.25,985
57,390.6,1415,337.1,1180,308.6,1175
58,357.95,1415,326.2,1230,221.2,875
59,351.75,1365,298.15,1210,189.2,995
60,422.4,1490,238.4,1055,150.8,775
61,364.15,1290,316.25,1260,336.65,1020
62,338.8,1435,445.3,1255,300.5,1020
63,396.3,1380,398.25,1200,384.1,1205
64,348.35,1305,396.45,1275,259.9,1040
65,416.4,1360,434.25,1390,293.1,1180
66,415.95,1395,332.9,1210,279.95,1045
67,499.1,1620,371.15,1210,398.4,1310
68,385.85,1525,212.85,1080,271.75,1050
69,340.15,1400,406.15,1395,366.7,1190
70,431.9,1500,398.7,1315,269.1,1070
71,388.85,1325,315,1165,388.6,1140
72,422.45,1420,286.75,1150,321.95,1160
73,412.4,1375,294.9,1175,284.6,1230
74,411.2,1360,404.3,1415,267.85,1035
75,342.65,1435,380.85,1185,196.5,1065
76,341.7,1260,307.5,1150,233.85,970
77,449.35,1555,458.9,1470,268.55,1040
78,454,1400,457.8,1425,282.65,1235
79,374.15,1340,411,1400,252.9,1125
80,356.15,1400,388.25,1385,312.7,1185
81,489.7,1525,435.25,1505,282.2,1055
82,428.7,1400,416.4,1430,355.15,1370
83,566.2,1625,371.1,1225,273.05,1120
84,370.25,1400,399.4,1225,348.1,1095
85,497.65,1620,438.5,1505,319.1,1190
86,357.65,1345,389.05,1315,377.5,1075
87,419.9,1435,450.45,1480,280.1,1095
88,392.7,1390,460.5,1430,387.15,1245
89,505.2,1620,352.75,1250,281.85,1115
90,407.6,1330,469.45,1420,308.1,1190
91,393.1,1495,402.25,1265,311,1240
92,390.7,1590,410.4,1330,337.8,1215
93,335.25,1455,365.7,1460,416.55,1240
94,389.25,1435,459.4,1405,287.95,1105
95,419.85,1540,369.95,1230,246.95,970
96,383.25,1425,365.6,1280,366.7,1270
97,333.1,1350,339.35,1235,276.55,1035
98,443.2,1370,446.1,1435,390.6,1085
99,362.3,1350,468.55,1460,358.85,1165
100,412.95,1470,478.8,1435,280.45,1030
