Generation,Average,Best,Samples
0,33.2333333333,520.0,30
1,73.7833333333,660.0,30
2,115.683333333,710.0,30
3,210.3,858.333333333,30
4,149.316666667,701.666666667,30
5,211.616666667,900.0,30
6,161.983333333,873.333333333,30
7,221.483333333,886.666666667,30
8,190.533333333,826.666666667,30
9,217.266666667,931.666666667,30
10,181.733333333,796.666666667,30
11,195.883333333,898.333333333,30
12,208.483333333,853.333333333,30
13,216.583333333,843.333333333,30
14,216.716666667,921.666666667,30
15,224.383333333,1003.33333333,30
16,242.2,906.666666667,30
17,198.6,878.333333333,30
18,238.15,935.0,30
19,226.116666667,888.333333333,30
20,250.3,953.333333333,30
21,279.833333333,985.0,30
22,199.516666667,993.333333333,30
23,236.166666667,930.0,30
24,273.55,1015.0,30
25,215.166666667,861.666666667,30
26,221.15,968.333333333,30
27,239.583333333,988.333333333,30
28,304.233333333,1118.33333333,30
29,222.666666667,915.0,30
30,265.383333333,1038.33333333,30
31,235.083333333,1003.33333333,30
32,228.5,1018.33333333,30
33,217.15,1005.0,30
34,315.833333333,1195.0,30
35,246.4,1030.0,30
36,241.933333333,1053.33333333,30
37,270.4,1088.33333333,30
38,249.333333333,1158.33333333,30
39,258.683333333,1036.66666667,30
40,284.55,1101.66666667,30
41,272.216666667,1108.33333333,30
42,303.95,1108.33333333,30
43,287.216666667,1131.66666667,30
44,282.783333333,1093.33333333,30
45,316.0,1088.33333333,30
46,296.166666667,1061.66666667,30
47,287.083333333,1125.0,30
48,282.066666667,1146.66666667,30
49,240.933333333,995.0,30
50,228.883333333,948.333333333,30
51,318.783333333,1166.66666667,30
52,232.816666667,1091.66666667,30
53,319.683333333,1106.66666667,30
54,290.266666667,1166.66666667,30
55,310.666666667,1103.33333333,30
56,361.666666667,1148.33333333,30
57,328.05,1153.33333333,30
58,285.75,1120.0,30
59,282.483333333,1051.66666667,30
60,313.816666667,1120.0,30
61,325.516666667,1190.0,30
62,338.833333333,1228.33333333,30
63,270.283333333,1171.66666667,30
64,342.533333333,1193.33333333,30
65,271.2,1070.0,30
66,280.733333333,1095.0,30
67,245.916666667,1075.0,30
68,295.966666667,1100.0,30
69,308.166666667,1250.0,30
70,323.233333333,1223.33333333,30
71,312.1,1116.66666667,30
72,346.783333333,1233.33333333,30
