Generation,Average,Best,Samples
0,29.3666666667,575.0,30
1,70.7,563.333333333,30
2,100.2,611.666666667,30
3,164.216666667,856.666666667,30
4,179.883333333,753.333333333,30
5,185.95,836.666666667,30
6,92.5333333333,636.666666667,30
7,177.266666667,813.333333333,30
8,150.116666667,743.333333333,30
9,151.216666667,758.333333333,30
10,130.083333333,748.333333333,30
11,172.116666667,796.666666667,30
12,190.766666667,840.0,30
13,220.816666667,923.333333333,30
14,218.75,943.333333333,30
15,145.366666667,750.0,30
16,218.05,950.0,30
17,235.5,973.333333333,30
18,232.866666667,870.0,30
19,230.65,901.666666667,30
20,177.266666667,808.333333333,30
21,171.2,780.0,30
22,261.733333333,988.333333333,30
23,267.633333333,933.333333333,30
24,194.883333333,840.0,30
25,239.833333333,1016.66666667,30
26,224.666666667,865.0,30
27,231.266666667,971.666666667,30
28,241.216666667,963.333333333,30
29,277.55,1095.0,30
30,272.633333333,1053.33333333,30
31,215.983333333,931.666666667,30
32,254.866666667,961.666666667,30
33,280.566666667,1093.33333333,30
34,294.583333333,1060.0,30
35,256.333333333,995.0,30
36,195.65,846.666666667,30
37,253.133333333,1015.0,30
38,232.466666667,973.333333333,30
39,211.033333333,901.666666667,30
40,347.733333333,1111.66666667,30
41,377.65,1123.33333333,30
42,215.866666667,923.333333333,30
43,286.333333333,1068.33333333,30
44,209.516666667,981.666666667,30
45,265.45,1008.33333333,30
46,289.783333333,1066.66666667,30
47,253.95,1006.66666667,30
48,288.95,1186.66666667,30
49,239.6,968.333333333,30
50,297.8,1078.33333333,30
51,228.733333333,1088.33333333,30
52,253.5,1040.0,30
53,290.233333333,1053.33333333,30
54,270.433333333,1116.66666667,30
55,273.816666667,1070.0,30
56,234.383333333,1008.33333333,30
57,202.116666667,1058.33333333,30
58,297.433333333,1113.33333333,30
59,261.466666667,1066.66666667,30
60,358.5,1235.0,30
61,272.5,1156.66666667,30
62,281.633333333,1150.0,30
63,291.45,1053.33333333,30
64,371.65,1268.33333333,30
65,295.533333333,1093.33333333,30
66,311.116666667,1138.33333333,30
67,325.316666667,1195.0,30
68,311.9,1211.66666667,30
69,314.133333333,1195.0,30
70,302.816666667,1148.33333333,30
71,284.85,1161.66666667,30
72,323.766666667,1215.0,30
73,358.466666667,1266.66666667,30
74,394.683333333,1336.66666667,30
75,323.05,1226.66666667,30
76,415.683333333,1358.33333333,30
77,404.9,1285.0,30
78,362.95,1325.0,30
79,352.383333333,1351.66666667,30
80,356.1,1318.33333333,30
81,349.55,1311.66666667,30
82,355.6,1243.33333333,30
83,289.416666667,1146.66666667,30
84,428.9,1355.0,30
85,333.65,1225.0,30
86,259.516666667,1218.33333333,30
87,349.416666667,1340.0,30
88,408.45,1391.66666667,30
89,431.233333333,1418.33333333,30
90,421.95,1393.33333333,30
91,393.033333333,1353.33333333,30
92,341.983333333,1275.0,30
93,370.483333333,1321.66666667,30
94,424.216666667,1326.66666667,30
95,392.683333333,1318.33333333,30
96,350.383333333,1268.33333333,30
97,469.1,1445.0,30
98,378.55,1386.66666667,30
99,426.55,1391.66666667,30
100,405.65,1436.66666667,30
101,369.45,1276.66666667,30
102,400.983333333,1378.33333333,30
103,480.6,1435.0,30
104,415.466666667,1423.33333333,30
105,431.816666667,1386.66666667,30
106,378.066666667,1345.0,30
107,372.7,1381.66666667,30
108,387.733333333,1380.0,30
109,351.35,1366.66666667,30
110,490.45,1520.0,30
111,423.166666667,1396.66666667,30
112,369.466666667,1441.66666667,30
113,428.55,1435.0,30
114,390.216666667,1430.0,30
115,419.783333333,1465.0,30
116,406.416666667,1515.0,30
117,399.1,1348.33333333,30
118,364.466666667,1321.66666667,30
119,413.466666667,1351.66666667,30
120,374.466666667,1366.66666667,30
121,370.266666667,1393.33333333,30
122,398.45,1321.66666667,30
123,383.466666667,1351.66666667,30
124,432.933333333,1391.66666667,30
125,397.166666667,1331.66666667,30
126,394.883333333,1440.0,30
127,369.966666667,1416.66666667,30
128,354.866666667,1326.66666667,30
129,446.783333333,1381.66666667,30
130,495.816666667,1460.0,30
131,414.433333333,1365.0,30
132,435.35,1390.0,30
133,411.05,1405.0,30
134,422.4,1416.66666667,30
135,407.316666667,1373.33333333,30
136,381.3,1473.33333333,30
137,422.966666667,1356.66666667,30
138,410.766666667,1406.66666667,30
139,387.383333333,1383.33333333,30
140,416.95,1325.0,30
141,469.433333333,1470.0,30
142,400.3,1353.33333333,30
143,431.783333333,1456.66666667,30
144,473.916666667,1488.33333333,30
145,407.883333333,1463.33333333,30
146,453.266666667,1450.0,30
147,441.133333333,1470.0,30
148,454.2,1493.33333333,30
149,516.65,1471.66666667,30
150,467.416666667,1535.0,30
151,446.966666667,1540.0,30
152,432.516666667,1526.66666667,30
153,447.566666667,1488.33333333,30
154,460.833333333,1411.66666667,30
155,355.333333333,1450.0,30
156,414.616666667,1505.0,30
157,425.766666667,1378.33333333,30
158,466.633333333,1443.33333333,30
159,420.216666667,1425.0,30
160,455.216666667,1446.66666667,30
161,428.516666667,1436.66666667,30
162,455.033333333,1521.66666667,30
163,437.466666667,1431.66666667,30
164,438.616666667,1488.33333333,30
165,453.3,1483.33333333,30
166,419.583333333,1398.33333333,30
167,403.216666667,1451.66666667,30
168,416.616666667,1383.33333333,30
169,425.583333333,1418.33333333,30
170,486.666666667,1548.33333333,30
171,525.183333333,1496.66666667,30
172,461.183333333,1470.0,30
173,446.483333333,1455.0,30
174,463.75,1471.66666667,30
175,428.433333333,1420.0,30
176,421.4,1501.66666667,30
177,381.7,1421.66666667,30
178,468.466666667,1476.66666667,30
179,442.706896552,1491.37931034,29
180,439.637931034,1475.86206897,29
181,391.620689655,1431.03448276,29
182,390.534482759,1372.4137931,29
183,473.689655172,1500.0,29
184,485.448275862,1410.34482759,29
185,423.160714286,1491.07142857,28
186,462.851851852,1483.33333333,27
187,470.407407407,1450.0,27
188,413.814814815,1503.7037037,27
189,437.574074074,1427.77777778,27
190,411.333333333,1498.14814815,27
191,467.814814815,1501.85185185,27
192,477.018518519,1466.66666667,27
193,469.518518519,1442.59259259,27
194,423.62962963,1442.59259259,27
195,412.425925926,1459.25925926,27
196,481.833333333,1500.0,27
197,479.407407407,1546.2962963,27
198,434.537037037,1498.14814815,27
199,452.833333333,1514.81481481,27
200,453.942307692,1507.69230769,26
201,413.692307692,1467.30769231,26
202,478.557692308,1500.0,26
203,478.192307692,1538.46153846,26
204,469.346153846,1494.23076923,26
205,467.788461538,1457.69230769,26
206,484.653846154,1536.53846154,26
207,407.634615385,1534.61538462,26
208,463.538461538,1480.76923077,26
209,446.365384615,1415.38461538,26
210,442.538461538,1469.23076923,26
211,490.5,1588.46153846,26
212,486.134615385,1651.92307692,26
213,419.615384615,1457.69230769,26
214,470.173076923,1542.30769231,26
215,443.865384615,1450.0,26
216,445.416666667,1495.83333333,24
217,482.291666667,1514.58333333,24
218,413.25,1468.75,24
219,426.8125,1506.25,24
220,504.208333333,1570.83333333,24
221,403.854166667,1408.33333333,24
222,447.583333333,1512.5,24
223,399.708333333,1418.75,24
224,392.0,1364.58333333,24
225,498.5,1541.66666667,24
226,422.625,1479.16666667,24
227,477.458333333,1504.16666667,24
228,425.333333333,1518.75,24
229,390.979166667,1422.91666667,24
230,498.541666667,1570.83333333,24
231,468.333333333,1547.91666667,24
232,497.565217391,1639.13043478,23
233,452.0,1552.27272727,22
234,477.25,1629.54545455,22
235,459.386363636,1481.81818182,22
236,479.545454545,1593.18181818,22
237,357.0,1457.14285714,21
238,416.547619048,1416.66666667,21
239,352.833333333,1395.23809524,21
240,382.380952381,1485.71428571,21
241,510.047619048,1630.95238095,21
242,425.714285714,1502.38095238,21
243,455.657894737,1465.78947368,19
244,453.736842105,1526.31578947,19
245,455.026315789,1536.84210526,19
246,348.222222222,1361.11111111,18
247,391.277777778,1477.77777778,18
248,401.823529412,1555.88235294,17
249,397.676470588,1429.41176471,17
250,421.323529412,1485.29411765,17
251,403.941176471,1482.35294118,17
252,461.588235294,1535.29411765,17
253,483.029411765,1576.47058824,17
254,379.882352941,1470.58823529,17
255,469.147058824,1614.70588235,17
256,475.705882353,1532.35294118,17
257,420.125,1478.125,16
258,427.59375,1350.0,16
259,344.71875,1375.0,16
260,435.75,1515.625,16
261,338.15625,1428.125,16
262,348.03125,1418.75,16
263,390.4375,1459.375,16
264,414.40625,1540.625,16
265,372.0,1400.0,16
266,436.375,1425.0,16
267,407.28125,1478.125,16
268,390.0625,1481.25,16
269,396.625,1506.25,16
270,375.15625,1468.75,16
271,365.90625,1431.25,16
272,375.4,1383.33333333,15
273,349.357142857,1425.0,14
274,365.821428571,1435.71428571,14
275,386.928571429,1407.14285714,14
276,348.178571429,1442.85714286,14
277,358.25,1410.71428571,14
278,354.428571429,1389.28571429,14
279,375.0,1357.14285714,14
280,389.615384615,1411.53846154,13
281,336.583333333,1291.66666667,12
282,402.454545455,1481.81818182,11
283,392.05,1580.0,10
284,429.166666667,1477.77777778,9
285,338.785714286,1357.14285714,7
286,413.416666667,1450.0,6
287,475.5,1608.33333333,6
288,337.4,1210.0,5
289,440.7,1460.0,5
290,357.3,1350.0,5
291,306.5,1310.0,5
292,367.1,1240.0,5
293,325.1,1290.0,5
294,293.2,1490.0,5
295,305.0,1450.0,5
296,289.625,1425.0,4
297,391.75,1362.5,4
298,330.5,1387.5,4
299,308.125,1212.5,4
300,289.875,1175.0,4
301,387.375,1325.0,4
302,444.625,1512.5,4
303,295.625,1225.0,4
304,496.666666667,1583.33333333,3
305,261.0,1600.0,2
306,539.25,1975.0,2
307,439.75,1575.0,2
308,498.0,1475.0,2
309,261.25,1175.0,2
310,272.25,1475.0,2
311,307.25,1325.0,2
312,374.0,1250.0,1
313,548.0,1800.0,1
314,784.0,2050.0,1
315,571.5,1850.0,1
316,594.5,1900.0,1
317,560.5,1700.0,1
318,610.5,1800.0,1
319,639.5,1800.0,1
320,598.5,1900.0,1
321,443.0,1450.0,1
322,575.0,1700.0,1
323,648.5,1750.0,1
