generation,averageFitness,topFitness
0,66.5,2100
1,185,1150
2,665,1600
3,967,2700
4,796,1850
5,485.5,2250
6,919,2050
7,888.5,1800
8,1054.5,2500
9,458.5,1700
10,851,1750
11,556.5,1950
12,1022.5,2100
13,970.5,1900
14,1158.5,2250
15,1267.5,2600
16,1445.5,2550
17,1421,2650
18,1145,1900
19,524.5,1500
20,1143.5,1850
21,1144.5,2250
22,972,1900
23,1043.5,1800
24,839,1850
25,677,2400
26,1419.5,2600
27,704.5,1650
28,1153,2300
29,989,1950
30,1346,2400
31,1552.5,2750
32,1305.5,2150
33,1134.5,2550
34,1648,2400
35,1564,2550
36,2092.5,2650
37,1672,2600
