Generation,Average,Best,Updates
0,444.5,3017,0
1,1380.23,6012,0
2,2270.95,6009,0
3,2368.87,6018,0
4,2532.87,9019,0
5,2621.23,8014,0
6,2460.95,8022,0
7,1945.31,6007,0
8,2223.14,7019,0
9,2011.82,6010,0
10,3323.19,9015,0
11,2343.87,6018,0
12,2383.11,6016,0
13,2253.75,6020,0
14,2572.14,7017,0
15,2502.47,8002,0
16,2448.97,7007,0
17,3109.24,10008,0
18,2089.54,8015,0
19,3453.1,8021,0
20,3220.31,7013,0
21,2472.04,8015,0
22,3129.3,7023,0
23,3417.94,9021,0
24,3221.88,7011,0
25,2520.12,6018,0
26,2702.46,7009,0
27,3130.34,8021,0
28,2279.95,7023,0
29,2180.6,6009,0
30,2538.11,6012,0
31,2750.2,7005,0
32,2368.97,7008,0
33,2602.74,8028,0
34,3441.47,9022,0
35,2422.9,6011,0
36,2918.5,8021,0
37,2800.58,8021,0
38,2887.22,7007,0
39,2550.52,10004,0
40,2879.22,6032,0
41,2894.18,8028,0
42,2751.19,9009,0
43,2831.22,7008,0
44,2447.52,10025,0
45,2820.13,7014,0
46,2820.31,8010,0
47,3190.03,11013,0
48,2562.87,9015,0
49,3504.59,10019,0
50,3331.61,10012,0
51,3540.66,9007,0
52,2400.28,8020,0
53,3657.67,9005,0
54,3232.31,12018,0
55,2929.32,10021,0
56,2250.26,7026,0
57,3038.67,10017,0
58,2742.1,9023,0
59,4093.51,13013,0
60,3756.03,10026,0
61,4709.81,10026,0
62,5465.51,14013,0
63,4916.93,12014,0
64,4698.67,11024,0
65,4510.67,9023,0
66,4438.86,14024,0
67,4968.78,12019,0
68,4999.42,11019,0
69,4227.65,10025,0
70,3808.93,9024,0
71,5018.96,10021,0
72,4417.15,12014,0
73,5809.95,13018,0
74,5297.53,12012,0
75,5046.14,11024,0
76,5226.35,12015,0
77,6136.84,16020,0
78,6407.16,13017,0
79,5585.7,13023,0
80,4849.13,14024,0
81,4626.1,13017,0
82,4206.6,13014,0
83,7086.72,16022,0
84,6656.58,14016,0
85,8148.45,16021,0
86,8208.52,14021,0
87,7497.63,15023,0
88,7627,14023,0
89,7109.29,14027,0
90,7308.06,14022,0
91,7847.05,14019,0
92,7687.57,15022,0
93,6368.46,13022,0
94,7967.74,14018,0
95,6303.74,14020,0
96,8237.12,16026,0
97,6083.35,17019,0
98,8227.62,15027,0
99,5700.93,11013,0
100,6716.38,15014,0
101,6204.65,14017,0
102,7315.8,15014,0
103,6385.24,13018,0
104,7957.88,19024,0
105,7336.68,15025,0
106,8926.88,16019,0
107,6267.36,14021,0
108,8359.61,15020,0
109,7446.35,18009,0
110,7926.76,16015,0
111,6827.88,16020,0
112,8837.9,17016,0
113,7837.44,16013,0
114,9058.74,18014,0
115,8136.99,16022,0
116,9988.83,16014,0
117,8277.06,16017,0
118,10260.26,17020,0
119,8694.6,16016,0
120,9557.89,17015,0
121,9218.36,18020,0
122,10368.31,22018,0
123,8286.39,17027,0
124,9998.75,18024,0
125,7568.59,15020,0
126,8698.31,15034,0
127,8108.39,16010,0
128,9498.64,17012,0
129,9018.86,19019,0
130,9286.68,17024,0
131,10605.68,19014,0
132,10848.21,17018,0
133,8937.37,18015,0
134,10486.18,17020,0
135,11157.76,19014,0
136,11627.6,20019,0
137,10868.59,18009,0
138,10597.19,18017,0
139,10378.77,16017,0
140,11148.68,22015,0
141,11596.85,19016,0
142,10677.55,17008,0
143,10046.72,19010,0
144,10778.85,18020,0
145,10865.27,18013,0
146,10016.41,19018,0
147,10437.65,18023,0
148,10286.27,17013,0
149,10174.49,18014,0
150,9387.32,19023,0
151,9976.37,17020,0
152,10586.12,17015,0
153,10116.03,19029,0
154,11395.94,20011,0
155,9203.84,18019,0
156,9854.6,18019,0
157,9756.54,18024,0
158,9253.94,17014,0
159,9483.65,19013,0
160,7924.47,16019,0
161,11073.1,20015,0
162,10365.98,18019,0
163,11254.36,21011,0
164,12396.6,19024,0
165,11103.23,20013,0
166,10715.79,21016,0
167,10835.85,21017,0
168,10208.54,18023,0
169,11705.26,20027,0
170,9675.39,21019,0
171,10856.37,19014,0
172,11245.28,21012,0
173,11115.24,21022,0
174,12156.4,21024,0
175,12703.91,21017,0
176,12425.34,22014,0
177,12685.34,21014,0
178,11495.61,21013,0
179,10804.49,21022,0
180,11785.84,20016,0
181,10834.02,20018,0
182,10572.38,21025,0
183,10335.64,19013,0
184,12394.14,20018,0
185,9291.3,20026,0
186,12826.13,22020,0
187,11705.55,24024,0
188,12476.27,20026,0
189,10934.64,18022,0
190,10765.77,21017,0
191,10843.24,20014,0
192,10404.05,20021,0
193,9444.95,24031,0
194,9304.42,18024,0
195,11885.4,23023,0
196,11696.41,22021,0
197,9277.45,17022,0
198,13187.64,21024,0
199,11726.36,20027,0
200,12317.96,23009,0
201,11238.04,21014,0
202,12846.23,23016,0
203,10375.67,20022,0
204,10904.23,21025,0
205,12096.68,21025,0
206,11137.29,20025,0
207,13057.7,19009,0
208,9964.78,18019,0
209,11879.56,20021,0
210,12036.9,19026,0
211,13170.21,21023,0
212,13126.48,19011,0
213,12406.58,21017,0
214,12079.49,19023,0
215,12316.53,19015,0
216,9274.76,19021,0
217,12095.3,19016,0
218,12137.4,19012,0
219,10646.81,20019,0
220,11504.87,19021,0
221,12884.84,23009,0
222,13397.76,21021,0
223,12163.56,18012,0
224,13744.83,20015,0
225,12474.08,19013,0
226,11317.93,20020,0
227,10704.19,19016,0
228,10818.36,20030,0
229,11594.41,20007,0
230,12446.71,20017,0
231,11463.61,21012,0
232,13177.96,22027,0
233,11343.45,17015,0
234,14586.31,23016,0
235,12763.97,20017,0
236,13696.25,21016,0
237,12635.44,22009,0
238,12939,22020,0
239,12905.04,21018,0
240,12707.02,21009,0
241,12727.43,20017,0
242,13848.25,22020,0
243,12524.98,20022,0
244,13018.04,20019,0
245,12312.89,20009,0
246,14027.04,23021,0
247,13504.98,24017,0
248,11756.1,18010,0
249,14362.78,20018,0
250,12166.31,20015,0
251,13302.1,21012,0
252,14386.5,21014,0
253,14674.38,23012,0
254,11286.82,20019,0
255,15073.67,24014,0
256,12338.61,20015,0
257,13056.14,19020,0
258,13326.99,21014,0
259,13846.44,22014,0
260,12328.37,20009,0
261,14155.91,23023,0
262,12748.25,20014,0
263,15186.86,24009,0
264,13666.76,23018,0
265,14506.59,23017,0
266,13018.03,25011,0
267,14454.68,23010,0
268,12364.59,19018,0
269,12264.05,19010,0
270,13476.73,21019,0
271,14567.5,25014,0
272,11737.06,25014,0
273,14054.14,20023,0
274,13947.3,20016,0
275,15474.43,23012,0
276,13448.62,21021,0
277,13155.03,21016,0
278,12740.09,18024,0
279,11714.24,21006,0
280,13289.82,20028,0
281,13556.73,23013,0
282,11639.92,20016,0
283,12787.6,21016,0
284,12808.96,20017,0
285,12804.69,23012,0
286,13378.92,20023,0
287,14365.62,20016,0
288,13453.99,22013,0
289,11903.72,19015,0
290,12807.1,20015,0
291,13214.85,23015,0
292,11787.2,19012,0
293,12293.83,20017,0
294,11697.96,19012,0
295,12663.69,20015,0
296,13525.83,21019,0
297,12323.88,19015,0
