generation,averageFitness,topFitness,Updates
0,533.84,5014,0
1,1597.24,10008,0
2,2843.31,9031,0
3,3142.47,10014,0
4,3936.53,11017,0
5,5192.82,16011,0
6,3419.08,10014,0
7,4653.46,12012,0
8,3789.48,10016,0
9,4156.19,10017,0
10,3141.9,8028,0
11,5393.18,15013,0
12,3960.09,12020,0
13,4116.03,9024,0
14,4921.33,14020,0
15,6228.32,12021,0
16,5292.41,13013,0
17,4646.59,10013,0
18,4672.19,11043,0
19,6038.03,13024,0
20,5929.07,13015,0
21,5677.28,17017,0
22,5417.93,12020,0
23,5939.49,12023,0
24,5617.03,11022,0
25,5759.7,11028,0
26,6967.77,13021,0
27,5651.19,14018,0
28,5900.2,12022,0
29,5890.08,11025,0
30,6549.09,11019,0
31,4708.74,13016,0
32,5296.62,11022,0
33,7299.08,16017,0
34,8226.1,17014,0
35,7347.82,13014,0
36,7066.88,12019,0
37,7508.54,14018,0
38,7035.35,14017,0
39,6679.37,13020,0
40,6037.05,14013,0
41,7167.95,14015,0
42,6078.87,11009,0
43,6587.44,14013,0
44,5087.1,13012,0
45,6756.38,15020,0
46,5788.43,12021,0
47,6247.74,14021,0
48,5829.28,12016,0
49,6839.42,14014,0
50,7267.52,14015,0
51,6128.21,12020,0
52,6330.34,11022,0
53,6147.63,12020,0
54,6219.82,14021,0
55,7529.15,14014,0
56,6669.64,13018,0
57,7167.5,14015,0
58,7670.77,14017,0
59,6938.94,12019,0
60,5890.68,11025,0
61,6110.01,15018,0
62,7246.49,14022,0
63,7149,14018,0
64,6861.29,14023,0
65,6690.9,13025,0
66,6658.79,14027,0
67,4867.17,11027,0
68,7900.15,16025,0
69,6449.78,15019,0
70,6299.29,11019,0
71,6230.86,12021,0
72,7270.63,16018,0
73,7100.58,14026,0
74,7348.53,17015,0
75,7398.92,17019,0
76,8738.7,19016,0
77,7269.13,12026,0
78,7818.87,15016,0
79,7689.39,16011,0
80,8388.9,16024,0
81,9528.69,18015,0
82,8719.16,15017,0
83,8242.75,16018,0
84,8848.32,14025,0
85,8960.08,14018,0
86,8996.9,15021,0
87,9179.55,17022,0
88,9030.65,15027,0
89,9451.81,16027,0
90,9101.46,16026,0
91,9411.14,15023,0
92,8951.24,15018,0
93,10320.09,18025,0
94,7980.79,15023,0
95,7700.58,15021,0
96,8491.67,18020,0
97,8781.79,17021,0
98,9180.07,17021,0
99,8168.98,17027,0
100,7630.67,17030,0
101,7470.36,16021,0
102,8359.87,19023,0
103,7908.27,18017,0
104,9689.85,19027,0
105,8048.81,14023,0
106,6520.55,17018,0
107,10539.76,16022,0
108,9211.77,18028,0
109,10200.07,17023,0
110,7346.72,15019,0
111,8150.19,15025,0
112,7549.69,14027,0
113,8538.5,16027,0
114,8490.9,15028,0
115,9338.4,19009,0
116,10147.44,18019,0
117,10058.52,19022,0
118,8438.94,17026,0
119,11439.37,20020,0
120,10498.4,17013,0
121,9637.32,16035,0
122,11367.89,22015,0
123,9169.52,18015,0
124,8359.38,18020,0
125,8686.45,15013,0
126,8668.17,19016,0
127,8915.76,17017,0
128,9798.34,16024,0
129,9045.14,16028,0
130,10237.83,18023,0
131,9598.54,20020,0
132,10669.01,19021,0
133,8845.36,17013,0
134,12289.35,22018,0
135,10468.71,19022,0
136,14088.74,22019,0
137,11718.25,22016,0
138,11411.07,20020,0
