generation,averageFitness,topFitness,Updates
0,221.45,4023,0
1,850.05,5018,0
2,1974.77,5029,0
3,1820,5024,0
4,1810.41,5036,0
5,1789.81,5024,0
6,2229.91,5039,0
7,1957.14,6038,0
8,1506.11,4047,0
9,1795.75,7034,0
10,2215.16,6035,0
11,1414.98,6032,0
12,3316.67,10034,0
13,2163.16,7040,0
14,2033.25,6030,0
15,1609.96,6031,0
16,2303.58,5041,0
17,2526.05,7038,0
18,2173.42,6044,0
19,1163.52,5034,0
20,1380.93,4030,0
21,2146.08,6042,0
22,2578.78,7050,0
23,2135.96,6038,0
24,2450.07,9029,0
25,1997.63,5041,0
26,2848.33,7037,0
27,1986.32,6028,0
28,1594.1,6038,0
29,1935.35,5031,0
30,1828.98,4040,0
31,2717,7034,0
32,2675.51,7035,0
33,1638.22,5045,0
34,2299.15,7036,0
35,1598.23,5037,0
36,2816.59,7038,0
37,1940.32,5039,0
38,1999.04,5044,0
39,1692.11,5040,0
40,1713.24,6035,0
41,1984.7,5043,0
42,1723.56,5034,0
43,1372.65,5035,0
44,2027.09,6037,0
45,1466.12,6039,0
46,2696.43,7036,0
47,1373.53,4035,0
48,2273.51,6034,0
49,1515.64,5044,0
50,2067.53,6039,0
51,2168.3,6041,0
52,1729.74,4039,0
53,1169.74,5038,0
54,1509.37,5050,0
55,1906.89,6039,0
56,2417.18,6045,0
57,1947.62,5042,0
58,2948.71,7039,0
59,2414.18,6036,0
60,1832.53,6028,0
61,1683.92,5031,0
62,867.45,4035,0
63,1570.93,5050,0
64,1372.05,5039,0
65,2535.99,6030,0
66,2505.56,7040,0
67,1862.51,5040,0
68,2073.5,5034,0
69,1493.16,4035,0
70,1353.28,4039,0
71,2614.37,7031,0
72,2114.8,6042,0
73,1246.4,5034,0
74,1759.37,5045,0
75,1676.79,5037,0
76,1979.17,6042,0
77,2558.43,5046,0
78,2195.3,7036,0
79,2207.13,5043,0
80,2710.35,8049,0
81,1612.43,6032,0
82,1918.86,5048,0
83,1345.21,4043,0
84,2216.67,5041,0
85,2418.51,8045,0
86,1337.35,5038,0
87,2451.22,5054,0
88,2729.26,7034,0
89,1835.56,5045,0
90,1613.05,7038,0
91,1719.83,5045,0
92,1480.62,4048,0
93,1697.16,6039,0
94,2079.4,7041,0
95,2450.98,6044,0
96,2008.14,6039,0
97,1518.2,4048,0
98,2470.19,6046,0
99,2237.82,7044,0
100,1591.44,6049,0
101,2497.4,6041,0
102,2114.99,6042,0
103,2182.84,6025,0
104,2016.76,6028,0
105,2687.11,8038,0
106,2694.57,7025,0
107,1720.1,6026,0
108,1692.91,5037,0
109,2314.54,6034,0
110,1934.9,6030,0
111,2409.43,6037,0
112,1949.28,6039,0
113,2622.59,7046,0
114,1525.18,6038,0
115,2366.65,9039,0
116,3098.14,9047,0
117,1811.48,4049,0
118,2038.52,6041,0
119,1716.56,6037,0
120,1577.16,5045,0
121,2336.94,7037,0
122,1336.42,5036,0
123,1789.85,5035,0
124,1964.92,5037,0
125,1774.52,6033,0
126,1033.58,5033,0
127,2203.77,7039,0
128,2429.03,7037,0
129,1914.22,6041,0
130,3026.27,9039,0
131,1568.77,6045,0
132,1864.81,6037,0
133,918.88,5039,0
134,1909.45,6038,0
135,2809.93,7042,0
136,3085.7,7031,0
137,2298.65,6040,0
138,2144.19,7037,0
139,2015.44,5045,0
140,2807.92,7041,0
141,2744.6,7046,0
142,2649.59,6045,0
143,2608.74,6040,0
144,3038.98,8045,0
145,2675.78,7032,0
146,2596.73,7042,0
147,1186.1,5034,0
148,1939.47,6040,0
149,2154.25,6041,0
150,1916.9,6038,0
151,1897.67,7035,0
152,1591.48,8040,0
153,906.61,6035,0
154,1729.54,7043,0
155,2021.21,7037,0
156,1291.65,5041,0
157,1211.69,4043,0
158,2291.06,6048,0
159,1448.4,6034,0
160,2816,7036,0
161,1889.63,6049,0
162,1750.13,7055,0
163,2190.39,5046,0
164,2091.35,5053,0
165,1969.11,5037,0
166,1687.57,6050,0
167,3119.08,8041,0
168,2546.48,7038,0
169,2259.49,7040,0
170,2257.61,6039,0
171,2827.7,7043,0
172,2156.25,6043,0
173,2021.02,6032,0
174,2804.23,8040,0
175,2119.62,6035,0
176,1717.94,7041,0
177,2165.3,6031,0
178,2721.4,6038,0
179,3053.9,7032,0
180,1576.42,6028,0
181,2877.32,7046,0
182,1986.05,6037,0
183,1660.5,6029,0
184,1532.89,7040,0
185,2262.62,7034,0
186,1633.89,5028,0
187,2288.81,7035,0
188,1874.64,5031,0
189,1925.29,6030,0
190,2034.63,7031,0
191,2201.93,6032,0
192,1619.29,6030,0
193,2178.28,6037,0
194,1339.5,5035,0
195,1412.27,5034,0
196,1611.28,5029,0
197,2453.37,7044,0
198,2326.27,7039,0
199,1175.73,4037,0
200,1844.7,6032,0
201,1741.98,5035,0
202,1563.43,6032,0
203,1446.61,5030,0
204,728.63,5045,0
205,1262.5,4046,0
206,1643.89,6035,0
207,1805.5,6040,0
208,2279.28,7035,0
209,1120.6,6033,0
210,2732.31,7032,0
211,1916.16,5037,0
212,1531.21,6035,0
213,1592.54,6027,0
214,1389.23,5042,0
215,1625.89,4040,0
216,2069.52,6051,0
217,2077.86,7050,0
218,1451.79,7032,0
219,1865.88,5045,0
220,1364.19,4053,0
221,1758.09,7036,0
222,2212.67,6047,0
223,2345.65,5041,0
224,1965.07,5040,0
225,2294.3,6041,0
226,1345.66,5035,0
227,2897.29,8039,0
228,2228.22,6035,0
229,1977.61,5045,0
230,1976.9,6047,0
231,1776.98,5034,0
232,2316.61,8039,0
233,1638.57,5053,0
234,2130.37,5043,0
235,2597.35,7037,0
236,1932.68,5047,0
237,1648.6,5044,0
238,2250.63,6040,0
239,1882.58,5047,0
240,2350.11,7035,0
241,2241.26,6042,0
242,1842.4,6054,0
243,2036.65,7030,0
244,1938.21,5043,0
245,1951.47,5049,0
246,1768.92,5033,0
247,1706.9,5040,0
248,2606.12,10036,0
249,1615.62,6033,0
250,1964.05,6038,0
251,1574.01,5036,0
252,1527.49,5044,0
253,2167.75,5042,0
254,2329.9,8038,0
255,1178.84,4038,0
256,2820.35,7037,0
257,1558.97,4046,0
258,2210.85,5046,0
259,1807.75,6034,0
260,1540.49,6049,0
261,2358.92,6037,0
262,3650.59,10041,0
263,2558.5,7041,0
264,1797.41,5047,0
265,3222.39,8049,0
266,2320.76,7050,0
267,2111.58,6037,0
268,1361.45,3055,0
269,1899.68,7045,0
270,2070.8,6045,0
271,2090.73,6041,0
272,2230.08,7041,0
273,2458.92,7044,0
274,2529.28,6035,0
275,2180.48,6038,0
276,1751.21,8044,0
277,1673.79,6043,0
278,1936.7,6042,0
279,1378.28,4041,0
280,2058.37,7041,0
281,2748.59,8040,0
282,1362.06,5041,0
283,1718.59,6043,0
284,2108.94,6035,0
285,2687.44,6046,0
286,2046.34,6042,0
287,1460.54,4041,0
288,3285.19,8023,0
289,2357.3,5042,0
290,2270.5,6048,0
291,2350.17,6036,0
292,1508.89,5043,0
293,2342.08,6050,0
294,3336.98,9033,0
295,3139.49,8046,0
296,2069.14,5055,0
297,1794.87,5031,0
298,2375.01,6031,0
299,2142.83,6037,0
300,1939.16,7039,0
301,1665.81,5046,0
302,2236.6,8045,0
303,2288.22,7034,0
304,3657.25,8038,0
305,2665.14,8042,0
306,1646.67,5034,0
307,2637.76,6035,0
308,1581.15,5041,0
309,2385.78,5042,0
310,1635.78,6034,0
311,1829.1,6039,0
312,2741.15,7035,0
313,1934.9,6045,0
314,2162.94,6046,0
315,2149.19,6046,0
316,2128.33,8048,0
317,1745.96,8028,0
318,1946.95,5043,0
319,2616.22,7037,0
320,1403.64,4042,0
321,1757.59,6049,0
322,1950.06,6029,0
323,2745.21,7031,0
324,2372.82,6037,0
325,2252.91,8033,0
326,2324.99,6042,0
327,1461.62,5026,0
328,2324.86,6037,0
329,2901.08,7038,0
330,2229.27,6028,0
331,1764.66,5042,0
332,2560.88,7033,0
333,2875.84,7038,0
334,2138.57,7041,0
335,2466.14,7031,0
336,1467.66,6039,0
337,3138.71,8033,0
338,2310.22,6043,0
339,2282.59,6039,0
340,1900.49,6035,0
341,3961.34,9035,0
342,2978.34,8042,0
343,2011.26,7036,0
344,2421.33,5047,0
345,2020.44,6038,0
346,2612.79,7047,0
347,2560.55,6041,0
348,2427.72,7041,0
349,2369.49,6035,0
350,1812.19,5032,0
351,1940.12,8038,0
352,2213.03,7026,0
353,2275.59,8023,0
354,2595.87,6031,0
355,1391.35,5046,0
356,1718.9,6050,0
357,2482.68,7013,0
358,2402.75,6042,0
359,2427.46,8032,0
360,2298.21,6037,0
361,2165.73,6041,0
362,1882.11,6036,0
363,1894.15,8021,0
364,2106.2,6028,0
365,2783.23,8043,0
366,2705.65,7040,0
367,3038.09,7047,0
368,2708.95,7048,0
369,2676.33,8036,0
370,3075.85,7041,0
371,2861.92,6037,0
372,2732.86,8034,0
373,3023.93,8037,0
374,2783.68,8033,0
375,2739.84,9037,0
376,2353.5,7038,0
377,2863.99,7043,0
378,3929.03,9035,0
379,2783.64,7031,0
380,2468.17,7040,0
381,2838.47,6029,0
382,3290.24,10047,0
383,3238.62,9045,0
384,2728.24,11044,0
385,3570.37,8047,0
386,3686.48,9031,0
387,3110.92,8035,0
388,2700.72,9035,0
389,3068.61,6042,0
390,2676.23,8037,0
391,2438.97,6048,0
392,2508.52,6045,0
393,3139.12,7041,0
394,2347.49,6046,0
395,3128.5,7039,0
396,2999.03,7046,0
397,3363.4,8041,0
398,3019.44,8027,0
399,2761.67,8041,0
400,3068.93,7043,0
401,2750.25,8041,0
402,4059.25,9039,0
403,3739.66,9042,0
404,3194.55,8032,0
405,4195.16,11036,0
406,3724.22,9041,0
407,3373.73,9040,0
408,2755.22,10033,0
409,3125.56,7039,0
410,2457.76,7034,0
411,3590.71,8036,0
412,3146.77,8033,0
413,2956.7,8042,0
414,3599.35,8044,0
415,3529.47,8039,0
416,4449.92,10048,0
417,3121.29,9055,0
418,4190.51,8050,0
419,3060.21,7045,0
420,3518.7,7046,0
421,3489.32,10033,0
422,3209.04,8042,0
423,3531.07,8049,0
424,2509.53,7047,0
425,2831.5,8047,0
426,2871.28,7032,0
427,3371.74,8044,0
428,3291.87,7044,0
429,2688.52,6045,0
430,2949.44,8045,0
431,2962.42,8042,0
432,3278.15,8045,0
433,3979.81,9042,0
434,2830.25,7041,0
435,3089.28,8043,0
436,2589.37,6039,0
437,2840.91,6043,0
438,1604.07,5036,0
439,3036.03,7036,0
440,2173.28,7046,0
441,3980.36,9040,0
442,2969.53,7036,0
443,1758.68,4043,0
444,3666.83,9033,0
445,2020.97,7044,0
446,3297.56,8045,0
447,4601.1,10037,0
448,3229.82,9048,0
449,3179.61,7048,0
450,3361.23,11037,0
451,3781.42,8045,0
452,3618.39,8049,0
453,4278.11,9036,0
454,2850.31,9043,0
455,2119.21,5036,0
456,3069.18,9038,0
457,2908.16,7044,0
458,2491.49,8034,0
459,3150.75,9047,0
460,2942.95,7043,0
461,3959.92,8047,0
462,2734.34,8045,0
463,4129.57,11035,0
464,4001.96,8041,0
465,2879.33,7043,0
466,2920.11,6050,0
467,2467.97,6039,0
468,1901.49,5041,0
469,2436.95,6042,0
470,2570.05,5047,0
471,2917.62,7040,0
472,2528.68,6043,0
473,2223.04,8036,0
474,2838.15,7041,0
475,2204.36,7034,0
476,2435.21,7037,0
477,2616.89,7040,0
478,4889.1,9045,0
479,3645.73,7039,0
480,2765.91,6035,0
481,2436.83,6039,0
482,2039.69,6028,0
483,2545.22,5041,0
484,2310.58,7041,0
485,2290.4,6036,0
486,2287.97,6038,0
487,2684.37,7041,0
488,2497.86,7029,0
489,3384.24,7037,0
490,4168.43,9042,0
491,2858.02,7034,0
492,2159.54,6039,0
493,2635.78,7041,0
494,2034.75,6037,0
495,3914.96,7043,0
496,2203.25,6032,0
497,2922.54,7033,0
498,2410.18,7035,0
499,1659.03,5042,0
500,1988.21,7039,0
