Generation,Average,Best,Updates
0,272.2,3010,5247
1,1409.54,4013,15634
2,1440.56,6013,15032
3,1970.82,5017,18807
4,2115.43,7026,31926
5,2642.85,7015,26683
6,3814.06,8019,33148
7,2462.47,8014,24148
8,4403.1,9014,53249
9,2746.68,8018,36320
10,4858.27,11019,51100
11,4457.94,11022,32288
12,4258.79,10017,35825
13,4717.5,9019,51563
14,6371.07,12016,45700
15,3619.83,8025,44822
16,6248.65,13022,48001
17,6516.15,12012,41507
18,8891.74,16018,38729
19,7434.98,13018,53800
20,4741.29,11013,34156
21,6951.56,13010,66232
22,7570.54,12014,69913
23,5885.44,10019,54899
24,7316.69,12014,47913
25,5874.02,12015,55863
26,5450.81,12021,50061
27,7776.62,14019,52335
28,7505.94,15010,61676
29,6525.13,12014,38246
30,7628.48,13020,54102
31,6116.33,12017,45976
32,5578.84,13019,40083
33,3980.44,13017,26609
34,4957.2,12018,57506
35,5702.84,13009,63249
36,8485.97,14016,49714
37,7007.41,12019,71869
38,6377.29,14025,46318
39,9010.6,14021,67051
40,5868.2,11013,61772
41,8038.67,13025,98757
42,9098.1,15019,47097
43,7938,12018,60051
44,8228.83,13018,52146
45,9120.64,17022,108312
46,11197.9,19010,81861
47,8009.27,14029,80248
48,7988.79,12025,76775
49,8930.56,15022,90152
50,10998.46,19020,80380
51,8138.17,15018,55163
52,8928.08,18020,68444
53,9207.85,16016,85041
54,11753.13,19021,48667
55,7966.13,14011,65939
56,9237.09,16018,95871
57,8716.08,15019,76212
58,9366.45,16020,94626
59,10436.12,17023,68684
60,8598.69,15018,58094
61,8786.1,15018,60544
62,12537.35,19018,56368
63,9647.99,18014,67761
64,12239.57,21020,61113
65,9809.9,19030,62071
66,11557.32,19014,47503
67,7797.03,14017,46008
68,12486.75,19019,79999
69,10771.65,18025,99142
70,12272.01,19030,90771
71,9218.8,16021,104922
72,10939.3,18019,82707
73,13580.28,22022,61649
74,13033.9,19025,107140
75,12161.21,18027,84010
76,12920.76,19016,61765
77,14022.02,19025,138059
78,13729.92,20027,64230
79,13530.65,20018,87485
80,12460.7,19013,44208
81,14342.09,26022,109530
82,11859.67,16022,75111
83,14319.66,20032,95225
84,13969.89,21015,82396
85,12661.12,19031,65320
86,13941.13,23013,111012
87,10707.82,18020,68403
88,14459.36,21012,128863
89,13458.63,21019,112482
90,12677.44,19016,98378
91,14619.31,22014,132913
92,15079.24,21023,151638
93,10616.23,21026,99625
94,12939.7,18024,112669
95,15557.83,22026,91568
96,13759.66,19017,73540
97,11591.03,19016,78105
98,16617,22013,3860
99,14280.6,22019,86744
100,14420.57,20020,88930
101,12349.19,19029,118628
102,13026.33,22020,87352
103,9340.8,22016,32562
104,14278.79,20016,60790
