generation,averageFitness,topFitness
0,444.67,2016
1,396.12,2012
2,916.7,4004
3,629.61,4014
4,100.87,5019
5,2937.37,7015
6,2574.04,6018
7,4076.52,9017
8,3256.06,8020
9,2965.67,8021
10,3285.97,7020
11,2985.93,6021
12,4245.07,8025
13,2984.59,6019
14,4167.06,8020
15,4144.76,9016
16,2997.72,7012
17,3937.73,8016
18,2955.81,7015
19,2795.61,6019
20,2728,6026
21,2456.08,6024
22,3224.14,8013
23,2537.52,6019
24,3255.66,8017
25,3417.82,10020
26,2857.37,6023
27,4414.59,7019
28,3205.11,7017
29,1996.25,6016
30,3256.55,9031
31,3843.83,7021
32,3496.48,7023
33,3314.27,7012
34,2195.44,5018
35,3177.31,7015
36,3684.95,8019
37,3987.04,8017
38,3382.44,8023
39,1873,5021
40,2946.04,7018
41,2803.07,5023
42,2795.92,6018
