Generation,Average,Best,Updates,Samples
0,1126.2,2560.0,111486,10
1,2267.9,3650.0,157866,10
2,2277.5,3630.0,154318,10
3,2357.6,3650.0,157146,10
4,2413.7,3690.0,162786,10
5,2483.8,3650.0,169809,10
6,2560.2,3780.0,172734,10
7,2459.5,3610.0,161532,10
8,2545.4,3640.0,167702,10
9,2329.3,3460.0,154571,10
10,2467.5,3570.0,165126,10
11,2402.9,3600.0,160070,10
12,2432.8,3560.0,161985,10
13,2348.5,3430.0,157697,10
14,2343.3,3460.0,158105,10
15,2356.0,3430.0,160829,10
16,2346.7,3500.0,155607,10
17,2337.5,3470.0,153328,10
18,2388.3,3420.0,159609,10
19,2327.8,3510.0,157421,10
20,2130.0,3240.0,145330,10
21,2101.3,3180.0,144608,10
22,2127.7,3180.0,144094,10
23,2021.6,2970.0,132865,10
24,1968.1,3080.0,132047,10
25,1957.8,3050.0,131182,10
26,1920.2,2920.0,125968,10
27,1840.9,2900.0,122989,10
28,1952.5,2950.0,130729,10
29,1691.6,2880.0,109846,10
30,1839.4,2840.0,129768,10
31,1804.2,2900.0,120167,10
32,1864.9,2970.0,125562,10
33,1816.8,2800.0,122313,10
34,1770.2,2770.0,118812,10
35,1711.8,2710.0,116176,10
36,1768.4,2780.0,125579,10
37,1685.3,2650.0,110850,10
38,1692.9,2660.0,114103,10
39,1643.5,2570.0,113025,10
40,1633.6,2670.0,112167,10
41,1640.1,2720.0,110018,10
42,1577.9,2540.0,108061,10
43,1659.4,2710.0,110901,10
44,1618.1,2610.0,109967,10
45,1635.9,2590.0,110722,10
46,1618.4,2600.0,109872,10
47,1577.5,2610.0,107639,10
48,1625.9,2570.0,110293,10
49,1383.7,2560.0,91315,10
50,1636.2,2660.0,111027,10
51,1658.7,2650.0,113295,10
52,1646.9,2570.0,109662,10
53,1635.0,2770.0,109736,10
54,1597.3,2650.0,106415,10
55,1646.8,2740.0,114010,10
56,1592.1,2490.0,107084,10
57,1560.4,2500.0,107368,10
58,1510.9,2410.0,99788,10
59,1601.5,2610.0,107100,10
60,1590.0,2510.0,107206,10
61,1489.9,2480.0,102706,10
62,1594.9,2650.0,107152,10
63,1540.9,2660.0,106433,10
64,1464.4,2670.0,98366,10
65,1446.4,2590.0,96464,10
66,1668.3,2630.0,114952,10
67,1509.4,2510.0,102587,10
68,1593.4,2600.0,110872,10
69,1460.1,2610.0,98069,10
70,1544.9,2550.0,105524,10
71,1511.1,2480.0,103825,10
72,1477.3,2400.0,99168,10
73,1447.3,2460.0,97965,10
74,1572.3,2570.0,106868,10
75,1592.6,2510.0,109962,10
76,1512.6,2540.0,103162,10
77,1492.1,2540.0,102135,10
78,1532.5,2490.0,104586,10
79,1415.8,2500.0,94711,10
80,1502.9,2520.0,100986,10
81,1531.6,2560.0,108019,10
82,1624.0,2670.0,110234,10
83,1585.7,2640.0,106745,10
84,1585.5,2520.0,104646,10
85,1523.4,2500.0,105147,10
86,1609.8,2660.0,110767,10
87,1579.2,2590.0,105066,10
88,1585.1,2590.0,109028,10
89,1523.9,2660.0,105150,10
90,1563.3,2620.0,106870,10
91,1577.4,2590.0,107028,10
92,1600.0,2590.0,108017,10
93,1477.9,2560.0,97058,10
94,1702.4,2780.0,118956,10
95,1532.6,2510.0,103195,10
96,1518.0,2610.0,99472,10
97,1521.0,2460.0,107195,10
98,1563.1,2590.0,110069,10
99,1502.6,2650.0,104378,10
100,1641.4,2590.0,113301,10
101,1604.6,2560.0,115904,10
102,1574.9,2550.0,106535,10
103,1619.8,2700.0,109663,10
104,1633.0,2600.0,107919,10
105,1565.2,2600.0,104694,10
106,1454.2,2560.0,95676,10
107,1570.9,2560.0,105627,10
108,1560.3,2590.0,102611,10
109,1523.4,2550.0,102498,10
110,1526.6,2620.0,102544,10
111,1661.0,2740.0,115269,10
112,1588.9,2490.0,106896,10
113,1586.7,2570.0,106901,10
114,1557.0,2660.0,104288,10
115,1578.3,2550.0,108217,10
116,1569.9,2580.0,103952,10
117,1514.5,2460.0,103308,10
118,1650.6,2650.0,110991,10
119,1601.0,2510.0,105647,10
120,1575.6,2540.0,107613,10
121,1605.9,2640.0,106811,10
122,1548.8,2600.0,102071,10
123,1547.7,2540.0,106798,10
124,1510.6,2560.0,99594,10
125,1447.9,2540.0,95155,10
126,1551.4,2520.0,103176,10
127,1533.9,2530.0,104752,10
128,1511.7,2470.0,103022,10
129,1502.5,2470.0,101428,10
130,1499.2,2440.0,101499,10
131,1540.3,2540.0,104587,10
132,1537.2,2590.0,105361,10
133,1570.7,2660.0,105857,10
134,1563.8,2560.0,107778,10
135,1518.8,2540.0,102268,10
136,1495.1,2520.0,98901,10
137,1395.1,2350.0,94085,10
138,1512.3,2450.0,102618,10
139,1546.9,2550.0,108351,10
140,1507.1,2500.0,100754,10
141,1545.5,2560.0,109515,10
142,1521.7,2510.0,102903,10
143,1563.1,2470.0,105829,10
144,1539.5,2610.0,103220,10
145,1591.6,2470.0,107231,10
146,1553.1,2550.0,105548,10
147,1615.3,2660.0,109151,10
148,1581.7,2460.0,108301,10
149,1613.1,2700.0,112471,10
150,1602.5,2520.0,112016,10
151,1521.5,2610.0,105952,10
152,1526.8,2530.0,99909,10
153,1563.4,2480.0,105134,10
154,1559.6,2690.0,106817,10
155,1428.6,2420.0,95221,10
156,1517.9,2560.0,102303,10
157,1530.4,2480.0,106828,10
158,1497.6,2490.0,102592,10
159,1487.8,2500.0,98707,10
160,1561.1,2550.0,110300,10
161,1595.0,2540.0,107386,10
162,1568.3,2490.0,114382,10
163,1576.6,2550.0,108535,10
164,1583.5,2740.0,113173,10
165,1588.6,2600.0,106749,10
166,1613.4,2750.0,110933,10
167,1546.5,2600.0,102859,10
168,1562.7,2510.0,108771,10
169,1488.5,2470.0,102456,10
170,1521.2,2520.0,105375,10
171,1422.3,2580.0,94717,10
172,1461.8,2600.0,99090,10
173,1566.4,2500.0,106082,10
174,1527.6,2580.0,100416,10
175,1626.1,2540.0,110992,10
176,1541.7,2450.0,105836,10
177,1614.4,2600.0,114324,10
178,1626.1,2640.0,107482,10
179,1619.6,2740.0,106937,10
180,1567.3,2620.0,105640,10
181,1628.0,2690.0,109837,10
182,1592.3,2570.0,113390,10
183,1581.6,2680.0,106920,10
184,1609.9,2520.0,107419,10
185,1643.1,2700.0,112634,10
186,1578.7,2510.0,107204,10
187,1551.0,2450.0,106493,10
188,1554.1,2580.0,104110,10
189,1487.8,2500.0,102599,10
190,1442.5,2500.0,94451,10
191,1515.6,2460.0,107577,10
192,1518.2,2460.0,105587,10
193,1571.3,2630.0,109488,10
194,1545.2,2540.0,103166,10
195,1488.9,2460.0,100761,10
196,1545.2,2600.0,105478,10
197,1540.7,2510.0,103907,10
198,1538.1,2650.0,103781,10
199,1547.2,2460.0,107710,10
200,1622.6,2660.0,109808,10
