Generation,Baseline-Avg,Baseline-Best,Updates,Samples,DynamicSocial-Avg,DynamicSocial-Best
0,680.024,5017.5,0,10,251.448,3713
1,1457.975,6816.3,0,10,1209.312,5313.2
2,2246.162,6720.9,0,10,1686.333,5313.8
3,3109.132,8216.7,0,10,1649.186,5512
4,2672.083,7819.8,0,10,1572.891,5613.9
5,2861.902,9119.2,0,10,1923.088,6014
6,3088.425,9215.2,0,10,2572.105,7014.6
7,3401.524,9114.4,0,10,1832.752,6215
8,3591.801,9418.6,0,10,2068.355,6312.3
9,3152.345,8918,0,10,2202.284,6214.6
10,3316.244,8619.6,0,10,2102.131,6116.6
11,3403.549,9417.3,0,10,2323.399,6315.8
12,3600.709,10118.6,0,10,2604.956,7516
13,3277.367,8818.4,0,10,2602.798,7014.1
14,4028.007,10120.1,0,10,2928.629,7218.2
15,3513.558,9716.6,0,10,2545.336,6716.2
16,3729.011,9215.2,0,10,3087.686,7917.2
17,4082.062,10916.3,0,10,3401.104,8019.5
18,4266.653,10221.3,0,10,2951.004,7717
19,4729.052,10920,0,10,3496.108,8615.6
20,4652.107,10618,0,10,3066.783,7818.1
21,4789.679,11319.3,0,10,3944.184,9017.5
22,4785.308,10119.1,0,10,3921.686,9116.3
23,4592.39,10022,0,10,3695.493,8314.9
24,4680.837,10418.2,0,10,3418.041,8014.9
25,4636.359,10320.5,0,10,3559.769,7917.6
26,4685.372,10620,0,10,3394.125,7915.1
27,4982.263,11221.3,0,10,3354.682,8016.7
28,5032.387,10717.7,0,10,3736.154,7916.7
29,4855.604,10018.4,0,10,3146.701,7517.3
30,5185.291,10817.9,0,10,3904.087,8819.7
31,4829.848,11115.6,0,10,3599.866,8818.4
32,4984.56,11021,0,10,4128.063,9018.4
33,5110.36,11020.5,0,10,3360.934,8716.2
34,5503.747,11817.9,0,10,3904.648,9018.3
35,5666.451,11716.5,0,10,3482.284,8118
36,5498.165,11719.9,0,10,3952.897,9617.7
37,5489.56,11419.5,0,10,3808.364,8516.9
38,5868.532,12917.6,0,10,3637.823,8019.3
39,5462.723,12616.8,0,10,4178.392,8220.6
40,6207.643,12116.8,0,10,3785.758,8318.7
41,6157.297,12918.5,0,10,4384.686,9020.2
42,6286.186,12814.3,0,10,4283.908,9120.2
43,6015.995,12116.8,0,10,4594.647,9121.1
44,5676.42,12419.6,0,10,4770.634,9920.8
45,6426.051,12819.5,0,10,4726.44,10022.5
46,6288.569,12615.3,0,10,4686.296,10520.4
47,6530.825,13320.8,0,10,4489.856,9221.4
48,6021.199,12617.4,0,10,4945.965,9820.3
49,6744.415,13817.4,0,10,4887.369,10120.6
50,6609.308,13815.9,0,10,5537.189,10920.2
51,6976.746,13717.9,0,10,5273.385,10418.9
52,6377.28,12620,0,10,5396.514,10819.3
53,6928.661,13917.9,0,10,6088.242,11720.9
54,6665.317,13419.7,0,10,5818.011,10721.5
55,6645.824,13818.1,0,10,5784.731,11018.3
56,6510.537,12819.4,0,10,5758.888,11619.4
57,7000.246,14016.5,0,10,5884.8,11722.5
58,6686.143,13617.9,0,10,5986.542,12021.9
59,6829.738,13418.9,0,10,6266.137,11621.7
60,6739.183,13420.3,0,10,5946.613,11421.5
61,7288.224,14218,0,10,5899.216,11320.7
62,7531.736,14118.4,0,10,6185.401,11621.2
63,7318.91,14517.4,0,10,5680.301,11319.6
64,7126.712,14318.9,0,10,6088.525,11520.4
65,7671.072,14219.9,0,10,5932.216,11621.4
66,7135.07,14118.9,0,10,6511.989,11619.2
67,7568.422,14618.8,0,10,5595.871,11119.9
68,7747.238,15119.2,0,10,6080.47,11919
69,7387.171,14320.3,0,10,6204.223,11622
70,6979.126,13820.3,0,10,6508.743,11820.3
71,7356.809,14317.5,0,10,5795.777,11420.1
72,7199.071,14119.1,0,10,6620.729,12420.7
73,7855.076,15019.7,0,10,6637.694,12920.4
74,7646.089,14419.3,0,10,7062.771,12221.2
75,7741.114,14917.8,0,10,6241.919,12122.1
76,7750.014,15421.3,0,10,6621.379,12719.9
77,7864.547,14916.7,0,10,6823.232,12122.7
78,7552.079,15115.6,0,10,7137.613,12221.7
79,7998.961,15917,0,10,7514.496,13621.5
80,8230.419,16018.5,0,10,6729.557,12517.8
81,8230.528,15317.9,0,10,6979.596,13320.1
82,8110.925,15516.6,0,10,6766.312,12520.8
83,8195.928,14818.8,0,10,6696.266,12323.7
84,8541.933,15618,0,10,7024.193,12321.1
85,7981.38,14916.7,0,10,7108.499,12922.8
86,8594.931,16119.4,0,10,7309.234,13518.1
87,8819.343,15917.8,0,10,6787.982,13218.5
88,8433.173,15519.2,0,10,7620.056,14019.5
89,9057.889,15917.6,0,10,7259.87,13321.1
90,8304.33,15419,0,10,7837.676,13321.4
91,9030.458,15518.1,0,10,8071.486,14322.2
92,8492.918,15317,0,10,7866.214,13723.6
93,8888.155,15618,0,10,7462.934,13522.4
94,8397.747,15418.9,0,10,8285.079,14519.8
95,8437.808,16418.7,0,10,8259.792,14322.4
96,8572.655,16618.4,0,10,8488.775,14719.1
97,8643.098,16819.9,0,10,7921.107,14022.1
98,8716.651,15918.4,0,10,9058.047,14421.4
99,8415.669,15718.4,0,10,8601.319,14322.5
100,8534.008,16116.5,0,10,8512.7,14823
101,8385.766,15418.1,0,10,7917.838,14021.3
102,8641.093,16016.4,0,10,7938.218,14722.6
103,8187.955,16016,0,10,8049.917,14921.7
104,9007.441,17218.7,0,10,8053.735,14524
105,8869.51,16919.1,0,10,9074.61,14921.7
106,8928.061,17317.3,0,10,8694.721,14720.3
107,8759.759,16116.3,0,10,8324.602,15721.6
108,9337.391,16416.5,0,10,9075.153,15621.1
109,8912.671,16618.2,0,10,8799.77,15422.8
110,9358.494,17014.3,0,10,8443.987,15119.7
111,9253.578,16718.6,0,10,7988.9,14921
112,9110.283,16418,0,10,8082.013,13819.3
113,9322.061,15918,0,10,8379.766,15519.8
114,8842.048,17017.6,0,10,8185.852,14717.8
