Generation,Average,Best,Samples
0,258.29,4681.0,3
1,675.743333333,5012.66666667,3
2,1553.18,4686.66666667,3
3,1427.59,5012.66666667,3
4,1374.81666667,3690.66666667,3
5,1646.27,4349.66666667,3
6,1803.14,6356.33333333,3
7,2082.12,5689.66666667,3
8,1583.01666667,5023.66666667,3
9,1899.71,5688.33333333,3
10,1927.05666667,5354.66666667,3
11,1444.56333333,6018.0,3
12,2322.54,7688.33333333,3
13,2222.59333333,6685.33333333,3
14,1921.75666667,5353.66666667,3
15,1288.95,6017.66666667,3
16,1748.08666667,5692.66666667,3
17,2025.69333333,7351.66666667,3
18,2305.93666667,6693.66666667,3
19,1859.77333333,5022.33333333,3
20,1892.16666667,4689.66666667,3
21,2294.06666667,6025.66666667,3
22,3058.89666667,7361.0,3
23,2357.89666667,6356.33333333,3
24,2025.20666667,6685.0,3
25,2279.32,5691.66666667,3
26,2552.53,6688.0,3
27,2308.47,6352.33333333,3
28,2918.79,7025.0,3
29,2216.94333333,5686.0,3
30,1841.26,4689.33333333,3
31,2385.45,6356.33333333,3
32,2397.20666667,6356.0,3
33,1801.40666667,6022.66666667,3
34,2461.89,6688.0,3
35,2564.11333333,6688.0,3
36,2211.46666667,6354.66666667,3
37,2159.93666667,6023.33333333,3
38,2483.83333333,7025.66666667,3
39,3191.40666667,6693.0,3
40,2241.14333333,6357.66666667,3
41,2031.52,5689.66666667,3
42,2424.65,6022.33333333,3
43,2182.39333333,6025.66666667,3
44,2612.64,7357.0,3
45,2255.89666667,7023.0,3
46,3002.44,7357.66666667,3
47,2208.31666667,5356.33333333,3
48,2552.63666667,7023.33333333,3
49,1925.74666667,6363.0,3
50,2293.02,6367.0,3
51,2387.21,6696.33333333,3
52,2332.59,5359.33333333,3
53,1863.17666667,5697.0,3
54,2099.31333333,5368.33333333,3
55,1677.48666667,6028.0,3
56,2394.26,5700.0,3
57,2534.27,5700.0,3
58,2560.89666667,6030.0,3
59,2803.99333333,6363.0,3
60,2302.75,5694.33333333,3
61,1890.59,5696.0,3
62,1845.16,5030.0,3
63,1778.61,5367.66666667,3
64,1799.3,6363.0,3
65,2510.15333333,6025.66666667,3
66,2566.09333333,6692.33333333,3
67,2447.72333333,6029.33333333,3
68,2385.19666667,6692.33333333,3
69,1836.04666667,6029.0,3
70,2338.06,5695.33333333,3
71,2431.77666667,6358.66666667,3
72,2284.4,6693.33333333,3
73,2228.93666667,6361.33333333,3
74,2307.95666667,6029.66666667,3
75,1952.81333333,5359.0,3
76,2240.37333333,6694.0,3
77,2561.38666667,6364.66666667,3
78,2474.52666667,7358.33333333,3
79,2317.73,6696.0,3
80,2292.02,6364.33333333,3
81,1868.05333333,7357.66666667,3
82,2025.95,6029.0,3
83,1977.61666667,5363.66666667,3
84,2341.94666667,6031.0,3
85,2454.84666667,7030.66666667,3
86,1786.19,6027.33333333,3
87,2682.86,6701.33333333,3
88,2405.93666667,7364.33333333,3
89,1927.77,5694.66666667,3
90,2040.90333333,5697.0,3
91,1772.74333333,6029.66666667,3
92,2038.02,5363.0,3
93,2002.58,6022.66666667,3
94,2320.6,7024.66666667,3
95,2380.57,6359.66666667,3
96,2033.03,5361.0,3
97,2158.74,5032.33333333,3
98,2374.43333333,6028.66666667,3
99,2361.48333333,6694.66666667,3
100,1714.09,6698.33333333,3
101,2244.78666667,6027.0,3
102,2128.64666667,6692.33333333,3
103,2435.46333333,7024.0,3
104,2114.44,6355.66666667,3
105,2461.45333333,6694.0,3
106,2443.53666667,6689.0,3
107,1992.22,6357.66666667,3
108,1819.39333333,5696.66666667,3
109,2215.21666667,6691.0,3
110,2060.10666667,6021.33333333,3
111,2234.31333333,6030.0,3
112,2201.37666667,6359.66666667,3
113,2446.38,6365.33333333,3
114,2036.32666667,7024.0,3
115,2130.49666667,6697.33333333,3
116,2433.77333333,6698.33333333,3
117,2227.49,6031.33333333,3
118,2227.89666667,6366.0,3
119,2090.28666667,6028.33333333,3
120,1869.81333333,5695.33333333,3
121,2120.62333333,6028.0,3
122,1833.18333333,5692.33333333,3
123,1978.33333333,5693.66666667,3
124,2299.32,6030.33333333,3
125,2323.33333333,6359.0,3
126,1807.1,5364.66666667,3
127,1869.35333333,5363.66666667,3
128,2383.23333333,6363.0,3
129,2357.65,7029.0,3
130,2179.29333333,7362.66666667,3
131,1861.58666667,5699.0,3
132,1665.77666667,5363.66666667,3
133,2065.39666667,6700.33333333,3
134,2317.12333333,6700.0,3
135,2355.36,6363.33333333,3
136,2415.07666667,7026.66666667,3
137,2145.28333333,6365.33333333,3
138,1834.37,6029.0,3
139,1693.77,4697.33333333,3
140,2207.91666667,5697.0,3
141,2352.59,6697.33333333,3
142,2293.09,6032.33333333,3
143,1886.67333333,5365.0,3
144,2176.22666667,6700.66666667,3
145,2169.11666667,6690.33333333,3
146,2035.39333333,6034.33333333,3
147,1295.32,4697.33333333,3
148,1998.99666667,5367.0,3
149,1979.35,6030.66666667,3
150,2033.14666667,5698.33333333,3
151,1910.21333333,6361.0,3
152,1831.78666667,6694.0,3
153,1624.02,5698.0,3
154,1952.77333333,6031.66666667,3
155,1971.74666667,6030.33333333,3
156,2020.62666667,6370.0,3
157,1382.85333333,4697.66666667,3
158,1966.24666667,5699.66666667,3
159,1403.86,5029.33333333,3
160,2128.03,6027.33333333,3
161,1683.57333333,6031.66666667,3
162,1966.46,6032.66666667,3
163,1480.77333333,5368.33333333,3
164,2003.03333333,6033.66666667,3
165,2222.50666667,6029.0,3
166,1977.80666667,6035.0,3
167,2082.22333333,6699.33333333,3
168,1949.03666667,6366.0,3
169,1779.58333333,5694.0,3
170,2106.09,6366.0,3
171,2040.37666667,6033.33333333,3
172,2075.32,5368.0,3
173,2117.15333333,5692.66666667,3
174,2079.59,6029.33333333,3
175,2098.99333333,6032.33333333,3
176,1819.24333333,5700.0,3
177,1822.51333333,5029.33333333,3
178,2416.72,6362.33333333,3
179,2171.53,6029.33333333,3
180,1769.33333333,5693.0,3
181,2178.45333333,5700.66666667,3
182,1941.64333333,6030.0,3
183,1803.88666667,5696.0,3
184,1704.61666667,6365.66666667,3
185,2173.68333333,5700.33333333,3
186,1870.37,5693.0,3
187,2297.18666667,6366.33333333,3
