Generation,Average,Best,Updates,Samples
0,251.448,3713.0,4750,10
1,1209.312,5313.2,15263,10
2,1686.333,5313.8,20647,10
3,1649.186,5512.0,18123,10
4,1572.891,5613.9,18418,10
5,1923.088,6014.0,19405,10
6,2572.105,7014.6,28958,10
7,1832.752,6215.0,26142,10
8,2068.355,6312.3,24224,10
9,2202.284,6214.6,23905,10
10,2102.131,6116.6,21505,10
11,2323.399,6315.8,23290,10
12,2604.956,7516.0,23941,10
13,2602.798,7014.1,27299,10
14,2928.629,7218.2,34008,10
15,2545.336,6716.2,28798,10
16,3087.686,7917.2,32342,10
17,3401.104,8019.5,31957,10
18,2951.004,7717.0,32012,10
19,3496.108,8615.6,33886,10
20,3066.783,7818.1,32760,10
21,3944.184,9017.5,39414,10
22,3921.686,9116.3,42721,10
23,3695.493,8314.9,39490,10
24,3418.041,8014.9,34335,10
25,3559.769,7917.6,35906,10
26,3394.125,7915.1,35425,10
27,3354.682,8016.7,33752,10
28,3736.154,7916.7,38119,10
29,3146.701,7517.3,29632,10
30,3904.087,8819.7,40055,10
31,3599.866,8818.4,41767,10
32,4128.063,9018.4,35903,10
33,3360.934,8716.2,36425,10
34,3904.648,9018.3,45979,10
35,3482.284,8118.0,40277,10
36,3952.897,9617.7,34913,10
37,3808.364,8516.9,44312,10
38,3637.823,8019.3,39663,10
39,4178.392,8220.6,39992,10
40,3785.758,8318.7,38870,10
41,4384.686,9020.2,41219,10
42,4283.908,9120.2,40593,10
43,4594.647,9121.1,45162,10
44,4770.634,9920.8,37775,10
45,4726.44,10022.5,48626,10
46,4686.296,10520.4,46299,10
47,4489.856,9221.4,48902,10
48,4945.965,9820.3,47684,10
49,4887.369,10120.6,45972,10
50,5537.189,10920.2,52848,10
51,5273.385,10418.9,48066,10
52,5396.514,10819.3,53920,10
53,6088.242,11720.9,56245,10
54,5818.011,10721.5,46650,10
55,5784.731,11018.3,55884,10
56,5758.888,11619.4,47669,10
57,5884.8,11722.5,52971,10
58,5986.542,12021.9,60572,10
59,6266.137,11621.7,56811,10
60,5946.613,11421.5,44626,10
61,5899.216,11320.7,49045,10
62,6185.401,11621.2,46787,10
63,5680.301,11319.6,49599,10
64,6088.525,11520.4,49790,10
65,5932.216,11621.4,49948,10
66,6511.989,11619.2,45021,10
67,5595.871,11119.9,48397,10
68,6080.47,11919.0,52119,10
69,6204.223,11622.0,59894,10
70,6508.743,11820.3,45277,10
71,5795.777,11420.1,48441,10
72,6620.729,12420.7,59406,10
73,6637.694,12920.4,54620,10
74,7062.771,12221.2,53118,10
75,6241.919,12122.1,51949,10
76,6621.379,12719.9,43115,10
77,6823.232,12122.7,44437,10
78,7137.613,12221.7,49837,10
79,7514.496,13621.5,52226,10
80,6729.557,12517.8,44029,10
81,6979.596,13320.1,49674,10
82,6766.312,12520.8,51021,10
83,6696.266,12323.7,49277,10
84,7024.193,12321.1,57397,10
85,7108.499,12922.8,58374,10
86,7309.234,13518.1,61212,10
87,6787.982,13218.5,50050,10
88,7620.056,14019.5,55920,10
89,7259.87,13321.1,60241,10
90,7837.676,13321.4,64676,10
91,8071.486,14322.2,72428,10
92,7866.214,13723.6,73250,10
93,7462.934,13522.4,51153,10
94,8285.079,14519.8,75878,10
95,8259.792,14322.4,73618,10
96,8488.775,14719.1,57466,10
97,7921.107,14022.1,70758,10
98,9058.047,14421.4,56421,10
99,8601.319,14322.5,59255,10
100,8512.7,14823.0,58458,10
101,7917.838,14021.3,55961,10
102,7938.218,14722.6,54260,10
103,8049.917,14921.7,61450,10
104,8053.735,14524.0,53643,10
105,9074.61,14921.7,80564,10
106,8694.721,14720.3,55892,10
107,8324.602,15721.6,61256,10
108,9075.153,15621.1,48895,10
109,8799.77,15422.8,65805,10
