Generation,Average,Best,Samples
0,51.9666666667,915.0,30
1,252.95,1293.33333333,30
2,441.275862069,1405.17241379,29
3,555.396551724,1456.89655172,29
4,671.103448276,1574.13793103,29
5,697.017241379,1522.4137931,29
6,785.275862069,1632.75862069,29
7,835.24137931,1687.93103448,29
8,830.034482759,1637.93103448,29
9,881.568965517,1679.31034483,29
10,859.689655172,1710.34482759,29
11,922.172413793,1691.37931034,29
12,909.844827586,1641.37931034,29
13,901.568965517,1693.10344828,29
14,978.620689655,1791.37931034,29
15,1013.86206897,1768.96551724,29
16,1044.34482759,1831.03448276,29
17,1051.15517241,1860.34482759,29
18,1088.0,1882.75862069,29
19,1094.63793103,1886.20689655,29
20,1114.35185185,1872.22222222,27
21,1035.90909091,1829.54545455,22
22,1134.52631579,1944.73684211,19
23,1184.36842105,1952.63157895,19
24,1186.36111111,1905.55555556,18
25,1146.86111111,1891.66666667,18
26,1239.75,1947.22222222,18
27,1219.75,1947.22222222,18
28,1157.97222222,1922.22222222,18
29,1195.83333333,1927.77777778,18
30,1186.0,1922.22222222,18
31,1239.83333333,1963.88888889,18
32,1219.69444444,1922.22222222,18
33,1212.05555556,2013.88888889,18
34,1195.61111111,1988.88888889,18
35,1223.75,2028.125,16
36,1251.625,2043.75,16
37,1229.03333333,2036.66666667,15
38,1290.75,2078.57142857,14
39,1183.39285714,2014.28571429,14
40,1322.64285714,2082.14285714,14
41,1224.10714286,2032.14285714,14
42,1310.25,2171.42857143,14
43,1404.03571429,2203.57142857,14
44,1418.14285714,2139.28571429,14
45,1346.17857143,2128.57142857,14
46,1455.71428571,2182.14285714,14
47,1372.57142857,2114.28571429,14
48,1419.42857143,2132.14285714,14
49,1384.46428571,2139.28571429,14
50,1400.28571429,2150.0,14
51,1421.35714286,2200.0,14
52,1412.85714286,2164.28571429,14
53,1449.21428571,2200.0,14
54,1485.5,2207.14285714,14
55,1489.67857143,2164.28571429,14
56,1450.85714286,2171.42857143,14
57,1540.07142857,2271.42857143,14
58,1561.46428571,2275.0,14
59,1534.25,2275.0,14
60,1539.21428571,2275.0,14
61,1556.92857143,2264.28571429,14
62,1512.57142857,2278.57142857,14
63,1502.75,2239.28571429,14
64,1514.35714286,2250.0,14
65,1522.96428571,2292.85714286,14
66,1431.75,2264.28571429,14
67,1527.39285714,2289.28571429,14
68,1493.35714286,2225.0,14
69,1535.17857143,2285.71428571,14
70,1524.64285714,2307.14285714,14
71,1559.0,2238.46153846,13
72,1575.19230769,2311.53846154,13
73,1568.625,2283.33333333,12
74,1615.55,2320.0,10
75,1595.85,2325.0,10
76,1672.0,2343.75,8
77,1666.125,2275.0,8
78,1623.8125,2237.5,8
79,1668.6875,2368.75,8
80,1676.625,2375.0,8
81,1545.75,2216.66666667,6
82,1468.5,2230.0,5
83,1596.875,2312.5,4
84,1750.66666667,2300.0,3
85,1677.66666667,2333.33333333,3
86,1727.5,2275.0,2
87,1741.75,2475.0,2
88,1558.5,2200.0,1
89,1539.0,2350.0,1
90,1514.0,2250.0,1
91,1740.5,2500.0,1
92,1574.5,2350.0,1
