Generation,Baseline-Average,Baseline-Champion,Social-Average (Darwinian),Social-Champion (Darwinian),Social-Average (Lamarkian),Social-Champion (Lamarkian)
0,17,410,25.95,585,28.1,570
1,78.55,625,88.75,920,58.4,715
2,137.15,845,67.3,745,292.25,995
3,230.05,975,304.6,955,121.8,860
4,137.9,665,262.9,970,260.8,1015
5,135.15,765,256.65,1135,232,1030
6,92.2,525,131.3,650,221.45,830
7,133.05,800,266.15,920,308.6,985
8,164.95,570,151.5,810,109.6,825
9,199.9,825,189.6,845,231,860
10,261.25,925,233.1,900,176.85,735
11,169.9,875,279.85,1040,166.15,705
12,104.5,620,155.8,755,209.65,820
13,165,780,159.5,780,219.1,870
14,215.35,790,163.5,820,222.05,875
15,285.9,940,242.55,890,107.9,615
16,170.25,800,262.95,940,172.3,740
17,178.2,870,298.75,1225,319.95,1020
18,267.8,1000,212.15,880,238.55,1055
19,248.5,990,317.15,1230,147.15,875
20,223.6,830,94.7,685,227.3,815
21,223,985,239.9,920,308.2,1010
22,182.05,690,188.25,990,296.55,975
23,216.55,850,315.55,1165,315.05,940
24,274.25,1165,271.7,1065,216.25,950
25,284.9,1025,245.1,1110,316.95,1000
26,250.1,1030,246.15,1135,262.65,880
27,191.15,880,228.3,975,273.75,1040
28,249.65,1085,274.75,1070,207.7,965
29,152.6,795,278.25,965,277.2,965
30,238.15,935,239.95,1070,236.8,930
31,273.8,1045,275.05,985,240.9,955
32,293.45,1030,365.95,1140,156.9,845
33,300.6,1105,355.25,1285,303.65,1040
34,363.6,1270,269.85,1145,157.3,795
35,313.95,1090,270.55,1215,186.4,865
36,219.25,995,230.4,1160,313.95,1090
37,268.6,990,256.6,1040,239.55,935
38,359.3,1015,345.75,1290,202.5,1020
39,357.95,1170,243.1,1140,288.15,910
40,331.6,1210,310.45,1240,233.3,1145
41,387.95,1075,380.1,1355,325.3,1055
42,336.15,1085,334,1205,224.3,820
43,206.05,980,356.65,1290,340.5,1080
44,283.15,990,220.8,1210,290.35,1170
45,296.7,1020,330.3,1160,256.9,1145
46,293.5,1070,280.25,1090,228.75,1140
47,191,980,214.3,1065,362.1,1100
48,192,1145,354.95,1115,216.25,975
49,249.85,1080,253.15,1065,337.5,1225
50,199.55,1030,300.5,1170,234.65,1095
51,261.75,1145,296.65,1210,310.2,1080
52,318.1,1095,327.75,1165,263.6,1095
53,277.5,1165,310.4,1310,302.05,1110
54,246.35,1030,284.3,1220,292.45,1175
55,346.85,1255,453.75,1280,279.15,1165
56,335,1130,290.35,1100,359.1,1240
57,338.2,1200,436.05,1495,343.85,1225
58,275.4,1175,257.75,1170,358.5,1200
59,429.65,1330,300.35,1140,283.35,1170
60,331.1,1155,305.6,1280,274.75,1145
61,335.9,1300,346.65,1330,313.05,1150
62,334.9,1260,448.1,1465,350.45,1260
63,300.95,1175,408.9,1205,359.2,1190
64,218.1,1255,337.2,1320,374.35,1340
65,337.5,1440,308.65,1135,307.8,1205
66,264.3,1125,378.8,1335,335.05,1220
67,274.9,1075,286.55,1265,327.8,1250
68,311.8,1065,324.5,1300,392.9,1205
69,330.75,1155,454.05,1330,345.65,1300
70,412.95,1405,364.45,1215,313.15,1155
71,302.05,1325,325.55,1250,350.6,1095
72,403.7,1435,332,1435,369.35,1265
73,356.25,1325,425.8,1465,394.15,1390
74,385.9,1295,247.05,1165,473.25,1320
75,307,1290,446.1,1435,369.1,1225
76,368.65,1125,412.5,1450,281.25,1165
77,405.85,1435,405.45,1430,375.15,1505
78,357.4,1300,440.7,1440,346.7,1240
79,353.45,1260,452.2,1345,429.75,1265
80,375.55,1295,357.25,1160,318.5,1415
81,332.5,1290,385.4,1325,343.15,1350
82,468.9,1285,373.8,1395,351.45,1280
83,372.15,1320,405.9,1350,456.25,1340
84,470.75,1430,397.8,1460,416.05,1400
85,350.6,1285,432.3,1525,391.2,1415
86,463.9,1565,398,1395,505.95,1490
87,406.3,1370,414.15,1360,380.4,1235
88,370,1320,362.85,1285,424.7,1395
89,420.2,1340,306.6,1285,410.8,1340
90,405.8,1215,390.7,1355,349.4,1405
91,401.3,1425,438.75,1390,352,1330
92,453.75,1450,529.5,1530,437.1,1380
93,342.95,1190,304.35,1330,301.55,1410
94,397.6,1335,438.65,1440,510.55,1520
95,402.05,1300,342.95,1365,422.15,1370
96,434.8,1360,452.75,1570,429.1,1525
97,472,1285,375.85,1460,382.2,1285
98,318.05,1325,271.7,1350,253.3,1100
99,388.7,1335,340.1,1345,397.3,1390
100,499.75,1415,371.7,1410,313.4,1380
