Generation,Baseline-Average,Baseline-Champion,Social-Average (Darwinian),Social-Champion (Darwinian),Social-Average (Lamarkian),Social-Champion (Lamarkian)
0,14.7,415,36,460,56.5,725
1,68.25,615,42.75,485,70.8,565
2,120.7,480,97.95,625,149.55,990
3,120.05,550,86.35,600,216.55,865
4,140.05,750,266.55,945,101.75,615
5,121.2,800,113.15,560,225.8,905
6,152.6,840,172.5,890,177,820
7,176.6,780,161.85,890,176.55,900
8,196.45,655,186.15,825,241.5,965
9,193.7,840,245.4,950,218.75,930
10,187,975,320.6,985,201.8,870
11,147.2,630,147.45,740,256.95,905
12,244.05,845,216.05,725,212.65,990
13,191.4,790,270.9,980,271.4,980
14,181,1025,184.8,855,178.75,1015
15,50.75,675,195.05,935,194.55,770
16,159.75,715,280.5,1130,116.4,550
17,138.55,685,265.4,1055,181.85,995
18,311.85,795,192.05,955,187.5,775
19,170.1,800,265.5,1135,233.95,1000
20,172.95,770,300.65,1100,122.45,895
21,160.3,895,257.65,1140,144.75,965
22,167.8,745,194.1,885,172.55,980
23,221,900,283,1160,145.1,845
24,109.7,660,293.5,1155,234.7,965
25,148.1,805,270.6,1100,242.4,970
26,166.3,900,248.9,1020,266.5,1085
27,176.75,880,261.7,975,193.35,980
28,146.75,875,369.15,1155,166.2,800
29,175.95,865,351.95,1055,308.35,995
30,165.4,795,337.9,1160,146.5,780
31,226.05,850,248.1,1080,216.75,1020
32,207.6,1030,330,1145,291.6,1060
33,232.35,990,330.8,1220,200.1,965
34,210.25,980,450.3,1400,302.35,1085
35,267.3,885,424.65,1310,256.2,970
36,253.75,830,273.05,1050,229.65,1000
37,227.25,830,447.65,1310,292.1,1295
38,210.45,830,288.1,1215,228.65,1160
39,185.2,920,360.25,1330,318.8,1200
40,205.3,800,347.45,1180,249.2,1085
41,243.15,990,273.2,1195,212.2,1075
42,268.3,970,288.55,1290,292.4,1235
43,135.6,805,427.9,1370,293.85,1180
44,200.5,955,332.25,1215,308.3,1250
45,149.65,890,426.5,1420,173.65,1170
46,248.35,1085,434.35,1320,266.65,1140
47,184.55,785,278.95,1325,341.9,1375
48,252.3,1055,444.9,1485,358.9,1370
49,253.6,1005,369.2,1345,302.55,1220
50,216.2,935,516.8,1510,269.5,1145
51,281.1,995,531.85,1380,322.6,1255
52,160.55,910,428.85,1415,299.4,1225
53,214.9,870,329.3,1230,269.95,1205
54,302.2,1040,443.35,1540,327.7,1220
55,233.5,985,505.85,1475,346.8,1320
56,232.8,980,418.95,1430,363.4,1290
57,268.3,1150,387.35,1220,352.35,1315
58,268.95,1055,429.25,1405,333.6,1305
59,239.1,940,530.05,1480,307.05,1375
60,241.65,915,593.9,1495,336.35,1250
61,329.7,1145,321,1220,382.95,1320
62,234.7,1130,336.35,1245,343.35,1305
63,222.1,905,458.75,1330,284.3,1190
64,271,1080,413.5,1460,431.1,1440
65,268.6,1000,425.85,1390,335.75,1335
66,321.75,1125,421.2,1345,344.95,1245
67,234.4,1170,428.95,1460,319.45,1275
68,291.2,940,472.65,1575,326.9,1275
69,352.65,1065,442.55,1310,380.35,1285
70,265.5,980,430.25,1455,527.05,1705
71,234.8,960,474.45,1475,486.95,1315
72,303.3,1165,520.35,1530,374.4,1435
73,279.85,1095,489.9,1520,463.3,1395
74,293.4,1040,506.55,1645,516.8,1580
75,317.9,1215,335.65,1355,493,1505
76,283.6,1005,424,1420,345.4,1360
77,311.9,1180,489.2,1525,374.45,1420
78,357.6,1260,400.8,1420,343.45,1325
79,316,1030,360.6,1450,336.75,1290
80,227.5,1095,409.7,1465,299.15,1195
81,229.65,960,381.85,1440,361.8,1450
82,344.9,1050,530,1480,361.9,1335
83,368.3,1325,497.7,1450,376.85,1400
84,214.3,955,524,1555,406.85,1430
85,382.1,1170,588.75,1720,407.8,1280
86,260.7,1305,529.5,1515,518.9,1555
87,366,1255,585.35,1670,369.25,1315
88,350.05,1060,493.1,1540,441.55,1385
89,283.15,1020,356.4,1480,409.75,1425
90,468.75,1375,507.45,1520,384.15,1305
91,313.1,1195,369.05,1420,385.4,1400
92,295.9,1050,497.5,1540,374.1,1295
93,278.55,1220,478.6,1430,372.55,1380
94,356.25,1260,518.6,1515,356.85,1340
95,217.85,1115,524.2,1525,384.1,1370
96,333.05,1300,553,1605,473.05,1525
97,402.1,1440,551.45,1605,483.95,1550
98,314.65,1185,545.15,1625,319.5,1405
99,222.85,1150,601.1,1615,395.85,1565
100,258.35,1165,488.35,1590,451.5,1415
