Generation,Average,Best,Samples
0,99.5166666667,1180.0,30
1,183.616666667,1341.66666667,30
2,423.283333333,1550.0,30
3,561.35,1556.66666667,30
4,579.166666667,1591.66666667,30
5,625.316666667,1641.66666667,30
6,693.45,1805.0,30
7,625.583333333,1683.33333333,30
8,621.866666667,1743.33333333,30
9,790.6,1833.33333333,30
10,711.6,1788.33333333,30
11,778.133333333,1743.33333333,30
12,697.916666667,1701.66666667,30
13,798.366666667,1930.0,30
14,845.65,1765.0,30
15,848.35,1736.66666667,30
16,921.433333333,1930.0,30
17,871.283333333,1861.66666667,30
18,764.816666667,1835.0,30
19,851.033333333,1988.33333333,30
20,886.55,1915.0,30
21,951.75,1978.33333333,30
22,888.016666667,2020.0,30
23,1015.48333333,1956.66666667,30
24,1025.08333333,2095.0,30
25,1059.28333333,2115.0,30
26,1000.3,2011.66666667,30
27,1055.08333333,2106.66666667,30
28,1047.35,2063.33333333,30
29,1180.26666667,2105.0,30
30,1020.3,2076.66666667,30
31,1036.55,1978.33333333,30
32,1044.7,2036.66666667,30
33,1004.36666667,1940.0,30
34,1067.35,2113.33333333,30
35,1152.28333333,2206.66666667,30
36,1116.81666667,2165.0,30
37,1113.03333333,2105.0,30
38,1109.51666667,2201.66666667,30
39,1137.0,2223.33333333,30
40,1105.71666667,2121.66666667,30
41,1103.5,2108.33333333,30
42,1063.51666667,2146.66666667,30
43,1119.06666667,2206.66666667,30
44,1192.43333333,2135.0,30
45,1219.88333333,2275.0,30
46,1240.95,2153.33333333,30
47,1251.61666667,2320.0,30
48,1218.21666667,2253.33333333,30
49,1278.96666667,2248.33333333,30
50,1292.43333333,2346.66666667,30
51,1121.08333333,2166.66666667,30
52,1351.71666667,2378.33333333,30
53,1267.3,2325.0,30
54,1247.58333333,2278.33333333,30
55,1270.08333333,2276.66666667,30
56,1414.36666667,2346.66666667,30
57,1372.41666667,2280.0,30
58,1240.05,2276.66666667,30
59,1457.86666667,2430.0,30
60,1248.06666667,2226.66666667,30
61,1497.48333333,2416.66666667,30
62,1256.58333333,2326.66666667,30
63,1401.46666667,2443.33333333,30
64,1327.76666667,2316.66666667,30
65,1382.6,2351.66666667,30
66,1281.38333333,2305.0,30
67,1376.65,2316.66666667,30
68,1451.9,2383.33333333,30
69,1360.93333333,2326.66666667,30
70,1461.46666667,2438.33333333,30
71,1478.91666667,2386.66666667,30
72,1464.43333333,2413.33333333,30
73,1427.93333333,2351.66666667,30
74,1478.01666667,2423.33333333,30
75,1420.6,2445.0,30
76,1266.18333333,2341.66666667,30
77,1443.13333333,2401.66666667,30
78,1317.03333333,2316.66666667,30
79,1563.23333333,2453.33333333,30
80,1471.53333333,2435.0,30
81,1497.43333333,2468.33333333,30
82,1341.9,2373.33333333,30
83,1480.96666667,2418.33333333,30
84,1445.23333333,2305.0,30
85,1314.85,2358.33333333,30
86,1479.71666667,2376.66666667,30
87,1448.58333333,2400.0,30
88,1532.71666667,2423.33333333,30
89,1422.91666667,2410.0,30
90,1547.85,2461.66666667,30
91,1481.43333333,2481.66666667,30
92,1571.13333333,2476.66666667,30
93,1537.1,2530.0,30
94,1565.96666667,2461.66666667,30
95,1627.65,2481.66666667,30
96,1657.85,2578.33333333,30
97,1560.71666667,2521.66666667,30
98,1601.71666667,2416.66666667,30
99,1576.81666667,2420.0,30
100,1565.01666667,2471.66666667,30
101,1540.0,2435.0,30
102,1633.08333333,2495.0,30
103,1609.53333333,2480.0,30
104,1603.61666667,2503.33333333,30
105,1577.21666667,2496.66666667,30
106,1655.73333333,2573.33333333,30
107,1622.71666667,2528.33333333,30
108,1626.16666667,2535.0,30
109,1489.48333333,2445.0,30
110,1726.83333333,2583.33333333,30
111,1614.3,2515.0,30
112,1600.45,2480.0,30
113,1602.45,2530.0,30
114,1622.11666667,2528.33333333,30
115,1610.16666667,2510.0,30
