Generation,Average,Best,Updates,Samples
0,51.0666666667,846.666666667,1000,30
1,263.666666667,1321.66666667,8300,30
2,478.533333333,1483.33333333,7733,30
3,678.466666667,1603.33333333,7666,30
4,767.866666667,1655.0,7000,30
5,818.983333333,1700.0,7300,30
6,835.366666667,1766.66666667,7466,30
7,875.5,1720.0,7100,30
8,948.283333333,1793.33333333,6833,30
9,968.283333333,1841.66666667,7000,30
10,1032.4,1876.66666667,7166,30
11,997.116666667,1871.66666667,7266,30
12,1047.61666667,1901.66666667,7466,30
13,1062.31666667,1918.33333333,7433,30
14,1084.25,1938.33333333,7366,30
15,1145.66666667,1938.33333333,7500,30
16,1140.35,1995.0,7400,30
17,1145.11666667,1988.33333333,7833,30
18,1184.15,2033.33333333,7800,30
19,1149.38333333,2036.66666667,7433,30
20,1206.33333333,2046.66666667,8000,30
21,1206.73333333,2041.66666667,7800,30
22,1238.45,2051.66666667,7266,30
23,1244.81666667,2070.0,7266,30
24,1246.95,2038.33333333,7366,30
25,1199.06666667,2015.0,7766,30
26,1268.51666667,2105.0,8033,30
27,1261.56666667,2120.0,7966,30
28,1331.61666667,2153.33333333,7733,30
29,1258.36666667,2115.0,7766,30
30,1310.45,2113.33333333,7700,30
31,1354.53333333,2175.0,7666,30
32,1349.76666667,2103.33333333,7400,30
33,1328.25,2145.0,7533,30
34,1345.63333333,2148.33333333,7700,30
35,1367.4,2205.0,7533,30
36,1365.11666667,2175.0,7333,30
37,1430.55,2230.0,7666,30
38,1418.0,2228.33333333,7866,30
39,1436.0,2248.33333333,8100,30
40,1420.55,2201.66666667,8100,30
41,1455.63333333,2248.33333333,8233,30
42,1441.05,2268.33333333,7900,30
43,1498.85,2275.0,7833,30
44,1490.1,2271.66666667,8166,30
45,1556.63333333,2316.66666667,8133,30
46,1466.33333333,2255.0,8400,30
47,1526.6,2315.0,8366,30
48,1522.71666667,2240.0,7833,30
49,1550.45,2308.33333333,8233,30
50,1505.58333333,2228.33333333,7833,30
51,1536.43333333,2281.66666667,8333,30
52,1545.65,2260.0,8700,30
53,1545.45,2251.66666667,8433,30
54,1539.4,2301.66666667,8566,30
55,1583.38333333,2306.66666667,8800,30
56,1566.91666667,2270.0,8500,30
57,1599.85,2315.0,9066,30
58,1599.66666667,2345.0,9000,30
59,1589.65,2326.66666667,8666,30
60,1628.98333333,2348.33333333,8733,30
61,1591.4,2316.66666667,8900,30
62,1646.23333333,2378.33333333,8733,30
63,1612.66666667,2345.0,8866,30
64,1663.35,2380.0,8966,30
65,1597.61666667,2305.0,8633,30
66,1623.1,2370.0,8900,30
67,1651.41666667,2380.0,8766,30
68,1649.23333333,2323.33333333,8833,30
69,1670.21666667,2370.0,8600,30
70,1680.58333333,2395.0,8500,30
71,1682.73333333,2386.66666667,8566,30
72,1655.76666667,2350.0,8533,30
73,1678.61666667,2378.33333333,8233,30
74,1687.6,2396.66666667,8366,30
75,1671.1,2346.66666667,8133,30
76,1666.61666667,2391.66666667,8466,30
77,1683.66666667,2380.0,8566,30
78,1697.23333333,2373.33333333,8533,30
79,1713.95,2415.0,8600,30
80,1722.73333333,2411.66666667,8500,30
81,1717.1,2436.66666667,8300,30
82,1722.41666667,2430.0,8466,30
83,1729.35,2388.33333333,8500,30
84,1736.3,2440.0,8933,30
85,1726.76666667,2393.33333333,8766,30
86,1741.53333333,2401.66666667,8566,30
87,1733.51666667,2401.66666667,8800,30
88,1770.11666667,2431.66666667,8866,30
89,1730.06666667,2421.66666667,8833,30
90,1770.55,2440.0,8833,30
91,1775.78333333,2443.33333333,9100,30
92,1773.43333333,2435.0,8800,30
93,1751.36666667,2453.33333333,8800,30
94,1756.35,2408.33333333,8866,30
95,1761.93333333,2458.33333333,8833,30
96,1779.68333333,2463.33333333,9033,30
97,1778.31666667,2463.33333333,8900,30
98,1813.26666667,2453.33333333,9033,30
99,1790.2,2475.0,9200,30
100,1776.4,2446.66666667,9100,30
101,1768.7,2461.66666667,8800,30
102,1783.66666667,2473.33333333,9033,30
103,1824.75,2516.66666667,9166,30
104,1855.85,2518.33333333,8766,30
105,1818.95,2513.33333333,8666,30
106,1831.7,2480.0,8933,30
107,1798.71666667,2448.33333333,8733,30
108,1832.81666667,2501.66666667,8733,30
109,1820.41666667,2478.33333333,8633,30
110,1877.61666667,2533.33333333,9000,30
111,1801.73333333,2466.66666667,8833,30
112,1876.51666667,2526.66666667,9300,30
113,1842.15,2498.33333333,9266,30
114,1863.63333333,2496.66666667,9333,30
115,1842.18333333,2475.0,8966,30
116,1837.76666667,2476.66666667,9000,30
117,1850.56666667,2508.33333333,9133,30
118,1895.1,2545.0,9233,30
119,1851.28333333,2490.0,9100,30
120,1855.85,2518.33333333,9333,30
121,1849.38333333,2496.66666667,9033,30
122,1854.16666667,2476.66666667,9100,30
123,1863.61666667,2501.66666667,9133,30
124,1895.68333333,2508.33333333,9266,30
125,1864.38333333,2515.0,9333,30
126,1900.93333333,2525.0,9366,30
127,1861.93333333,2533.33333333,9333,30
128,1887.95,2506.66666667,9266,30
129,1885.1,2530.0,9200,30
130,1884.96666667,2526.66666667,9366,30
131,1910.21666667,2503.33333333,9000,30
132,1881.96666667,2546.66666667,9000,30
133,1853.13333333,2501.66666667,8900,30
134,1842.43333333,2496.66666667,8733,30
135,1869.16666667,2506.66666667,8666,30
136,1903.93333333,2565.0,8866,30
137,1896.45,2535.0,8866,30
138,1911.26666667,2586.66666667,8733,30
139,1930.26666667,2595.0,9000,30
140,1918.3,2541.66666667,9033,30
141,1884.63333333,2536.66666667,8933,30
142,1904.81666667,2531.66666667,9100,30
143,1913.58333333,2541.66666667,8966,30
144,1938.88333333,2550.0,9266,30
145,1923.51666667,2561.66666667,9366,30
146,1887.28333333,2526.66666667,9166,30
147,1915.63333333,2565.0,9333,30
148,1929.58333333,2531.66666667,9400,30
149,1936.98333333,2578.33333333,9400,30
150,1929.1,2525.0,9466,30
151,1917.61666667,2573.33333333,9600,30
152,1958.65,2576.66666667,9433,30
153,1959.55,2578.33333333,9566,30
154,1965.8,2568.33333333,9266,30
155,1904.91666667,2530.0,9366,30
156,1936.45,2533.33333333,9466,30
157,1917.1,2571.66666667,9300,30
158,1966.86666667,2563.33333333,9233,30
159,1952.81666667,2606.66666667,9266,30
160,1963.96666667,2575.0,9200,30
161,1926.81666667,2573.33333333,9466,30
162,1988.95,2580.0,9400,30
163,1970.5,2575.0,9100,30
164,1984.2,2611.66666667,9166,30
165,1959.31666667,2575.0,9200,30
166,1974.51666667,2596.66666667,9300,30
167,2000.05,2610.0,9233,30
168,1969.55,2576.66666667,9166,30
169,1952.81666667,2586.66666667,9066,30
170,1987.51666667,2571.66666667,9300,30
171,1955.2,2591.66666667,9166,30
172,2005.95,2595.0,9033,30
173,1939.85,2565.0,9166,30
174,1981.13333333,2575.0,9266,30
175,1985.28333333,2596.66666667,9333,30
176,1998.65,2608.33333333,9200,30
177,1988.16666667,2601.66666667,9466,30
178,1973.73333333,2565.0,9266,30
179,1980.66666667,2600.0,9333,30
180,2002.2,2630.0,9300,30
181,1972.21666667,2591.66666667,9433,30
182,2011.88333333,2606.66666667,9500,30
183,2008.51666667,2613.33333333,9366,30
184,2017.75,2611.66666667,9133,30
185,1970.55,2618.33333333,9333,30
186,1983.06666667,2591.66666667,9400,30
187,1977.26666667,2580.0,9466,30
188,1986.46666667,2606.66666667,9533,30
189,2009.83333333,2621.66666667,9366,30
190,2024.61666667,2628.33333333,9366,30
191,2028.93333333,2635.0,9233,30
192,2035.88333333,2640.0,9433,30
193,2003.5,2600.0,9600,30
194,1992.08333333,2616.66666667,9466,30
195,1989.88333333,2615.0,9400,30
196,2023.1,2640.0,9333,30
197,2005.56666667,2646.66666667,9333,30
198,2010.5,2611.66666667,9133,30
199,2059.1,2660.0,9033,30
200,2002.98333333,2606.66666667,9000,30
201,2044.8,2655.0,9333,30
202,2046.16666667,2638.33333333,9200,30
203,2028.0,2656.66666667,9333,30
204,2037.63333333,2640.0,9400,30
205,2039.15,2643.33333333,9233,30
206,2054.98333333,2641.66666667,9133,30
207,2031.9,2636.66666667,9100,30
208,2006.56666667,2626.66666667,9100,30
209,2053.75,2638.33333333,9200,30
210,2034.33333333,2636.66666667,8966,30
211,2046.98333333,2610.0,9200,30
212,2055.7,2648.33333333,9266,30
213,2038.76666667,2648.33333333,9166,30
214,2030.96666667,2623.33333333,9300,30
215,2037.38333333,2660.0,9033,30
216,2017.15,2631.66666667,9266,30
217,2046.83333333,2656.66666667,9533,30
218,2026.11666667,2623.33333333,9466,30
219,2012.4,2593.33333333,9466,30
220,2029.05,2620.0,9600,30
221,2049.91666667,2636.66666667,9433,30
222,2042.35,2643.33333333,9600,30
223,2054.83333333,2633.33333333,9600,30
224,2041.03333333,2635.0,9700,30
225,2043.05,2650.0,9566,30
226,2057.51666667,2650.0,9633,30
227,2091.28333333,2685.0,9566,30
228,2046.51666667,2620.0,9700,30
229,2081.4,2658.33333333,9600,30
230,2048.66666667,2620.0,9466,30
231,2069.53333333,2643.33333333,9800,30
232,2073.11666667,2656.66666667,9733,30
233,2071.15,2640.0,9733,30
234,2085.21666667,2651.66666667,9666,30
235,2065.21666667,2641.66666667,9700,30
236,2063.03333333,2666.66666667,9733,30
237,2052.9,2630.0,9600,30
238,2079.95,2651.66666667,9533,30
239,2061.51666667,2670.0,9500,30
240,2052.0,2678.33333333,9666,30
241,2065.43333333,2686.66666667,9466,30
242,2072.73333333,2648.33333333,9633,30
243,2101.23333333,2691.66666667,9500,30
244,2095.93333333,2655.0,9433,30
245,2074.91666667,2660.0,9466,30
246,2052.98333333,2655.0,9500,30
247,2052.05,2665.0,9366,30
248,2107.6,2706.66666667,9433,30
249,2104.86666667,2678.33333333,9500,30
250,2071.65,2663.33333333,9466,30
251,2084.15,2653.33333333,9666,30
252,2079.73333333,2663.33333333,9500,30
253,2085.95,2678.33333333,9533,30
254,2054.18333333,2641.66666667,9633,30
255,2069.45,2635.0,9433,30
256,2079.45,2685.0,9533,30
257,2095.86666667,2656.66666667,9633,30
258,2032.03333333,2661.66666667,9533,30
259,2116.23333333,2673.33333333,9566,30
260,2113.18333333,2711.66666667,9566,30
261,2148.66666667,2706.66666667,9466,30
262,2093.2,2663.33333333,9366,30
263,2084.36666667,2661.66666667,9533,30
264,2089.41666667,2701.66666667,9466,30
265,2112.15,2688.33333333,9533,30
266,2102.9,2666.66666667,9500,30
267,2123.4,2675.0,9466,30
268,2130.08333333,2710.0,9533,30
269,2114.01666667,2690.0,9600,30
270,2099.43333333,2660.0,9500,30
271,2104.35,2670.0,9600,30
272,2109.15,2713.33333333,9500,30
273,2081.35,2670.0,9433,30
274,2103.66666667,2695.0,9566,30
275,2102.38333333,2666.66666667,9600,30
276,2135.5,2686.66666667,9566,30
277,2094.73333333,2661.66666667,9433,30
278,2104.23333333,2706.66666667,9500,30
279,2112.06666667,2683.33333333,9300,30
280,2120.58333333,2693.33333333,9466,30
281,2118.76666667,2700.0,9466,30
282,2112.25,2693.33333333,9566,30
283,2112.16666667,2703.33333333,9566,30
284,2090.31666667,2646.66666667,9433,30
285,2133.96666667,2678.33333333,9400,30
286,2117.56666667,2673.33333333,9400,30
287,2127.43333333,2718.33333333,9533,30
288,2116.98333333,2676.66666667,9533,30
289,2107.43333333,2648.33333333,9400,30
290,2116.31666667,2681.66666667,9500,30
291,2150.6,2686.66666667,9633,30
292,2123.9,2706.66666667,9500,30
293,2115.75,2676.66666667,9666,30
294,2109.18333333,2690.0,9733,30
295,2133.8,2691.66666667,9600,30
296,2142.46666667,2695.0,9733,30
297,2139.23333333,2711.66666667,9633,30
298,2152.86666667,2728.33333333,9666,30
299,2155.13333333,2708.33333333,9500,30
300,2155.46666667,2713.33333333,9700,30
301,2118.98333333,2676.66666667,9566,30
302,2126.93333333,2686.66666667,9500,30
