Generation,neural-Average,neural-Best,neural-Samples,social_darwin-Average,social_darwin-Best,social_darwin-Samples,social_lamark-Average,social_lamark-Best,social_lamark-Samples
0,72.61666667,1100,30,554.7666667,1986.666667,30,487,1813.333333,30
1,271.5666667,1530,30,688.0333333,2118.333333,30,1251.95,2430,30
2,427.0833333,1528.333333,30,774.6166667,1943.333333,30,1525.95,2646.666667,30
3,514.1333333,1568.333333,30,648.9833333,1823.333333,30,1497.166667,2578.333333,30
4,474.4666667,1500,30,683.1166667,1686.666667,30,1539.75,2560,30
5,558.6833333,1615,30,678.0166667,1783.333333,30,1456.266667,2560,30
6,633.3333333,1755,30,666.2166667,1648.333333,30,1490.766667,2543.333333,30
7,569.9166667,1601.666667,30,561.95,1745,30,1674.266667,2631.666667,30
8,724.9,1710,30,783.65,1701.666667,30,1649.816667,2646.666667,30
9,573.6166667,1646.666667,30,511.05,1571.666667,30,1571.15,2648.333333,30
10,614.75,1753.333333,30,550.5166667,1418.333333,30,1532.2,2560,30
11,722.1833333,1770,30,614.3666667,1551.666667,30,1621.316667,2595,30
12,828.2166667,1931.666667,30,749.6666667,1605,30,1656.366667,2638.333333,30
13,851.9166667,1871.666667,30,655.95,1586.666667,30,1511.9,2571.666667,30
14,769.15,1880,30,700.4166667,1721.666667,30,1441.55,2505,30
15,881.2166667,1868.333333,30,742.1833333,1693.333333,30,1616.206897,2591.37931,29
16,819.2333333,1923.333333,30,873.2833333,1738.333333,30,1514.241379,2572.413793,29
17,848.6833333,2013.333333,30,730.5,1665,30,1592.314815,2509.259259,27
18,929.3166667,2005,30,902.2586207,1870.689655,29,1449.72,2518,25
19,806.3666667,2001.666667,30,806.1206897,1779.310345,29,1484.5625,2550,24
20,995.6333333,2095,30,834.2758621,1818.965517,29,1567.214286,2502.380952,21
21,922.6666667,2081.666667,30,993.4259259,1998.148148,27,1434.25,2286.111111,18
22,807.7333333,2043.333333,30,895.8653846,1996.153846,26,1647.852941,2505.882353,17
23,994.9833333,2126.666667,30,693.52,1730,25,1231.625,2106.25,16
24,945.8666667,2028.333333,30,990.8125,2104.166667,24,1228.214286,2267.857143,14
25,957.7,2055,30,1137.652174,2093.478261,23,1258.461538,2407.692308,13
26,1018.883333,2208.333333,30,1029.347826,1913.043478,23,1104.041667,2162.5,12
27,993.9166667,2030,30,1196.02381,2214.285714,21,1443.583333,2162.5,12
28,1058.733333,2135,30,1061.275,2027.5,20,1150,2275,12
29,1043.783333,2136.666667,30,997.1052632,2078.947368,19,1193.916667,2145.833333,12
30,1014.566667,2078.333333,30,1025.941176,2014.705882,17,1069.5,2027.272727,11
31,1032.766667,2111.666667,30,1128.15625,2146.875,16,1161.181818,2318.181818,11
32,1112.8,2210,30,1191.125,2178.125,16,1488.4375,2343.75,8
33,1026.733333,2133.333333,30,1052.428571,2032.142857,14,1596.6875,2506.25,8
34,1011.65,2200,30,1106,2161.538462,13,1102.428571,2285.714286,7
35,999.85,2085,30,1105.961538,2050,13,1278.428571,2464.285714,7
36,1081.15,2240,30,1092.125,2104.166667,12,1503.357143,2421.428571,7
37,1136.37931,2224.137931,29,1057.863636,2086.363636,11,1322.166667,2166.666667,6
38,1088.12069,2151.724138,29,1038.65,2260,10,1554.8,2510,5
39,1228.689655,2325.862069,29,946.0625,2018.75,8,1186.4,2340,5
40,1216.517241,2312.068966,29,1124.785714,1950,7,928.6,1950,5
