Generation,Average,Best,Samples
0,373.45,1510.0,10
1,1694.25,2535.0,10
2,2124.2,2735.0,10
3,2167.55,2770.0,10
4,2243.45,2815.0,10
5,2251.85,2820.0,10
6,2108.2,2740.0,10
7,2228.0,2770.0,10
8,2209.4,2840.0,10
9,2234.95,2820.0,10
10,2243.7,2795.0,10
11,2220.8,2790.0,10
12,2161.1,2755.0,10
13,2209.8,2760.0,10
14,2266.65,2820.0,10
15,2213.5,2810.0,10
16,2244.05,2785.0,10
17,2209.45,2755.0,10
18,2277.95,2820.0,10
19,2417.1,2860.0,10
20,2410.4,2830.0,10
21,2336.0,2820.0,10
22,2299.55,2860.0,10
23,2226.2,2770.0,10
24,2240.15,2800.0,10
25,2216.85,2835.0,10
26,2217.7,2815.0,10
27,2174.7,2795.0,10
28,2199.85,2810.0,10
29,2214.7,2785.0,10
30,2197.7,2800.0,10
31,2184.65,2760.0,10
32,2188.2,2755.0,10
33,2143.7,2775.0,10
34,2099.45,2735.0,10
35,2131.8,2740.0,10
36,2260.75,2785.0,10
37,2262.9,2795.0,10
38,2109.8,2715.0,10
39,2343.95,2845.0,10
40,2241.7,2815.0,10
41,2282.2,2830.0,10
42,2229.7,2795.0,10
43,2281.6,2830.0,10
44,2204.2,2780.0,10
45,2199.75,2805.0,10
46,2291.45,2810.0,10
47,2306.1,2820.0,10
48,2281.0,2775.0,10
49,2182.05,2785.0,10
50,2198.55,2750.0,10
51,2214.15,2765.0,10
52,2181.6,2770.0,10
53,2251.85,2820.0,10
54,2118.0,2885.0,10
55,2215.0,2815.0,10
56,2181.35,2755.0,10
57,2089.55,2805.0,10
58,2182.25,2770.0,10
59,2192.75,2755.0,10
60,2132.0,2745.0,10
61,2238.35,2790.0,10
62,2174.65,2775.0,10
63,2180.05,2790.0,10
64,2220.1,2800.0,10
65,2214.85,2805.0,10
66,2229.45,2810.0,10
67,2192.2,2815.0,10
68,2213.15,2820.0,10
69,2271.6,2890.0,10
70,2327.95,2865.0,10
71,2346.7,2835.0,10
72,2193.05,2820.0,10
73,2214.75,2810.0,10
74,2190.15,2815.0,10
75,2213.95,2815.0,10
76,2298.75,2815.0,10
77,2302.5,2830.0,10
78,2368.25,2815.0,10
79,2366.95,2845.0,10
80,2267.55,2810.0,10
81,2334.9,2840.0,10
82,2356.85,2830.0,10
83,2354.0,2835.0,10
84,2324.85,2805.0,10
85,2294.4,2785.0,10
86,2292.0,2860.0,10
87,2313.35,2830.0,10
88,2285.9,2800.0,10
89,2307.35,2835.0,10
90,2249.4,2815.0,10
91,2389.75,2855.0,10
92,2334.3,2845.0,10
93,2346.2,2850.0,10
94,2295.2,2850.0,10
95,2332.75,2865.0,10
96,2402.3,2865.0,10
97,2456.0,2880.0,10
98,2418.25,2870.0,10
99,2384.1,2850.0,10
100,2334.65,2820.0,10
101,2311.0,2815.0,10
102,2374.5,2850.0,10
103,2288.7,2815.0,10
104,2309.55,2845.0,10
105,2339.05,2870.0,10
106,2309.25,2840.0,10
107,2276.95,2790.0,10
108,2259.25,2825.0,10
109,2211.85,2800.0,10
110,2249.45,2815.0,10
111,2257.15,2830.0,10
112,2239.4,2745.0,10
113,2309.4,2850.0,10
114,2269.35,2830.0,10
115,2249.4,2845.0,10
116,2217.85,2815.0,10
117,2283.9,2820.0,10
118,2319.95,2840.0,10
119,2253.1,2820.0,10
120,2269.0,2785.0,10
121,2295.65,2830.0,10
122,2396.1,2860.0,10
123,2357.8,2825.0,10
124,2290.25,2810.0,10
125,2275.75,2810.0,10
126,2342.6,2810.0,10
127,2349.5,2825.0,10
128,2336.85,2825.0,10
129,2336.65,2850.0,10
130,2330.8,2845.0,10
131,2359.25,2845.0,10
132,2293.9,2875.0,10
133,2341.8,2845.0,10
134,2289.45,2805.0,10
135,2307.4,2825.0,10
136,2377.2,2875.0,10
137,2337.65,2835.0,10
138,2381.7,2840.0,10
139,2440.65,2870.0,10
140,2417.25,2850.0,10
141,2348.1,2860.0,10
142,2299.9,2875.0,10
143,2311.35,2865.0,10
144,2283.5,2875.0,10
145,2326.25,2840.0,10
146,2289.35,2810.0,10
147,2282.6,2825.0,10
148,2321.35,2865.0,10
149,2349.2,2850.0,10
150,2264.7,2835.0,10
151,2367.95,2875.0,10
152,2321.95,2855.0,10
153,2271.9,2840.0,10
154,2305.8,2875.0,10
155,2244.75,2815.0,10
156,2300.4,2815.0,10
157,2342.9,2875.0,10
158,2398.5,2880.0,10
159,2369.05,2865.0,10
160,2351.2,2865.0,10
161,2389.2,2855.0,10
162,2269.2,2885.0,10
163,2296.75,2865.0,10
164,2220.5,2805.0,10
165,2324.9,2845.0,10
166,2353.6,2865.0,10
167,2301.0,2840.0,10
168,2376.55,2865.0,10
