Generation,Average,Best,Updates,Samples
0,134.033333333,1653.33333333,0,30
1,483.633333333,2060.0,0,30
2,779.866666667,2320.0,0,30
3,943.4,2410.0,0,30
4,1116.26666667,2590.0,0,30
5,1224.66666667,2623.33333333,0,30
6,1310.93333333,2746.66666667,0,30
7,1297.33333333,2733.33333333,0,30
8,1403.93333333,2840.0,0,30
9,1496.06666667,2906.66666667,0,30
10,1506.06666667,2956.66666667,0,30
11,1538.1,2930.0,0,30
12,1589.2,3006.66666667,0,30
13,1665.46666667,3040.0,0,30
14,1671.83333333,3053.33333333,0,30
15,1681.43333333,3050.0,0,30
16,1721.7,3096.66666667,0,30
17,1819.63333333,3183.33333333,0,30
18,1793.1,3176.66666667,0,30
19,1846.56666667,3206.66666667,0,30
20,1913.5,3283.33333333,0,30
21,1852.93333333,3270.0,0,30
22,1953.23333333,3286.66666667,0,30
23,1990.36666667,3380.0,0,30
24,1986.33333333,3436.66666667,0,30
25,1942.4,3323.33333333,0,30
26,2072.83333333,3380.0,0,30
27,2016.7,3396.66666667,0,30
28,2088.66666667,3373.33333333,0,30
29,2104.13333333,3390.0,0,30
30,2107.5,3483.33333333,0,30
31,2151.16666667,3400.0,0,30
32,2151.23333333,3446.66666667,0,30
33,2138.4,3456.66666667,0,30
34,2174.26666667,3426.66666667,0,30
35,2169.9,3466.66666667,0,30
36,2188.06666667,3513.33333333,0,30
37,2210.7,3470.0,0,30
38,2168.63333333,3446.66666667,0,30
39,2235.36666667,3523.33333333,0,30
40,2214.13333333,3533.33333333,0,30
41,2216.86666667,3493.33333333,0,30
42,2183.06666667,3483.33333333,0,30
43,2258.96666667,3520.0,0,30
44,2292.06666667,3596.66666667,0,30
45,2300.8,3560.0,0,30
46,2265.36666667,3530.0,0,30
47,2293.3,3530.0,0,30
48,2318.16666667,3483.33333333,0,30
49,2344.26666667,3633.33333333,0,30
50,2340.53333333,3613.33333333,0,30
51,2283.0,3506.66666667,0,30
52,2312.1,3573.33333333,0,30
53,2334.9,3550.0,0,30
54,2345.1,3533.33333333,0,30
55,2380.26666667,3570.0,0,30
56,2315.96666667,3533.33333333,0,30
57,2350.06666667,3583.33333333,0,30
58,2308.2,3570.0,0,30
59,2326.6,3516.66666667,0,30
60,2353.3,3663.33333333,0,30
61,2328.5,3623.33333333,0,30
62,2362.8,3676.66666667,0,30
63,2355.13333333,3596.66666667,0,30
64,2363.53333333,3570.0,0,30
65,2335.46666667,3613.33333333,0,30
66,2366.3,3566.66666667,0,30
67,2329.33333333,3623.33333333,0,30
68,2438.26666667,3673.33333333,0,30
69,2406.9,3596.66666667,0,30
70,2373.9,3630.0,0,30
71,2403.96666667,3666.66666667,0,30
72,2407.9,3666.66666667,0,30
73,2443.93333333,3603.33333333,0,30
74,2415.16666667,3596.66666667,0,30
75,2444.53333333,3590.0,0,30
76,2457.23333333,3673.33333333,0,30
77,2427.76666667,3573.33333333,0,30
78,2451.6,3693.33333333,0,30
79,2491.16666667,3690.0,0,30
80,2436.16666667,3686.66666667,0,30
81,2416.3,3733.33333333,0,30
82,2441.7,3643.33333333,0,30
83,2463.76666667,3746.66666667,0,30
84,2415.83333333,3666.66666667,0,30
