Generation,Average,Best,Updates,Samples
0,668.3,2220.0,51737,10
1,1948.8,3350.0,93098,10
2,2223.4,3550.0,102259,10
3,2279.1,3610.0,105349,10
4,2424.2,3730.0,111693,10
5,2278.7,3620.0,104116,10
6,2457.5,3780.0,110881,10
7,2518.8,3710.0,113265,10
8,2492.5,3630.0,112465,10
9,2589.8,3760.0,119636,10
10,2544.3,3690.0,113663,10
11,2290.6,3530.0,103773,10
12,2432.3,3600.0,110472,10
13,2555.5,3750.0,115872,8
14,2423.5,3600.0,108242,6
15,2497.0,3720.0,112050,5
16,2130.2,3440.0,95510,5
17,2106.33333333,3433.33333333,96041,3
18,2578.5,3500.0,118207,2
19,1927.0,3300.0,90607,2
20,2480.0,3600.0,111363,1
21,2537.0,3500.0,115496,1
22,2309.0,3500.0,100138,1
23,2675.0,3700.0,123530,1
24,2410.0,3400.0,105123,1
25,2706.0,3800.0,115174,1
