Generation,Average,Best,Updates,Samples
0,749.433333333,2286.66666667,56397,30
1,1982.7,3203.33333333,133113,30
2,2162.53333333,3410.0,145932,30
3,2358.16666667,3520.0,158545,30
4,2280.73333333,3420.0,155042,30
5,2298.23333333,3496.66666667,155658,30
6,2098.6,3293.33333333,143820,30
7,2045.76666667,3276.66666667,140719,30
8,2183.1,3430.0,148742,30
9,2107.73333333,3266.66666667,144171,30
10,2332.46666667,3483.33333333,158909,30
11,2198.96666667,3400.0,149839,30
12,2318.2,3440.0,157263,30
13,2223.5,3313.33333333,150581,30
14,2151.63333333,3300.0,146033,30
15,2263.2,3483.33333333,153072,30
16,2294.13333333,3443.33333333,155569,30
17,2297.23333333,3620.0,156927,30
18,2235.9,3403.33333333,153038,30
19,2224.13333333,3356.66666667,152741,30
20,2206.2,3370.0,149381,30
21,2173.46666667,3386.66666667,149213,30
22,2317.6,3486.66666667,158453,30
23,2334.2,3436.66666667,158666,30
24,2399.6,3600.0,162934,30
25,2342.33333333,3500.0,159053,30
26,2304.36666667,3456.66666667,156938,30
27,2324.16666667,3536.66666667,158156,30
28,2386.2,3553.33333333,161413,30
29,2291.0,3416.66666667,155560,30
30,2261.73333333,3450.0,154372,30
31,2164.06666667,3413.33333333,149536,30
32,2104.9,3290.0,144715,30
33,2244.33333333,3343.33333333,152365,30
34,2133.5,3293.33333333,145284,30
35,2235.36666667,3326.66666667,151905,30
36,2236.03333333,3460.0,152313,30
37,2196.03333333,3393.33333333,150103,30
38,2231.7,3443.33333333,152555,30
39,2320.0,3476.66666667,158692,30
40,2411.76666667,3593.33333333,162651,30
41,2158.46666667,3316.66666667,148839,30
42,1997.56666667,3206.66666667,138006,30
43,2157.33333333,3323.33333333,147960,30
44,2193.6,3520.0,151280,30
45,2073.13333333,3413.33333333,144432,30
46,2073.39285714,3310.71428571,142571,28
47,2145.71428571,3371.42857143,147982,28
48,2310.51851852,3500.0,158173,27
49,2278.81481481,3466.66666667,155953,27
50,2217.18518519,3474.07407407,152387,27
51,2199.42307692,3353.84615385,151834,26
52,2363.80769231,3473.07692308,160241,26
53,2179.30769231,3423.07692308,149842,26
54,2344.44,3476.0,159846,25
55,2135.28,3380.0,147456,25
56,2149.0,3465.2173913,148432,23
57,2226.52173913,3408.69565217,152874,23
58,2321.27272727,3427.27272727,156720,22
59,2356.72727273,3540.90909091,161025,22
60,2417.0,3547.61904762,163090,21
61,2378.88888889,3505.55555556,160920,18
62,2422.0,3588.23529412,163597,17
63,2504.66666667,3620.0,168628,15
64,2312.46153846,3384.61538462,156526,13
65,2305.18181818,3472.72727273,156903,11
66,2200.5,3300.0,151174,10
67,2241.77777778,3466.66666667,154372,9
68,2367.71428571,3500.0,159791,7
69,2054.66666667,3300.0,141711,6
70,2006.2,3240.0,138448,5
71,2171.75,3475.0,147662,4
72,2136.5,3400.0,146079,2
73,2441.5,3650.0,164114,2
74,2328.0,4000.0,170030,1
75,1806.0,3100.0,128927,1
76,2641.0,4200.0,173108,1
77,2626.0,3600.0,177266,1
78,2608.0,3800.0,171120,1
