Generation,Average,Best,Updates,Samples
0,129.8,1570.0,1000,10
1,440.0,2080.0,9200,10
2,809.2,2370.0,8700,10
3,975.6,2630.0,8100,10
4,1278.1,2860.0,8000,10
5,1273.3,2870.0,8300,10
6,1425.7,3030.0,8700,10
7,1580.0,3050.0,8100,10
8,1647.2,3070.0,7800,10
9,1694.3,3130.0,7200,10
10,1725.9,2940.0,7200,10
11,1820.9,3270.0,7800,10
12,1816.7,3190.0,8300,10
13,1880.9,3010.0,7800,10
14,1869.8,3070.0,7900,10
15,1932.1,3380.0,8000,10
16,1905.9,3250.0,8000,10
17,1985.9,3350.0,8000,10
18,2058.9,3510.0,8300,10
19,1963.2,3290.0,8800,10
20,2103.4,3450.0,8200,10
21,2164.5,3430.0,9100,10
22,2166.3,3500.0,8500,10
23,2153.3,3430.0,8700,10
24,2124.5,3420.0,8500,10
25,2205.2,3380.0,9000,10
26,2143.0,3390.0,8600,10
27,2238.1,3420.0,8900,10
28,2213.0,3520.0,8500,10
29,2108.5,3400.0,8500,10
30,2169.4,3370.0,8200,10
31,2190.3,3540.0,8400,10
32,2196.22222222,3511.11111111,8222,9
33,2241.44444444,3566.66666667,8333,9
34,2291.44444444,3444.44444444,7555,9
35,2162.0,3511.11111111,7777,9
36,2389.75,3775.0,7625,8
37,2402.125,3712.5,7750,8
38,2408.125,3500.0,7250,8
39,2409.625,3600.0,6875,8
40,2458.75,3700.0,6375,8
41,2392.125,3800.0,6250,8
42,2353.5,3475.0,6000,8
43,2282.875,3612.5,7250,8
44,2388.375,3712.5,7500,8
45,2303.875,3475.0,6625,8
46,2445.5,3512.5,7750,8
47,2432.875,3737.5,8000,8
48,2426.0,3675.0,8500,8
49,2504.5,3587.5,8875,8
50,2385.25,3662.5,8375,8
51,2451.0,3575.0,8625,8
52,2531.875,3687.5,8375,8
53,2371.875,3675.0,7625,8
54,2498.625,3612.5,8500,8
55,2521.875,3775.0,8500,8
56,2400.57142857,3657.14285714,8857,7
57,2452.14285714,3642.85714286,8571,7
58,2454.33333333,3716.66666667,9166,6
59,2441.0,3740.0,9600,5
60,2496.8,3580.0,9200,5
61,2504.4,3720.0,9400,5
62,2450.4,3680.0,8800,5
63,2487.6,3620.0,9600,5
64,2532.0,3680.0,9000,5
65,2454.75,3700.0,8750,4
66,2337.25,3425.0,9250,4
67,2474.0,3750.0,9000,4
68,2510.75,3800.0,9000,4
69,2453.0,3775.0,9750,4
70,2442.5,3675.0,9500,4
71,2466.25,3700.0,8750,4
72,2429.5,3600.0,8750,4
73,2457.0,3600.0,8666,3
74,2419.33333333,3600.0,8666,3
75,2440.0,3700.0,9000,3
76,2477.0,3400.0,8500,2
77,2580.5,3800.0,9000,2
78,2542.5,3750.0,8500,2
79,2346.0,3500.0,9000,2
80,2496.5,3650.0,7500,2
81,2325.5,3650.0,8000,2
82,2473.0,3650.0,9000,2
83,2483.5,3800.0,8000,2
84,2494.0,3500.0,9000,2
85,2432.0,3550.0,8500,2
86,2398.5,3400.0,8500,2
87,2526.0,3800.0,8000,1
88,2219.0,3600.0,10000,1
89,2202.0,3300.0,7000,1
90,1974.0,3200.0,6000,1
91,2454.0,3700.0,6000,1
92,2509.0,4000.0,7000,1
93,2407.0,3900.0,9000,1
94,2577.0,3800.0,9000,1
95,2393.0,3500.0,9000,1
96,2413.0,3500.0,8000,1
97,2686.0,3800.0,9000,1
98,2427.0,3300.0,10000,1
99,2538.0,3700.0,9000,1
100,2694.0,3900.0,8000,1
101,2446.0,3300.0,8000,1
102,2417.0,3800.0,10000,1
103,2547.0,3700.0,9000,1
104,2543.0,3900.0,9000,1
