Generation,Average,Best,Updates,Samples
0,865.766666667,2373.33333333,85660,30
1,1987.56666667,3373.33333333,136319,30
2,2077.1,3386.66666667,140098,30
3,2097.33333333,3450.0,139668,30
4,2249.73333333,3496.66666667,150420,30
5,2217.63333333,3510.0,146692,30
6,2217.46666667,3443.33333333,147768,30
7,2389.1,3553.33333333,161049,30
8,2387.13333333,3556.66666667,160324,30
9,2375.66666667,3503.33333333,162078,30
10,2359.9,3603.33333333,157741,30
11,2369.36666667,3600.0,158012,30
12,2299.3,3566.66666667,153761,30
13,2206.66666667,3503.33333333,146186,30
14,2163.0,3436.66666667,142830,30
15,2100.7,3410.0,141750,30
16,2152.4,3483.33333333,143391,30
17,2152.9,3436.66666667,146281,30
18,2283.3,3496.66666667,154888,30
19,2267.3,3526.66666667,151654,30
20,2295.6,3610.0,153310,30
21,2092.03333333,3443.33333333,137186,30
22,2289.53333333,3610.0,152799,30
23,2185.0,3406.66666667,146453,30
24,2128.0,3356.66666667,144641,30
25,2140.8,3486.66666667,143556,30
26,2185.0,3363.33333333,148931,30
27,2232.1,3526.66666667,147749,30
28,2275.6,3566.66666667,150939,30
29,2227.13333333,3476.66666667,149744,30
30,2294.73333333,3550.0,154738,30
31,2352.83333333,3513.33333333,159609,30
32,2391.73333333,3520.0,161049,30
33,2281.0,3533.33333333,150630,30
34,2298.43333333,3580.0,151324,30
35,2232.43333333,3456.66666667,148925,30
36,2366.06666667,3583.33333333,157768,30
37,2329.3,3530.0,155225,30
38,2306.33333333,3600.0,152857,30
39,2304.53333333,3590.0,154036,30
40,2284.2,3553.33333333,155645,30
41,2187.96666667,3463.33333333,147720,30
42,2298.96666667,3530.0,156078,30
43,2473.56666667,3676.66666667,170285,30
44,2367.6,3630.0,158053,30
45,2450.6,3583.33333333,164115,30
46,2273.0,3483.33333333,150617,30
47,2374.43333333,3533.33333333,160125,30
48,2322.5,3606.66666667,156516,30
49,2357.66666667,3570.0,155055,30
50,2298.8,3570.0,153909,30
51,2201.66666667,3526.66666667,145270,30
52,2159.8,3453.33333333,145043,30
53,2375.8,3500.0,161827,30
54,2334.76666667,3586.66666667,154508,30
55,2232.46666667,3536.66666667,150668,30
56,2335.56666667,3640.0,159141,30
57,2265.56666667,3480.0,152012,30
58,2299.13333333,3540.0,155017,30
59,2300.93333333,3583.33333333,157742,30
60,2256.4,3550.0,153104,30
61,2259.3,3546.66666667,152759,30
62,2329.66666667,3543.33333333,157451,30
63,2277.83333333,3593.33333333,154679,30
64,2225.5,3493.33333333,147731,30
65,2355.2,3623.33333333,156978,30
66,2317.4,3550.0,156433,30
67,2389.93333333,3600.0,160671,30
68,2387.36666667,3573.33333333,160648,30
69,2446.13333333,3616.66666667,164032,30
70,2409.8,3673.33333333,162206,30
71,2263.1,3613.33333333,151188,30
72,2280.6,3550.0,150870,30
73,2144.9,3523.33333333,145093,30
74,2279.23333333,3563.33333333,151292,30
75,2258.53333333,3553.33333333,151223,30
76,2219.86666667,3436.66666667,149876,30
77,2191.2,3463.33333333,147437,30
78,2226.8,3566.66666667,151674,30
79,2171.96666667,3423.33333333,144084,30
80,2166.46666667,3456.66666667,144632,30
81,2180.06666667,3440.0,149204,30
82,2268.7,3556.66666667,152406,30
83,2142.26666667,3440.0,143656,30
84,2363.3,3576.66666667,160654,30
85,2271.0,3573.33333333,155204,30
86,2156.86666667,3463.33333333,144430,30
87,2168.33333333,3473.33333333,146323,30
88,2226.03333333,3546.66666667,151563,30
89,2291.1,3556.66666667,155204,30
90,2256.3,3616.66666667,152360,30
91,2196.46666667,3463.33333333,146737,30
92,2225.43333333,3573.33333333,148970,30
93,2135.43333333,3593.33333333,141320,30
94,2249.56666667,3466.66666667,150152,30
95,2304.66666667,3573.33333333,152613,30
96,2333.23333333,3596.66666667,154232,30
97,2356.03333333,3580.0,156022,30
98,2220.66666667,3600.0,146934,30
99,2330.26666667,3553.33333333,154344,30
100,2169.53333333,3500.0,143467,30
101,2295.23333333,3620.0,154843,30
102,2300.0,3566.66666667,155938,30
103,2192.16666667,3540.0,144668,30
104,2291.63333333,3530.0,155552,30
105,2328.9,3573.33333333,157098,30
106,2362.33333333,3620.0,158868,30
107,2306.96666667,3500.0,153911,30
108,2220.4,3596.66666667,147171,30
109,2203.9,3553.33333333,148236,30
110,2217.06666667,3520.0,147898,30
111,2208.86666667,3496.66666667,147921,30
112,2158.86666667,3470.0,144517,30
113,2253.76666667,3526.66666667,151944,30
114,2112.7,3470.0,142030,30
115,2143.73333333,3456.66666667,143072,30
116,2233.4,3533.33333333,150911,30
117,2234.83333333,3450.0,150641,30
118,2095.03333333,3406.66666667,140499,30
119,2187.83333333,3413.33333333,150161,30
120,2160.1,3486.66666667,142957,30
121,2353.3,3513.33333333,162243,30
122,2243.83333333,3480.0,149016,30
123,2211.86666667,3496.66666667,146687,30
124,2064.93333333,3343.33333333,140772,30
125,2081.33333333,3386.66666667,139947,30
126,2151.46666667,3403.33333333,145850,30
127,2087.03333333,3363.33333333,142357,30
128,2127.13333333,3440.0,145040,30
129,2067.86666667,3426.66666667,140199,30
130,2112.1,3473.33333333,139971,30
131,2156.66666667,3520.0,146742,30
132,2133.9,3423.33333333,141801,30
133,2187.66666667,3450.0,150753,30
134,2275.73333333,3466.66666667,153566,30
135,2240.56666667,3503.33333333,150377,30
136,2318.53333333,3563.33333333,155685,30
137,2407.66666667,3633.33333333,162809,30
138,2323.1,3510.0,154791,30
139,2297.2,3506.66666667,155848,30
140,2350.96666667,3533.33333333,156509,30
141,2416.13333333,3623.33333333,165839,30
142,2266.16666667,3526.66666667,150618,30
143,2198.5,3516.66666667,143975,30
144,2100.56666667,3376.66666667,140589,30
145,2107.1,3500.0,139364,30
146,2018.23333333,3350.0,134644,30
147,2091.3,3330.0,141192,30
148,2137.86666667,3370.0,144837,30
149,2124.5,3486.66666667,140813,30
150,2026.56666667,3396.66666667,136519,30
151,2128.4,3433.33333333,142786,30
152,2216.86666667,3586.66666667,150604,30
153,2268.1,3556.66666667,155302,30
154,2282.66666667,3503.33333333,153212,30
155,2278.3,3586.66666667,151503,30
156,2169.0,3496.66666667,144906,30
157,2240.26666667,3510.0,150988,30
158,2189.0,3373.33333333,149639,30
159,2178.63333333,3533.33333333,144200,30
160,2211.43333333,3453.33333333,148899,30
161,2215.9,3470.0,147919,30
162,2070.43333333,3413.33333333,138795,30
163,2150.36666667,3470.0,143339,30
164,2142.96666667,3413.33333333,144754,30
165,2030.93333333,3410.0,135086,30
166,2139.9,3473.33333333,144485,30
167,2201.63333333,3423.33333333,147888,30
168,2220.66666667,3410.0,152054,30
169,2100.7,3400.0,140268,30
170,2044.8,3473.33333333,135751,30
171,2150.43333333,3453.33333333,146129,30
