Generation,Average,Best,Updates,Samples
0,721.033333333,2320.0,71214,30
1,1828.93333333,3073.33333333,180778,30
2,2054.1,3226.66666667,203119,30
3,2128.96666667,3236.66666667,210529,30
4,2014.1,3153.33333333,199171,30
5,2108.26666667,3343.33333333,208499,30
6,2178.9,3346.66666667,215456,30
7,2163.2,3390.0,213911,30
8,2118.43333333,3280.0,209493,30
9,2163.6,3310.0,213962,30
10,2148.16666667,3393.33333333,212453,30
11,2221.3,3360.0,219690,30
12,2167.16666667,3300.0,214362,30
13,2091.4,3316.66666667,206859,30
14,2159.43333333,3333.33333333,213571,30
15,2240.3,3453.33333333,221613,30
16,2007.0,3210.0,198530,30
17,2067.6,3290.0,204539,30
18,2164.3,3310.0,214117,30
19,2119.1,3273.33333333,209635,30
20,2082.33333333,3240.0,205996,30
21,2136.03333333,3310.0,211318,30
22,1959.93333333,3153.33333333,193887,30
23,2076.7,3286.66666667,205455,30
24,2042.23333333,3170.0,202044,30
25,2139.96666667,3310.0,211709,30
26,1992.16666667,3200.0,197069,30
27,2127.6,3360.0,210497,30
28,2079.83333333,3300.0,205760,30
29,2089.3,3320.0,206709,30
30,2136.73333333,3360.0,211393,30
31,2012.96666667,3203.33333333,199158,30
32,2069.3,3320.0,204727,30
33,2121.86666667,3306.66666667,209940,30
34,2035.4,3196.66666667,201387,30
35,1949.76666667,3146.66666667,192912,30
36,1960.16666667,3110.0,193949,30
37,1948.26666667,3083.33333333,192754,30
38,2010.3,3246.66666667,198896,30
39,1951.3,3173.33333333,193054,30
40,2024.43333333,3230.0,200289,30
41,2089.7,3273.33333333,206746,30
42,1962.36666667,3250.0,194163,30
43,2016.2,3286.66666667,199482,30
44,2017.26666667,3220.0,199590,30
45,1983.9,3086.66666667,196295,30
46,2026.83333333,3213.33333333,200541,30
47,2103.73333333,3330.0,208148,30
48,2039.13333333,3266.66666667,201764,30
49,1844.56666667,3126.66666667,182515,30
50,1808.2,3003.33333333,178908,30
51,1858.7,3143.33333333,183905,30
52,1930.56666667,3136.66666667,191018,30
53,1918.5,3203.33333333,189822,30
54,1983.16666667,3206.66666667,196219,30
55,2120.5,3313.33333333,209800,30
56,2099.5,3340.0,207729,30
57,2143.0,3376.66666667,212041,30
58,2086.26666667,3270.0,206422,30
59,1996.3,3253.33333333,197511,30
60,2088.5,3220.0,206639,30
61,2030.6,3196.66666667,200913,30
62,2177.7,3366.66666667,215444,30
63,2059.3,3246.66666667,203742,30
64,2119.93333333,3293.33333333,209743,30
65,2072.13333333,3223.33333333,205017,30
66,2161.06666667,3333.33333333,213812,30
67,2183.7,3443.33333333,216063,30
68,2111.46666667,3333.33333333,208903,30
69,1994.93333333,3243.33333333,197355,30
70,2104.83333333,3270.0,208247,30
71,2037.83333333,3280.0,201620,30
72,1960.3,3136.66666667,193933,30
73,1947.86666667,3133.33333333,192713,30
74,2032.66666667,3223.33333333,201103,30
75,2024.16666667,3230.0,200246,30
76,2135.6,3320.0,211263,30
77,2044.93333333,3243.33333333,202322,30
78,2108.53333333,3333.33333333,208623,30
79,2086.6,3326.66666667,206447,30
80,1961.83333333,3146.66666667,194102,30
81,1972.53333333,3180.0,195181,30
82,2051.46666667,3270.0,202984,30
83,2086.4,3220.0,206444,30
84,2244.46666667,3390.0,222068,30
85,2121.8,3276.66666667,209939,30
