Generation,Champion,Average,Updates,Samples,Baseline-Avg,Baseline-Best
0,740,80.13333333,30,,142.5,1700
1,1060,103.7666667,30,,533.4666667,2256.666667
2,1233.333333,154.7,30,,955.1333333,2516.666667
3,1263.333333,184.7666667,30,,1039.7,2633.333333
4,1660,242.9666667,30,,1116.033333,2576.666667
5,1730,297.3333333,30,,1165.433333,2686.666667
6,1660,317.8666667,30,,1260.5,2720
7,1766.666667,352.1,30,,1356.966667,2740
8,1900,446.5,30,,1499.333333,2810
9,2003.333333,529.4666667,30,,1512.266667,2873.333333
10,2033.333333,532.5,30,,1586.9,2876.666667
11,2036.666667,615.0333333,30,,1562.4,2886.666667
12,2023.333333,672.6333333,30,,1597.8,2896.666667
13,2086.666667,700.6333333,30,,1674.833333,3106.666667
14,2006.666667,724.9333333,30,,1766.433333,3123.333333
15,2016.666667,721.2,30,,1697.666667,3046.666667
16,2033.333333,771.4333333,30,,1828.633333,3080
17,2026.666667,797.1666667,30,,1796.5,3143.333333
18,2020,872.6666667,30,,1845.8,3163.333333
19,2080,846.3333333,30,,1804.6,3190
20,1916.666667,777.6333333,30,,1870.8,3216.666667
21,1743.333333,765.3333333,30,,1833.566667,3203.333333
22,1773.333333,816.3666667,30,,1962.466667,3266.666667
23,1720,739.2,30,,1932.4,3293.333333
24,1643.333333,768.4666667,30,,1971.8,3306.666667
25,1753.333333,870.0666667,30,,2021.366667,3360
26,1656.666667,821.2333333,30,,1987.1,3290
27,1763.333333,936.2333333,30,,2004.5,3336.666667
28,1713.333333,777.5666667,30,,2007.7,3360
29,1666.666667,747.4666667,30,,2079.8,3356.666667
30,1420,744.7,30,,2003.933333,3290
31,1480,710.8666667,30,,2048.366667,3386.666667
32,1336.666667,644.6666667,30,,2073.3,3370
33,1600,729.9333333,30,,2066.5,3390
34,1273.333333,567.7333333,30,,2102.866667,3406.666667
35,1363.333333,612.8666667,30,,2054.266667,3426.666667
36,1333.333333,605.6333333,30,,2047.466667,3360
37,1233.333333,563.6333333,30,,2128.8,3416.666667
38,1253.333333,576.6333333,30,,2083.9,3423.333333
39,1093.333333,542.3,30,,2075.6,3436.666667
40,1076.666667,461.1666667,30,,2115.2,3416.666667
41,1050,514.6333333,30,,2144,3510
42,1170,588.3333333,30,,2164.566667,3430
43,1070,530.6666667,30,,2174.833333,3500
44,1106.666667,510.8666667,30,,2179.1,3456.666667
45,1123.333333,533.7,30,,2245.033333,3556.666667
46,1000,554.8666667,30,,2217.9,3500
47,986.6666667,611.6666667,30,,2231.966667,3500
48,1080,548.0666667,30,,2226.533333,3483.333333
49,1070,557.1,30,,2257.333333,3550
50,1056.666667,498.7666667,30,,2217.566667,3473.333333
51,1150,562.9333333,30,,2234.566667,3483.333333
