Generation,Average,Best,Updates,Samples
0,126.0,1590.0,0,30
1,713.7,2443.33333333,19800,30
2,1198.6,2696.66666667,19800,30
3,1541.86666667,2990.0,19800,30
4,1702.23333333,3086.66666667,19800,30
5,1796.63333333,3156.66666667,19800,30
6,1907.83333333,3223.33333333,19800,30
7,1954.16666667,3226.66666667,19800,30
8,2020.16666667,3210.0,19800,30
9,1986.4,3206.66666667,19800,30
10,2047.2,3243.33333333,19800,30
11,2136.3,3270.0,19800,30
12,2034.56666667,3246.66666667,19800,30
13,2144.36666667,3263.33333333,19800,30
14,2026.2,3226.66666667,19800,30
15,2076.26666667,3306.66666667,19800,30
16,2147.2,3223.33333333,19800,30
17,2200.43333333,3370.0,19800,30
18,2174.0,3293.33333333,19800,30
19,2175.76666667,3393.33333333,19800,30
20,2148.6,3350.0,19800,30
21,2259.6,3373.33333333,19800,30
22,2224.26666667,3326.66666667,19800,30
23,2267.2,3313.33333333,19800,30
24,2191.7,3300.0,19800,30
25,2184.8,3366.66666667,19800,30
26,2252.43333333,3383.33333333,19800,30
27,2268.53333333,3366.66666667,19800,30
28,2254.5,3313.33333333,19800,30
29,2282.2,3430.0,19800,30
30,2324.93333333,3393.33333333,19800,30
31,2295.73333333,3400.0,19800,30
32,2298.4,3460.0,19800,30
33,2265.86666667,3456.66666667,19800,30
34,2258.26666667,3363.33333333,19800,30
35,2292.63333333,3480.0,19800,30
36,2367.13333333,3490.0,19800,30
37,2340.33333333,3513.33333333,19800,30
38,2347.0,3433.33333333,19800,30
39,2307.5,3403.33333333,19800,30
40,2319.13333333,3490.0,19800,30
41,2394.83333333,3490.0,19800,30
42,2370.53333333,3530.0,19800,30
43,2318.4,3426.66666667,19800,30
44,2397.86666667,3533.33333333,19800,30
45,2318.03333333,3463.33333333,19800,30
46,2352.9,3436.66666667,19800,30
47,2370.8,3546.66666667,19800,30
48,2336.43333333,3456.66666667,19800,30
49,2360.5,3446.66666667,19800,30
50,2413.6,3513.33333333,19800,30
51,2342.13333333,3480.0,19800,30
52,2419.4,3530.0,19800,30
53,2484.6,3643.33333333,19800,30
54,2490.6,3546.66666667,19800,30
55,2459.36666667,3550.0,19800,30
56,2484.93333333,3613.33333333,19800,30
57,2495.4,3616.66666667,19800,30
58,2498.96666667,3610.0,19800,30
59,2464.5,3613.33333333,19800,30
60,2532.33333333,3623.33333333,19800,30
61,2515.4,3673.33333333,19800,30
62,2541.43333333,3620.0,19800,30
63,2551.83333333,3650.0,19800,30
64,2544.5,3573.33333333,19800,30
65,2484.9,3576.66666667,19800,30
66,2413.6,3540.0,19800,30
67,2513.66666667,3573.33333333,19800,30
68,2434.9,3526.66666667,19800,30
69,2490.56666667,3586.66666667,19800,30
70,2545.5,3680.0,19800,30
71,2520.3,3620.0,19800,30
72,2462.66666667,3646.66666667,19800,30
73,2456.86666667,3580.0,19800,30
74,2548.1,3643.33333333,19800,30
75,2418.63333333,3533.33333333,19800,30
76,2506.8,3623.33333333,19800,30
77,2479.7,3660.0,19800,30
78,2526.3,3746.66666667,19800,30
79,2540.23333333,3670.0,19800,30
80,2583.0,3690.0,19800,30
81,2516.53333333,3593.33333333,19800,30
82,2466.26666667,3586.66666667,19800,30
83,2553.1,3710.0,19800,30
84,2473.1,3596.66666667,19800,30
85,2477.66666667,3593.33333333,19800,30
86,2513.96666667,3653.33333333,19800,30
87,2553.23333333,3633.33333333,19800,30
88,2540.83333333,3696.66666667,19800,30
89,2549.86666667,3636.66666667,19800,30
90,2508.13333333,3683.33333333,19800,30
91,2501.93333333,3606.66666667,19800,30
92,2511.7,3583.33333333,19800,30
93,2555.46666667,3666.66666667,19800,30
94,2603.4,3683.33333333,19800,30
95,2609.7,3646.66666667,19800,30
96,2622.3,3783.33333333,19800,30
97,2506.0,3630.0,19800,30
98,2591.36666667,3706.66666667,19800,30
99,2530.53333333,3630.0,19800,30
100,2462.0,3603.33333333,19800,30
101,2517.1,3640.0,19800,30
102,2573.9,3736.66666667,19800,30
103,2566.53333333,3600.0,19800,30
104,2485.2,3623.33333333,19800,30
105,2503.73333333,3656.66666667,19800,30
106,2557.43333333,3710.0,19800,30
107,2534.7,3650.0,19800,30
108,2598.56666667,3776.66666667,19800,30
109,2610.76666667,3740.0,19800,30
110,2543.06666667,3680.0,19800,30
111,2571.16666667,3673.33333333,19800,30
112,2499.96666667,3580.0,19800,30
113,2456.43333333,3663.33333333,19800,30
114,2523.53333333,3663.33333333,19800,30
115,2462.7,3650.0,19800,30
116,2546.93333333,3673.33333333,19800,30
117,2490.5,3666.66666667,19800,30
118,2501.63333333,3633.33333333,19800,30
119,2530.0,3683.33333333,19800,30
120,2523.76666667,3616.66666667,19800,30
121,2618.93333333,3676.66666667,19800,30
122,2634.13333333,3680.0,19800,30
123,2619.36666667,3680.0,19800,30
124,2615.93333333,3620.0,19800,30
125,2620.73333333,3753.33333333,19800,30
126,2668.03333333,3783.33333333,19800,30
127,2603.8,3656.66666667,19800,30
128,2560.8,3623.33333333,19800,30
129,2621.36666667,3716.66666667,19800,30
130,2591.06666667,3670.0,19800,30
131,2693.26666667,3733.33333333,19800,30
132,2641.46666667,3713.33333333,19800,30
133,2562.13333333,3630.0,19800,30
134,2585.3,3796.66666667,19800,30
135,2599.16666667,3626.66666667,19800,30
136,2509.66666667,3646.66666667,19800,30
137,2458.53333333,3630.0,19800,30
138,2564.7,3690.0,19800,30
139,2492.9,3610.0,19800,30
140,2601.63333333,3713.33333333,19800,30
141,2520.5,3680.0,19800,30
142,2564.6,3723.33333333,19800,30
143,2578.16666667,3706.66666667,19800,30
144,2545.93333333,3616.66666667,19800,30
145,2529.86666667,3606.66666667,19800,30
146,2608.0,3773.33333333,19800,30
147,2592.96666667,3693.33333333,19800,30
148,2546.56666667,3603.33333333,19800,30
149,2592.53333333,3683.33333333,19800,30
150,2610.1,3630.0,19800,30
151,2580.26666667,3710.0,19800,30
152,2600.66666667,3633.33333333,19800,30
153,2557.93333333,3563.33333333,19800,30
154,2603.06666667,3770.0,19800,30
155,2513.46666667,3626.66666667,19800,30
156,2555.66666667,3646.66666667,19800,30
157,2548.86666667,3696.66666667,19800,30
158,2576.16666667,3696.66666667,19800,30
159,2558.76666667,3670.0,19800,30
160,2581.23333333,3616.66666667,19800,30
161,2596.7,3660.0,19800,30
162,2602.7,3746.66666667,19800,30
163,2630.43333333,3723.33333333,19800,30
164,2616.5,3713.33333333,19800,30
165,2560.93333333,3693.33333333,19800,30
166,2616.06666667,3736.66666667,19800,30
167,2577.76666667,3783.33333333,19800,30
168,2533.1,3640.0,19800,30
169,2578.0,3720.0,19800,30
170,2636.1,3726.66666667,19800,30
171,2560.16666667,3676.66666667,19800,30
172,2558.6,3660.0,19800,30
173,2596.96666667,3740.0,19800,30
174,2651.63333333,3696.66666667,19800,30
175,2609.6,3690.0,19800,30
176,2499.8,3663.33333333,19800,30
177,2568.13333333,3726.66666667,19800,30
178,2589.16666667,3726.66666667,19800,30
179,2651.46666667,3790.0,19800,30
180,2625.8,3763.33333333,19800,30
181,2665.06666667,3703.33333333,19800,30
182,2658.76666667,3866.66666667,19800,30
183,2604.9,3726.66666667,19800,30
184,2619.6,3750.0,19800,30
185,2645.53333333,3670.0,19800,30
186,2617.46666667,3673.33333333,19800,30
187,2624.16666667,3740.0,19800,30
188,2629.13333333,3763.33333333,19800,30
189,2587.56666667,3636.66666667,19800,30
190,2568.0,3716.66666667,19800,30
191,2566.2,3753.33333333,19800,30
192,2454.06666667,3600.0,19800,30
193,2550.16666667,3706.66666667,19800,30
194,2510.06666667,3716.66666667,19800,30
195,2529.06666667,3680.0,19800,30
196,2500.1,3656.66666667,19800,30
197,2524.96666667,3740.0,19800,30
198,2516.86666667,3696.66666667,19800,30
199,2508.63333333,3683.33333333,19800,30
200,2554.5,3706.66666667,19800,30
