Generation,Average,Best,Samples
0,378.966666667,1728.33333333,30
1,1255.33333333,2398.33333333,30
2,1428.1,2446.66666667,30
3,1547.48333333,2590.0,30
4,1546.13333333,2618.33333333,30
5,1619.23333333,2625.0,30
6,1536.78333333,2716.66666667,30
7,1589.43333333,2656.66666667,30
8,1720.06666667,2798.33333333,30
9,1506.53333333,2586.66666667,30
10,1621.05,2703.33333333,30
11,1691.71666667,2721.66666667,30
12,1735.15,2761.66666667,30
13,1797.7,2781.66666667,30
14,1728.93333333,2683.33333333,30
15,1832.38333333,2715.0,30
16,1873.45,2788.33333333,30
17,1871.7,2770.0,30
18,1833.25,2696.66666667,30
19,1898.01666667,2808.33333333,30
20,1963.33333333,2808.33333333,30
21,1899.58333333,2808.33333333,30
22,1942.48333333,2758.33333333,30
23,1937.61666667,2751.66666667,30
24,1976.45,2790.0,30
25,1905.5,2791.66666667,30
26,1937.18333333,2728.33333333,30
27,2093.56666667,2831.66666667,30
28,1931.4,2820.0,30
29,1999.13333333,2770.0,30
30,2071.83333333,2823.33333333,30
31,2072.38333333,2845.0,30
32,2085.3,2828.33333333,30
33,2051.06666667,2840.0,30
34,2071.73333333,2796.66666667,30
35,2028.25,2816.66666667,30
36,2069.88333333,2831.66666667,30
37,2117.03333333,2868.33333333,30
38,2133.88333333,2840.0,30
39,2083.11666667,2823.33333333,30
40,2166.13333333,2870.0,30
41,2081.08333333,2841.66666667,30
42,2158.76666667,2888.33333333,30
43,2071.08333333,2850.0,30
44,2139.23333333,2841.66666667,30
45,2165.13333333,2875.0,30
46,2112.05,2863.33333333,30
47,2075.45,2825.0,30
48,2175.68333333,2873.33333333,30
49,2143.33333333,2871.66666667,30
50,2074.78333333,2855.0,30
51,2088.93333333,2843.33333333,30
52,2135.98333333,2868.33333333,30
53,2129.56666667,2891.66666667,30
54,2127.21666667,2873.33333333,30
55,2151.21666667,2870.0,30
56,2192.85,2863.33333333,30
57,2125.83333333,2861.66666667,30
58,2179.45,2898.33333333,30
59,2071.16666667,2846.66666667,30
60,2141.95,2833.33333333,30
61,2067.8,2871.66666667,30
62,2163.7,2891.66666667,30
63,2127.9,2855.0,30
64,2179.8,2896.66666667,30
65,2115.8,2851.66666667,30
66,2128.71666667,2871.66666667,30
67,2164.26666667,2875.0,30
68,2163.9,2870.0,30
69,2161.23333333,2890.0,30
70,2197.73333333,2848.33333333,30
71,2082.4,2835.0,30
72,2086.3,2816.66666667,30
73,2115.06666667,2863.33333333,30
74,2108.9,2793.33333333,30
75,2134.1,2845.0,30
76,2185.96666667,2881.66666667,30
77,2153.38333333,2876.66666667,30
78,2126.3,2826.66666667,30
79,2254.58333333,2883.33333333,30
80,2180.13333333,2875.0,30
81,2115.93333333,2845.0,30
82,2204.33333333,2845.0,30
83,2149.0,2870.0,30
84,2075.33333333,2838.33333333,30
85,2179.31666667,2875.0,30
86,2135.81666667,2858.33333333,30
87,2164.05,2860.0,30
88,2036.81666667,2818.33333333,30
89,2118.53333333,2851.66666667,30
90,2174.1,2880.0,30
91,2145.61666667,2870.0,30
92,2117.26666667,2841.66666667,30
93,2170.78333333,2845.0,30
94,2146.31666667,2880.0,30
95,2159.73333333,2865.0,30
96,2064.91666667,2843.33333333,30
97,2137.08333333,2898.33333333,30
98,2122.33333333,2866.66666667,30
99,2169.51666667,2853.33333333,30
100,2030.41666667,2828.33333333,30
101,2169.11666667,2871.66666667,30
102,2090.7,2845.0,30
103,2099.05,2850.0,30
104,2091.21666667,2791.66666667,30
105,2099.33333333,2853.33333333,30
106,2052.68333333,2848.33333333,30
107,2049.88333333,2830.0,30
108,2091.01666667,2861.66666667,30
109,2170.6,2883.33333333,30
110,2089.75,2880.0,30
111,2105.11666667,2865.0,30
112,2147.23333333,2861.66666667,30
113,2050.63333333,2841.66666667,30
114,2098.7,2846.66666667,30
115,2084.13333333,2850.0,30
116,2029.75,2833.33333333,30
117,2093.91666667,2878.33333333,30
118,2100.31666667,2815.0,30
119,2066.58333333,2820.0,30
120,2162.15,2895.0,30
121,2128.86666667,2875.0,30
122,2050.21666667,2806.66666667,30
123,2063.7,2826.66666667,30
124,2024.91666667,2831.66666667,30
125,2076.16666667,2843.33333333,30
126,2125.48333333,2858.33333333,30
127,2112.6,2853.33333333,30
128,2086.65,2828.33333333,30
129,2169.86666667,2866.66666667,30
130,2076.81666667,2818.33333333,30
131,2138.5,2876.66666667,30
132,2085.93333333,2836.66666667,30
133,2024.95,2826.66666667,30
134,2100.11666667,2835.0,30
135,2109.31666667,2856.66666667,30
136,2063.16666667,2841.66666667,30
137,2044.5,2843.33333333,30
138,2073.98333333,2841.66666667,30
139,2047.11666667,2843.33333333,30
140,2000.85,2798.33333333,30
141,2014.41666667,2821.66666667,30
142,2105.23333333,2843.33333333,30
143,2031.56666667,2836.66666667,30
144,2050.76666667,2818.33333333,30
145,2045.35,2811.66666667,30
146,2062.63333333,2836.66666667,30
147,2041.36666667,2811.66666667,30
148,2023.85,2825.0,30
149,2047.01666667,2833.33333333,30
150,2018.88333333,2793.33333333,30
151,2051.16666667,2815.0,30
152,2025.65,2840.0,30
153,2024.68333333,2823.33333333,30
154,2091.83333333,2823.33333333,30
155,2083.46666667,2843.33333333,30
156,2058.06666667,2856.66666667,30
157,2047.01666667,2858.33333333,30
158,2036.86666667,2801.66666667,30
159,1938.28333333,2800.0,30
160,2014.43333333,2831.66666667,30
161,1980.56666667,2815.0,30
162,1993.38333333,2815.0,30
163,2009.41666667,2806.66666667,30
164,2045.63333333,2828.33333333,30
165,1977.76666667,2755.0,30
166,2054.66666667,2831.66666667,30
167,2063.48333333,2866.66666667,30
168,2021.2,2845.0,30
169,2060.23333333,2865.0,30
170,1930.45,2786.66666667,30
171,2036.83333333,2828.33333333,30
172,2002.83333333,2775.0,30
173,1988.28333333,2810.0,30
174,1946.98333333,2800.0,30
175,2014.43333333,2831.66666667,30
176,2012.85,2863.33333333,30
177,2032.45,2846.66666667,30
178,1965.0,2813.33333333,30
179,1980.41666667,2811.66666667,30
180,1985.98333333,2823.33333333,30
181,2015.95,2845.0,30
182,2011.08333333,2855.0,30
183,1955.95,2833.33333333,30
184,1982.96666667,2780.0,30
185,1975.06666667,2841.66666667,30
186,1976.03333333,2850.0,30
187,1888.81666667,2813.33333333,30
188,1920.81666667,2813.33333333,30
189,1888.0,2755.0,30
190,1868.85,2770.0,30
191,1887.61666667,2851.66666667,30
192,1925.81666667,2793.33333333,30
193,1941.0,2786.66666667,30
194,1912.93333333,2773.33333333,30
195,1900.18333333,2771.66666667,30
196,1919.5,2826.66666667,30
197,1950.98333333,2823.33333333,30
198,1975.58333333,2816.66666667,30
199,1915.1,2776.66666667,30
200,1986.06666667,2786.66666667,30
