Generation,Average,Best,Samples
0,357.35,1673.33333333,30
1,1112.1,2446.66666667,30
2,1447.98333333,2515.0,30
3,1647.45,2623.33333333,30
4,1496.13333333,2551.66666667,30
5,1608.86666667,2720.0,30
6,1711.7,2748.33333333,30
7,1723.48333333,2758.33333333,30
8,1719.45,2786.66666667,30
9,1774.18333333,2785.0,30
10,1840.7,2836.66666667,30
11,1731.25,2790.0,30
12,1798.9,2793.33333333,30
13,1585.66666667,2716.66666667,30
14,1706.85,2771.66666667,30
15,1715.06666667,2768.33333333,30
16,1863.2,2816.66666667,30
17,1880.51666667,2846.66666667,30
18,1837.71666667,2808.33333333,30
19,1755.4,2760.0,30
20,1787.58333333,2773.33333333,30
21,1672.86666667,2798.33333333,30
22,1785.18333333,2795.0,30
23,1736.16666667,2783.33333333,30
24,1834.2,2818.33333333,30
25,1931.05,2846.66666667,30
26,1709.91666667,2773.33333333,30
27,1666.13333333,2761.66666667,30
28,1647.36666667,2713.33333333,30
29,1753.25,2730.0,30
30,1776.95,2796.66666667,30
31,1742.71666667,2775.0,30
32,1679.61666667,2771.66666667,30
33,1641.25,2701.66666667,30
34,1559.45,2600.0,30
35,1668.01666667,2693.33333333,30
36,1728.61666667,2743.33333333,30
37,1636.13333333,2721.66666667,30
38,1754.1,2711.66666667,30
39,1828.95,2743.33333333,30
40,1655.93333333,2651.66666667,30
41,1745.56666667,2723.33333333,30
42,1664.3,2715.0,30
43,1721.25,2701.66666667,30
44,1770.51666667,2716.66666667,30
45,1726.4,2718.33333333,30
46,1684.71666667,2701.66666667,30
47,1675.9,2705.0,30
48,1520.01666667,2553.33333333,30
49,1641.01666667,2685.0,30
50,1653.01666667,2631.66666667,30
51,1625.45,2631.66666667,30
52,1703.06666667,2633.33333333,30
53,1766.55,2708.33333333,30
54,1812.31666667,2721.66666667,30
55,1729.11666667,2698.33333333,30
56,1694.9,2650.0,30
57,1600.96666667,2598.33333333,30
58,1769.2,2680.0,30
59,1644.85,2683.33333333,30
60,1741.58333333,2713.33333333,30
61,1609.03333333,2673.33333333,30
62,1623.08333333,2690.0,30
63,1614.05,2633.33333333,30
64,1672.48333333,2740.0,30
65,1735.05,2693.33333333,30
66,1586.48333333,2560.0,30
67,1668.43333333,2650.0,30
68,1730.05,2665.0,30
69,1664.23333333,2683.33333333,30
70,1598.0,2688.33333333,30
71,1701.85,2691.66666667,30
72,1583.05,2633.33333333,30
73,1606.61666667,2651.66666667,30
74,1569.0,2593.33333333,30
75,1452.36666667,2550.0,30
76,1583.03333333,2610.0,30
77,1523.08333333,2551.66666667,30
78,1556.81666667,2586.66666667,30
79,1468.11666667,2508.33333333,30
80,1553.13333333,2543.33333333,30
81,1611.88333333,2621.66666667,30
82,1652.11666667,2573.33333333,30
83,1657.71666667,2555.0,30
84,1552.63333333,2573.33333333,30
85,1596.2,2608.33333333,30
86,1614.73333333,2648.33333333,30
87,1622.08333333,2675.0,30
88,1573.05,2586.66666667,30
89,1567.95,2566.66666667,30
90,1595.2,2545.0,30
91,1542.53333333,2461.66666667,30
92,1595.55,2570.0,30
93,1584.41666667,2551.66666667,30
94,1646.08333333,2506.66666667,30
95,1558.1,2586.66666667,30
96,1533.95,2546.66666667,30
97,1496.45,2428.33333333,30
98,1475.75,2516.66666667,30
99,1537.98333333,2475.0,30
100,1446.51666667,2401.66666667,30
101,1469.36666667,2463.33333333,30
102,1503.98333333,2493.33333333,30
103,1423.7,2445.0,30
104,1395.08333333,2401.66666667,30
105,1425.61666667,2421.66666667,30
106,1373.0,2345.0,30
107,1402.8,2430.0,30
108,1517.36666667,2483.33333333,30
109,1471.76666667,2458.33333333,30
110,1474.23333333,2470.0,30
111,1478.68333333,2475.0,30
112,1434.4,2486.66666667,30
113,1515.7,2486.66666667,30
114,1455.13333333,2448.33333333,30
115,1424.91666667,2438.33333333,30
116,1477.48333333,2528.33333333,30
117,1504.06666667,2491.66666667,30
118,1430.6,2470.0,30
119,1364.51666667,2503.33333333,30
120,1456.38333333,2420.0,30
121,1408.36666667,2461.66666667,30
