Generation,Average,Best,Samples
0,284.7,1405.0,10
1,1796.95,2575.0,10
2,2270.25,2830.0,10
3,2210.9,2780.0,10
4,2153.2,2755.0,10
5,2206.6,2795.0,10
6,2172.8,2745.0,10
7,2032.0,2735.0,10
8,2079.55,2735.0,10
9,2096.15,2730.0,10
10,2072.05,2745.0,10
11,2306.0,2820.0,10
12,2220.45,2820.0,10
13,2277.3,2805.0,10
14,2307.55,2785.0,10
15,2224.1,2775.0,10
16,2230.25,2770.0,10
17,2196.9,2785.0,10
18,2192.2,2770.0,10
19,2206.1,2770.0,10
20,2145.9,2760.0,10
21,2170.7,2775.0,10
22,2172.6,2860.0,10
23,2137.3,2755.0,10
24,2181.55,2765.0,10
25,2172.0,2775.0,10
26,2057.16666667,2694.44444444,9
27,2101.875,2718.75,8
28,2226.125,2881.25,8
29,2288.28571429,2800.0,7
30,2319.14285714,2814.28571429,7
31,2298.78571429,2807.14285714,7
32,2288.14285714,2735.71428571,7
33,2353.28571429,2828.57142857,7
34,2323.64285714,2814.28571429,7
35,2227.35714286,2785.71428571,7
36,2213.1,2810.0,5
37,2243.7,2890.0,5
38,2155.0,2800.0,5
39,2355.9,2870.0,5
40,2356.1,2850.0,5
41,2349.9,2900.0,5
42,2297.1,2810.0,5
43,2211.4,2750.0,5
44,2392.75,2850.0,2
45,2528.0,2900.0,1
46,2539.0,2900.0,1
