Generation,Average,Best,Updates,Samples
0,53.7,975.0,0,10
1,373.5,1400.0,19800,10
2,568.6,1445.0,19800,10
3,574.0,1485.0,19800,10
4,647.75,1495.0,19800,10
5,711.2,1640.0,19800,10
6,868.9,1660.0,19800,10
7,826.25,1585.0,19800,10
8,884.9,1640.0,19800,10
9,881.9,1725.0,19800,10
10,1052.2,1845.0,19800,10
11,1037.15,1705.0,19800,10
12,1107.05,1830.0,19800,10
13,1144.15,1750.0,19800,10
14,1122.05,1785.0,19800,10
15,1142.45,1845.0,19800,10
16,1111.7,1805.0,19800,10
17,1123.4,1885.0,19800,10
18,1225.6,1965.0,19800,10
19,1272.3,1985.0,19800,10
20,1192.15,1930.0,19800,10
21,1229.85,1845.0,19800,10
22,1302.15,1940.0,19800,10
23,1300.7,1910.0,19800,10
24,1287.0,1960.0,19800,10
25,1344.0,1990.0,19800,10
26,1385.6,2005.0,19800,10
27,1358.2,2000.0,19800,10
28,1349.75,1970.0,19800,10
29,1276.45,1890.0,19800,10
30,1279.4,1835.0,19800,10
31,1331.55,1990.0,19800,10
32,1293.7,1945.0,19800,10
33,1226.95,1950.0,19800,10
34,1397.65,2135.0,19800,10
35,1460.25,2035.0,19800,10
36,1399.3,1980.0,19800,10
37,1512.5,2085.0,19800,10
38,1495.85,2005.0,19800,10
39,1381.3,2010.0,19800,10
40,1418.95,2060.0,19800,10
41,1484.1,2070.0,19800,10
42,1414.65,1995.0,19800,10
43,1525.5,2150.0,19800,10
44,1467.7,2100.0,19800,10
45,1462.35,2070.0,19800,10
46,1461.2,2070.0,19800,10
47,1440.55,2035.0,19800,10
48,1426.0,2030.0,19800,10
49,1484.8,2100.0,19800,10
50,1447.3,1970.0,19800,10
51,1462.15,2050.0,19800,10
52,1492.45,2050.0,19800,10
53,1501.55,2110.0,19800,10
54,1522.0,2125.0,19800,10
55,1518.85,2100.0,19800,10
56,1520.6,2120.0,19800,10
57,1475.45,2115.0,19800,10
58,1537.5,2070.0,19800,10
59,1546.6,2075.0,19800,10
60,1531.45,2085.0,19800,10
61,1505.2,2130.0,19800,10
62,1489.05,2075.0,19800,10
63,1484.4,2095.0,19800,10
64,1498.6,2080.0,19800,10
65,1536.65,2110.0,19800,10
66,1478.5,2035.0,19800,10
67,1499.95,2015.0,19800,10
68,1551.2,2145.0,19800,10
69,1565.35,2075.0,19800,10
70,1524.4,2015.0,19800,10
71,1524.95,2110.0,19800,10
72,1546.95,2145.0,19800,10
73,1534.3,2075.0,19800,10
74,1627.1,2185.0,19800,10
75,1589.45,2120.0,19800,10
76,1577.65,2160.0,19800,10
77,1547.4,2130.0,19800,10
78,1586.95,2135.0,19800,10
79,1619.25,2180.0,19800,10
80,1613.9,2170.0,19800,10
81,1586.5,2085.0,19800,10
82,1575.65,2145.0,19800,10
83,1625.6,2170.0,19800,10
84,1632.6,2140.0,19800,10
85,1689.7,2235.0,19800,10
86,1669.55,2180.0,19800,10
87,1673.6,2170.0,19800,10
88,1671.3,2210.0,19800,10
89,1702.95,2325.0,19800,10
90,1670.0,2180.0,19800,10
91,1593.55,2130.0,19800,10
92,1629.35,2135.0,19800,10
93,1630.05,2165.0,19800,10
94,1663.45,2205.0,19800,10
95,1673.2,2205.0,19800,10
96,1671.5,2185.0,19800,10
97,1653.9,2210.0,19800,10
98,1686.7,2225.0,19800,10
99,1587.1,2120.0,19800,10
100,1691.5,2270.0,19800,10
101,1668.95,2185.0,19800,10
102,1606.6,2130.0,19800,10
103,1696.0,2245.0,19800,10
104,1669.7,2235.0,19800,10
105,1696.8,2240.0,19800,10
106,1687.3,2190.0,19800,10
107,1689.2,2215.0,19800,10
108,1721.15,2235.0,19800,10
109,1699.9,2225.0,19800,10
110,1739.45,2225.0,19800,10
111,1683.85,2200.0,19800,10
112,1690.45,2225.0,19800,10
113,1738.7,2190.0,19800,10
114,1762.65,2255.0,19800,10
115,1737.4,2255.0,19800,10
116,1803.5,2320.0,19800,10
117,1745.6,2260.0,19800,10
118,1760.55,2280.0,19800,10
119,1764.5,2235.0,19800,10
120,1752.85,2230.0,19800,10
121,1779.65,2285.0,19800,10
122,1718.2,2165.0,19800,10
123,1752.75,2220.0,19800,10
124,1710.0,2230.0,19800,10
125,1734.2,2220.0,19800,10
126,1800.75,2335.0,19800,10
127,1733.75,2290.0,19800,10
128,1712.22222222,2227.77777778,19800,9
129,1741.5,2227.77777778,19800,9
130,1673.27777778,2216.66666667,19800,9
131,1736.22222222,2205.55555556,19800,9
132,1717.22222222,2216.66666667,19800,9
133,1743.5,2227.77777778,19800,9
134,1768.61111111,2300.0,19800,9
135,1681.83333333,2161.11111111,19800,9
136,1713.38888889,2322.22222222,19800,9
137,1733.8125,2262.5,19800,8
138,1727.0,2218.75,19800,8
139,1782.4375,2262.5,19800,8
140,1760.8125,2306.25,19800,8
141,1594.71428571,2100.0,19800,7
142,1683.42857143,2164.28571429,19800,7
143,1656.28571429,2128.57142857,19800,7
144,1677.5,2221.42857143,19800,7
