Generation,Average,Best,Samples
0,49.5333333333,921.666666667,30
1,290.883333333,1366.66666667,30
2,505.583333333,1475.0,30
3,535.65,1455.0,30
4,611.216666667,1528.33333333,30
5,721.566666667,1646.66666667,30
6,666.066666667,1526.66666667,30
7,756.2,1606.66666667,30
8,714.55,1628.33333333,30
9,763.683333333,1590.0,30
10,773.183333333,1650.0,30
11,852.866666667,1705.0,30
12,867.766666667,1708.33333333,30
13,778.366666667,1685.0,30
14,851.416666667,1796.66666667,30
15,869.483333333,1775.0,30
16,873.466666667,1756.66666667,30
17,936.25,1845.0,30
18,884.116666667,1771.66666667,30
19,975.333333333,1821.66666667,30
20,983.4,1840.0,30
21,1060.9,1888.33333333,30
22,934.233333333,1836.66666667,30
23,1039.16666667,1913.33333333,30
24,1002.06666667,1851.66666667,30
25,1017.01666667,1850.0,30
26,1034.45,1870.0,30
27,1051.23333333,1915.0,30
28,1055.93333333,1896.66666667,30
29,1050.33333333,1850.0,30
30,1077.06666667,1948.33333333,30
31,1080.86666667,1981.66666667,30
32,1096.11666667,2015.0,30
33,1054.5,1923.33333333,30
34,1092.45,1985.0,30
35,1082.7,1906.66666667,30
36,1185.65,2005.0,30
37,1168.45,2001.66666667,30
38,1209.03333333,2041.66666667,30
39,1165.51666667,2030.0,30
40,1205.08333333,2038.33333333,30
41,1187.98333333,2055.0,30
42,1254.38333333,2058.33333333,30
43,1167.21666667,2023.33333333,30
44,1233.76666667,2065.0,30
45,1208.96666667,2033.33333333,30
46,1254.7,2103.33333333,30
47,1238.76666667,2056.66666667,30
48,1221.31666667,2095.0,30
49,1228.53333333,2050.0,30
50,1243.95,2105.0,30
51,1256.28333333,2125.0,30
52,1257.63333333,2138.33333333,30
53,1256.66666667,2131.66666667,30
54,1327.38333333,2136.66666667,30
55,1216.1,2078.33333333,30
56,1293.53333333,2118.33333333,30
57,1251.6,2103.33333333,30
58,1306.53333333,2145.0,30
59,1279.48333333,2108.33333333,30
60,1318.13333333,2161.66666667,30
61,1302.71666667,2131.66666667,30
62,1293.63333333,2130.0,30
63,1317.66666667,2146.66666667,30
64,1366.7,2153.33333333,30
65,1317.81666667,2181.66666667,30
66,1333.08333333,2198.33333333,30
67,1363.81666667,2150.0,30
68,1351.76666667,2188.33333333,30
69,1420.56666667,2185.0,30
70,1357.26666667,2183.33333333,30
71,1448.28333333,2290.0,30
72,1477.9,2255.0,30
73,1441.28333333,2230.0,30
74,1397.0,2178.33333333,30
75,1445.53333333,2223.33333333,30
76,1428.08333333,2226.66666667,30
77,1464.73333333,2276.66666667,30
78,1460.48333333,2253.33333333,30
79,1438.05,2258.33333333,30
80,1419.0,2273.33333333,30
81,1435.81666667,2225.0,30
82,1445.11666667,2293.33333333,30
83,1470.41666667,2260.0,30
84,1474.23333333,2250.0,30
85,1471.25,2258.33333333,30
86,1494.91666667,2286.66666667,30
87,1500.48333333,2305.0,30
88,1509.28333333,2298.33333333,30
89,1507.78333333,2255.0,30
90,1539.25,2320.0,30
91,1504.81666667,2298.33333333,30
92,1542.51666667,2308.33333333,30
93,1555.18333333,2366.66666667,30
94,1593.01666667,2325.0,30
95,1520.45,2273.33333333,30
96,1606.3,2360.0,30
97,1552.88333333,2301.66666667,30
