Generation,Average,Best,Updates,Samples
0,61.05,975.0,0,10
1,277.55,1555.0,19000,10
2,521.95,1535.0,19000,10
3,626.7,1730.0,19000,10
4,841.0,1760.0,19000,10
5,936.05,1680.0,19000,10
6,1043.85,1835.0,19000,10
7,1095.2,1805.0,19000,10
8,1128.25,1825.0,19000,10
9,1105.75,1770.0,19000,10
10,1186.5,1885.0,19000,10
11,1259.45,1915.0,19000,10
12,1223.85,1960.0,19000,10
13,1319.35,1975.0,19000,10
14,1323.35,2000.0,19000,10
15,1328.0,1930.0,19000,10
16,1380.0,1965.0,19000,10
17,1391.9,2010.0,19000,10
18,1308.1,1945.0,19000,10
19,1395.3,1980.0,19000,10
20,1451.45,2095.0,19000,10
21,1403.35,2095.0,19000,10
22,1481.55,2125.0,19000,10
23,1506.15,2110.0,19000,10
24,1442.25,2060.0,19000,10
25,1542.25,2150.0,19000,10
26,1519.6,2090.0,19000,10
27,1506.05,2175.0,19000,10
28,1489.0,2060.0,19000,10
29,1483.55,2080.0,19000,10
30,1576.1,2155.0,19000,10
31,1535.55,2155.0,19000,10
32,1552.05,2150.0,19000,10
33,1542.15,2195.0,19000,10
34,1625.85,2220.0,19000,10
35,1577.95,2245.0,19000,10
36,1580.1,2200.0,19000,10
37,1617.75,2215.0,19000,10
38,1604.9,2200.0,19000,10
39,1621.6,2245.0,19000,10
40,1652.35,2225.0,19000,10
41,1607.0,2295.0,19000,10
42,1570.85,2170.0,19000,10
43,1655.1,2255.0,19000,10
44,1621.6,2220.0,19000,10
45,1723.8,2290.0,19000,10
46,1618.1,2295.0,19000,10
47,1543.0,2205.0,19000,10
48,1587.6,2155.0,19000,10
49,1635.95,2215.0,19000,10
50,1678.5,2280.0,19000,10
51,1673.05,2325.0,19000,10
52,1607.1,2245.0,19000,10
53,1646.3,2230.0,19000,10
54,1687.55,2285.0,19000,10
55,1639.3,2240.0,19000,10
56,1696.35,2315.0,19000,10
57,1735.6,2300.0,19000,10
58,1707.5,2320.0,19000,10
59,1593.85,2245.0,19000,10
60,1725.7,2310.0,19000,10
61,1753.4,2340.0,19000,10
62,1699.7,2315.0,19000,10
63,1709.95,2230.0,19000,10
64,1615.7,2240.0,19000,10
65,1705.55,2325.0,19000,10
66,1637.0,2215.0,19000,10
67,1705.8,2320.0,19000,10
68,1652.1,2215.0,19000,10
69,1658.4,2210.0,19000,10
70,1700.3,2290.0,19000,10
71,1700.95,2280.0,19000,10
72,1682.2,2255.0,19000,10
73,1677.1,2280.0,19000,10
74,1677.1,2255.0,19000,10
75,1661.5,2310.0,19000,10
76,1777.2,2355.0,19000,10
