Generation,Average,Best,Updates,Samples
0,55.6833333333,888.333333333,0,30
1,301.666666667,1318.33333333,19800,30
2,528.516666667,1538.33333333,19800,30
3,656.416666667,1576.66666667,19800,30
4,754.716666667,1691.66666667,19800,30
5,824.1,1626.66666667,19800,30
6,915.7,1698.33333333,19800,30
7,924.066666667,1696.66666667,19800,30
8,988.733333333,1768.33333333,19800,30
9,984.216666667,1761.66666667,19800,30
10,1039.11666667,1783.33333333,19800,30
11,1069.63333333,1831.66666667,19800,30
12,1093.56666667,1850.0,19800,30
13,1146.3,1863.33333333,19800,30
14,1118.16666667,1833.33333333,19800,30
15,1199.33333333,1916.66666667,19800,30
16,1234.1,1888.33333333,19800,30
17,1218.5,1905.0,19800,30
18,1301.01666667,1901.66666667,19800,30
19,1332.48333333,1963.33333333,19800,30
20,1269.28333333,1885.0,19800,30
21,1333.8,1978.33333333,19800,30
22,1385.31666667,1993.33333333,19800,30
23,1364.91666667,1941.66666667,19800,30
24,1372.05,1963.33333333,19800,30
25,1364.8,1943.33333333,19800,30
26,1409.95,1978.33333333,19800,30
27,1390.9,1970.0,19800,30
28,1373.93333333,1955.0,19800,30
29,1482.85,2053.33333333,19800,30
30,1429.61666667,2015.0,19800,30
31,1389.38333333,1993.33333333,19800,30
32,1405.78333333,2021.66666667,19800,30
33,1448.5,1990.0,19800,30
34,1453.16666667,2051.66666667,19800,30
35,1462.41666667,2060.0,19800,30
36,1505.81666667,2053.33333333,19800,30
37,1506.55,2081.66666667,19800,30
38,1532.53333333,2086.66666667,19800,30
39,1524.75,2043.33333333,19800,30
40,1514.8,2100.0,19800,30
41,1505.5,2045.0,19800,30
42,1514.58333333,2061.66666667,19800,30
43,1526.33333333,2055.0,19800,30
44,1528.83333333,2066.66666667,19800,30
45,1511.28333333,2045.0,19800,30
46,1545.36666667,2118.33333333,19800,30
47,1571.05,2091.66666667,19800,30
48,1560.08333333,2108.33333333,19800,30
49,1508.01666667,2081.66666667,19800,30
50,1553.85,2096.66666667,19800,30
51,1528.01666667,2080.0,19800,30
52,1574.43333333,2103.33333333,19800,30
53,1567.73333333,2090.0,19800,30
54,1590.05,2125.0,19800,30
55,1535.83333333,2160.0,19800,30
56,1559.83333333,2135.0,19800,30
57,1605.51666667,2171.66666667,19800,30
58,1590.85,2113.33333333,19800,30
59,1606.93333333,2136.66666667,19800,30
60,1611.56666667,2111.66666667,19800,30
61,1612.55,2138.33333333,19800,30
62,1629.35,2180.0,19800,30
63,1626.03333333,2175.0,19800,30
64,1603.8,2175.0,19800,30
65,1606.66666667,2123.33333333,19800,30
66,1635.01666667,2153.33333333,19800,30
67,1604.86666667,2201.66666667,19800,30
68,1627.66666667,2176.66666667,19800,30
69,1633.13333333,2188.33333333,19800,30
70,1640.45,2193.33333333,19800,30
71,1622.21666667,2136.66666667,19800,30
72,1623.21666667,2186.66666667,19800,30
73,1673.68333333,2203.33333333,19800,30
74,1657.85,2205.0,19800,30
75,1662.71666667,2198.33333333,19800,30
76,1643.56666667,2215.0,19800,30
77,1637.46666667,2156.66666667,19800,30
78,1681.96666667,2223.33333333,19800,30
79,1618.38333333,2158.33333333,19800,30
80,1661.95,2206.66666667,19800,30
81,1685.01666667,2226.66666667,19800,30
82,1686.81666667,2216.66666667,19800,30
83,1701.78333333,2188.33333333,19800,30
84,1676.63333333,2213.33333333,19800,30
85,1661.78333333,2160.0,19800,30
86,1616.53333333,2128.33333333,19800,30
87,1682.03333333,2195.0,19800,30
88,1681.85,2158.33333333,19800,30
89,1701.11666667,2203.33333333,19800,30
90,1675.71666667,2201.66666667,19800,30
91,1701.68333333,2226.66666667,19800,30
92,1724.06666667,2238.33333333,19800,30
93,1691.51666667,2201.66666667,19800,30
94,1692.13333333,2205.0,19800,30
95,1703.8,2198.33333333,19800,30
96,1718.15,2241.66666667,19800,30
97,1710.08333333,2243.33333333,19800,30
98,1710.91666667,2206.66666667,19800,30
99,1677.73333333,2218.33333333,19800,30
100,1713.96666667,2223.33333333,19800,30
101,1737.33333333,2260.0,19800,30
102,1759.55,2293.33333333,19800,30
103,1740.45,2280.0,19800,30
104,1717.11666667,2225.0,19800,30
105,1682.83333333,2218.33333333,19800,30
106,1703.73333333,2246.66666667,19800,30
107,1739.33333333,2311.66666667,19800,30
108,1713.25,2243.33333333,19800,30
109,1710.05,2241.66666667,19800,30
110,1741.55,2255.0,19800,30
111,1742.7,2296.66666667,19800,30
112,1769.56666667,2305.0,19800,30
113,1739.91666667,2281.66666667,19800,30
114,1752.36666667,2296.66666667,19800,30
115,1782.3,2306.66666667,19800,30
116,1755.28333333,2298.33333333,19800,30
117,1764.51666667,2300.0,19800,30
118,1779.06666667,2280.0,19800,30
119,1789.23333333,2295.0,19800,30
120,1775.63333333,2283.33333333,19800,30
121,1772.48333333,2318.33333333,19800,30
122,1743.11666667,2310.0,19800,30
123,1747.08333333,2316.66666667,19800,30
124,1770.8,2313.33333333,19800,30
125,1782.0,2301.66666667,19800,30
126,1782.48333333,2316.66666667,19800,30
127,1769.8,2335.0,19800,30
128,1758.75,2290.0,19800,30
129,1784.33333333,2368.33333333,19800,30
130,1815.0,2353.33333333,19800,30
131,1811.98333333,2381.66666667,19800,30
132,1803.65,2351.66666667,19800,30
133,1789.15,2370.0,19800,30
134,1765.08333333,2343.33333333,19800,30
135,1811.48333333,2390.0,19800,30
136,1829.7,2393.33333333,19800,30
137,1780.5,2381.66666667,19800,30
138,1808.65,2361.66666667,19800,30
139,1818.65,2385.0,19800,30
140,1803.56666667,2355.0,19800,30
141,1836.7,2365.0,19800,30
142,1838.8,2391.66666667,19800,30
143,1811.78333333,2368.33333333,19800,30
144,1828.7,2380.0,19800,30
145,1841.76666667,2381.66666667,19800,30
146,1841.7,2383.33333333,19800,30
147,1828.95,2396.66666667,19800,30
148,1829.7,2400.0,19800,30
149,1825.85,2381.66666667,19800,30
150,1824.45,2396.66666667,19800,30
151,1822.98333333,2351.66666667,19800,30
152,1831.28333333,2356.66666667,19800,30
153,1876.18333333,2398.33333333,19800,30
154,1865.35,2433.33333333,19800,30
155,1856.8,2388.33333333,19800,30
156,1855.23333333,2416.66666667,19800,30
157,1879.55,2440.0,19800,30
158,1874.31666667,2436.66666667,19800,30
159,1867.86666667,2415.0,19800,30
160,1881.93333333,2398.33333333,19800,30
161,1873.88333333,2388.33333333,19800,30
162,1887.25,2415.0,19800,30
163,1847.83333333,2396.66666667,19800,30
164,1876.45,2390.0,19800,30
165,1836.96666667,2398.33333333,19800,30
166,1814.8,2386.66666667,19800,30
167,1841.78333333,2418.33333333,19800,30
168,1898.18333333,2468.33333333,19800,30
169,1880.38333333,2468.33333333,19800,30
170,1843.26666667,2425.0,19800,30
171,1879.15,2440.0,19800,30
172,1886.2,2458.33333333,19800,30
173,1887.88333333,2458.33333333,19800,30
174,1902.0,2455.0,19800,30
175,1873.71666667,2418.33333333,19800,30
176,1917.5,2485.0,19800,30
177,1909.75,2460.0,19800,30
178,1922.28333333,2433.33333333,19800,30
179,1918.91666667,2436.66666667,19800,30
180,1887.75,2448.33333333,19800,30
181,1917.65,2461.66666667,19800,30
182,1940.65,2471.66666667,19800,30
183,1891.6,2440.0,19800,30
184,1944.8,2478.33333333,19800,30
185,1941.38333333,2486.66666667,19800,30
186,1930.61666667,2481.66666667,19800,30
187,1906.13333333,2435.0,19800,30
188,1917.65,2476.66666667,19800,30
189,1939.21666667,2493.33333333,19800,30
190,1964.65,2468.33333333,19800,30
191,1921.03333333,2466.66666667,19800,30
192,1940.31666667,2460.0,19800,30
193,1928.78333333,2476.66666667,19800,30
194,1913.51666667,2468.33333333,19800,30
195,1912.73333333,2453.33333333,19800,30
196,1918.96666667,2475.0,19800,30
197,1933.18333333,2443.33333333,19800,30
198,1912.85,2471.66666667,19800,30
199,1951.88333333,2481.66666667,19800,30
200,1946.18333333,2480.0,19800,30
201,1965.61666667,2513.33333333,19800,30
202,1953.91666667,2470.0,19800,30
203,1918.43333333,2476.66666667,19800,30
204,1942.35,2456.66666667,19800,30
205,1912.83333333,2458.33333333,19800,30
206,1934.53333333,2471.66666667,19800,30
207,1930.68333333,2481.66666667,19800,30
208,1942.16666667,2476.66666667,19800,30
209,1959.16666667,2470.0,19800,30
210,1939.01666667,2496.66666667,19800,30
211,1926.76666667,2501.66666667,19800,30
212,1943.96666667,2473.33333333,19800,30
213,1945.41666667,2526.66666667,19800,30
214,1940.71666667,2468.33333333,19800,30
215,1909.25,2421.66666667,19800,30
216,1895.86666667,2458.33333333,19800,30
217,1929.66666667,2473.33333333,19800,30
218,1937.91666667,2475.0,19800,30
219,1929.81666667,2455.0,19800,30
220,1947.33333333,2510.0,19800,30
221,1933.73333333,2485.0,19800,30
222,1972.08333333,2498.33333333,19800,30
223,1969.45,2515.0,19800,30
224,1970.63333333,2508.33333333,19800,30
225,1954.68333333,2451.66666667,19800,30
226,1961.9,2518.33333333,19800,30
227,1959.65,2486.66666667,19800,30
228,1986.95,2513.33333333,19800,30
229,1959.03333333,2471.66666667,19800,30
230,1979.46666667,2493.33333333,19800,30
231,1967.46666667,2500.0,19800,30
232,1994.85,2490.0,19800,30
233,1945.95,2470.0,19800,30
234,1952.25,2491.66666667,19800,30
235,1971.1,2500.0,19800,30
236,2040.55,2558.33333333,19800,30
237,2033.03333333,2551.66666667,19800,30
238,1992.75,2526.66666667,19800,30
239,2001.63333333,2548.33333333,19800,30
240,2029.28333333,2551.66666667,19800,30
241,2010.85,2555.0,19800,30
242,1988.11666667,2508.33333333,19800,30
243,1985.18333333,2526.66666667,19800,30
244,1978.43333333,2518.33333333,19800,30
245,1998.65,2526.66666667,19800,30
246,1973.03333333,2510.0,19800,30
247,1975.78333333,2535.0,19800,30
248,1952.9,2523.33333333,19800,30
249,1960.38333333,2518.33333333,19800,30
250,2002.66666667,2555.0,19800,30
251,1976.2,2511.66666667,19800,30
252,2007.56666667,2543.33333333,19800,30
253,1953.36666667,2511.66666667,19800,30
254,1966.61666667,2495.0,19800,30
255,1988.03333333,2530.0,19800,30
256,1996.71666667,2556.66666667,19800,30
257,1994.23333333,2528.33333333,19800,30
258,2005.91666667,2543.33333333,19800,30
259,1962.73333333,2495.0,19800,30
260,1979.2,2523.33333333,19800,30
261,1991.03333333,2530.0,19800,30
262,1971.58333333,2510.0,19800,30
263,2009.75,2543.33333333,19800,30
264,1983.45,2525.0,19800,30
265,1991.38333333,2536.66666667,19800,30
266,2033.93333333,2576.66666667,19800,30
267,1978.38333333,2495.0,19800,30
268,2000.8,2531.66666667,19800,30
269,2007.11666667,2543.33333333,19800,30
270,2005.0,2561.66666667,19800,30
271,2013.98333333,2536.66666667,19800,30
272,2024.48333333,2540.0,19800,30
273,2018.71666667,2558.33333333,19800,30
274,1980.73333333,2518.33333333,19800,30
275,1997.73333333,2543.33333333,19800,30
276,2029.25,2551.66666667,19800,30
277,2029.5,2558.33333333,19800,30
278,2028.88333333,2565.0,19800,30
279,2013.38333333,2558.33333333,19800,30
280,1995.06666667,2533.33333333,19800,30
281,2033.06666667,2570.0,19800,30
282,2020.33333333,2560.0,19800,30
283,2062.1,2596.66666667,19800,30
284,2060.95,2583.33333333,19800,30
285,2028.53333333,2575.0,19800,30
286,2027.68333333,2551.66666667,19800,30
287,2045.35,2588.33333333,19800,30
288,2006.0,2568.33333333,19800,30
289,2016.15,2551.66666667,19800,30
290,2035.33333333,2595.0,19800,30
291,2033.15,2548.33333333,19800,30
292,2060.96666667,2611.66666667,19800,30
293,2085.26666667,2601.66666667,19800,30
294,2066.03333333,2608.33333333,19800,30
295,2026.16666667,2548.33333333,19800,30
296,2082.2,2608.33333333,19800,30
297,2043.91666667,2558.33333333,19800,30
298,2044.36666667,2596.66666667,19800,30
299,2026.1,2576.66666667,19800,30
300,2028.58333333,2545.0,19800,30
301,2080.18333333,2608.33333333,19800,30
302,2081.61666667,2603.33333333,19800,30
303,2071.3,2590.0,19800,30
304,2029.5,2553.33333333,19800,30
305,2048.15,2578.33333333,19800,30
306,2086.28333333,2616.66666667,19800,30
307,2074.68333333,2610.0,19800,30
308,2061.9,2603.33333333,19800,30
309,2091.91666667,2601.66666667,19800,30
310,2092.11666667,2595.0,19800,30
311,2065.06666667,2605.0,19800,30
312,2071.16666667,2608.33333333,19800,30
313,2086.61666667,2600.0,19800,30
314,2083.18333333,2568.33333333,19800,30
315,2074.9,2616.66666667,19800,30
316,2088.18333333,2591.66666667,19800,30
317,2078.0,2583.33333333,19800,30
318,2115.71666667,2636.66666667,19800,30
319,2057.31666667,2571.66666667,19800,30
320,2082.85,2608.33333333,19800,30
321,2036.91666667,2565.0,19800,30
322,2112.56666667,2640.0,19800,30
323,2070.36666667,2578.33333333,19800,30
324,2116.8,2640.0,19800,30
325,2074.01666667,2606.66666667,19800,30
326,2049.61666667,2566.66666667,19800,30
327,2086.95,2598.33333333,19800,30
328,2083.76666667,2615.0,19800,30
