Generation,Average,Best,Updates
0,96,850,0
1,398,1350,0
2,519.5,1350,0
3,654,1500,0
4,615,1900,0
5,856,1600,0
6,830,1550,0
7,982.5,2000,0
8,842.5,1600,0
9,846,1700,0
10,853.5,1800,0
11,1012,1700,0
12,1119.5,1800,0
13,922,1750,0
14,1019,1950,0
15,1024,1700,0
16,871,1550,0
17,978,1600,0
18,933.5,1550,0
19,988,1600,0
20,950.5,1550,0
21,1047.5,1700,0
22,1063,1900,0
23,940.5,1800,0
24,806,1600,0
25,902,1700,0
26,1115.5,1700,0
27,849.5,1750,0
28,1107,1800,0
29,912.5,1900,0
30,1055,1850,0
31,1001,1750,0
32,1054,1600,0
33,856.5,1800,0
34,1100.5,1900,0
35,1082.5,1750,0
36,1243.5,1950,0
37,1228.5,1900,0
38,1314.5,1850,0
39,1449.5,2000,0
40,1248,1750,0
41,1397.5,2050,0
42,1287.5,1900,0
43,1453.5,2000,0
44,1341,1850,0
45,1352.5,1900,0
46,1378.5,1900,0
47,1324.5,1900,0
48,1311.5,1750,0
49,1518,1950,0
50,1322,1700,0
51,1320.5,1750,0
52,1304.5,1800,0
53,1435.5,2000,0
54,1293.5,2050,0
55,1415,2050,0
56,1541,2100,0
57,1523.5,1950,0
58,1418.5,2050,0
59,1394,1850,0
60,1411.5,1900,0
61,1336.5,1850,0
62,1465.5,1900,0
63,1418,1950,0
64,1451.5,1900,0
65,1417.5,1850,0
66,1444,2150,0
67,1584,2000,0
68,1420,1850,0
69,1306.5,2000,0
70,1424,2000,0
71,1294.5,1750,0
72,1314.5,1850,0
73,1419.5,1900,0
74,1423.5,1950,0
75,1311.5,1950,0
76,1383,1900,0
77,1351.5,1800,0
78,1268,1850,0
79,1377.5,1850,0
80,1299.5,2000,0
81,1250.5,1950,0
82,1256.5,1850,0
83,1347,1850,0
84,1277.5,1800,0
85,1240.5,2000,0
86,1416,1950,0
87,1421.5,1900,0
88,1349,1850,0
89,1434.5,2000,0
90,1430,2100,0
91,1425.5,2000,0
92,897,1800,0
93,1378.5,1950,0
94,1336.5,1850,0
95,1443,1800,0
96,1415,1800,0
97,1296.5,1850,0
98,1515.5,1950,0
99,1463.5,2100,0
100,1409,1850,0
101,1458.5,1800,0
102,1211,1750,0
103,1338,1800,0
104,1335,1800,0
105,1238.5,1800,0
106,1500.5,2000,0
107,1287,1700,0
108,1492,1850,0
109,1343.5,1950,0
110,1361.5,1950,0
111,1251,1900,0
112,1237,1850,0
113,1296,1700,0
114,1238,1800,0
115,1207.5,1800,0
116,1328,1850,0
117,1053.5,1650,0
118,1155.5,1800,0
119,1128.5,2000,0
120,1260.5,1950,0
121,1332.5,1850,0
122,1223.5,1750,0
123,1094.5,1750,0
124,1208,1900,0
125,1317,1850,0
126,1142,1700,0
127,1197,1750,0
128,1168.5,2000,0
129,1350,1850,0
