generation,averageFitness,topFitness
0,54,500
1,76,1200
2,147,1350
3,230,1050
4,439,1450
5,658.5,1350
6,515,1100
7,511,1100
8,481.5,1300
9,597,1200
10,380.5,1150
11,736.5,1450
12,680.5,1450
13,362,1200
14,813,1550
15,844,1750
16,778.5,1500
17,659.5,1300
18,704.5,1250
19,822,1550
20,668.5,1650
21,449.5,1500
22,740.5,1500
23,1048.5,1650
24,694.5,1600
25,717,1550
26,740.5,1850
27,774.5,1700
28,703,1650
29,718.5,1550
30,626.5,1400
31,775,1500
32,746.5,1400
33,788,1950
34,779,2150
35,950,1650
36,1135.5,1900
37,776,1500
38,971.5,1900
39,717,1700
40,742.5,1700
41,826,1800
42,1404,2450
43,1330,2150
44,1219,2100
45,1125.5,2050
46,1385.5,2200
47,1349.5,2150
48,1339.5,1850
49,1251,2050
50,1348.5,2000
51,1247,2300
52,1270.5,2000
53,1468,2100
54,1492,2200
55,1532,2350
56,1530.5,2150
57,1618,2350
58,1476,2200
59,1270.5,2250
60,1473.5,2100
61,1481,2150
62,1398.5,2000
63,1438,2250
64,1342.5,2050
65,1264.5,2050
66,1487,2250
67,1186.5,2200
68,1523,2300
69,1028.5,2050
70,1447,2300
71,1304.5,2350
72,1595.5,2250
73,1023,2150
74,1638,2400
75,1376.5,2400
76,1689,2350
77,1665,2350
78,1637,2400
79,1746,2600
80,1721.5,2500
81,1650.5,2200
82,1578,2600
83,1766,2350
84,1704,2300
85,1491,2350
86,1848,2450
87,1834.5,2550
