Generation,Baseline-Average,Baseline-Best,Social-Darwin-Average,Social-Darwin-Best,Social-Lamark-Average,Social-Lamark-Best,Species-Darwin-Average,Species-Darwin-Best,Species-Lamark-Average,Species-Lamark-Best
0,85.48333333,1163.333333,462.6666667,1931.666667,368.2166667,1735,436.4833333,1746.666667,357.35,1673.333333
1,240.65,1348.333333,760.7833333,2006.666667,1330.183333,2650,483.5666667,1701.666667,1112.1,2446.666667
2,439.8166667,1586.666667,747.7666667,1843.333333,1589.216667,2675,433.9166667,1760,1447.983333,2515
3,430.9166667,1558.333333,860.85,1936.666667,1619.166667,2635,520.3833333,1685,1647.45,2623.333333
4,448.3666667,1510,812.8833333,1948.333333,1661.1,2676.666667,510.9,1645,1496.133333,2551.666667
5,575.0666667,1630,677.2666667,1641.666667,1585.866667,2640,501.5666667,1496.666667,1608.866667,2720
6,505.75,1401.666667,684.7,1683.333333,1670.966667,2658.333333,585.6666667,1570,1711.7,2748.333333
7,597.2,1613.333333,702.3166667,1641.666667,1654.55,2706.666667,572.0166667,1550,1723.483333,2758.333333
8,651.1,1698.333333,681.55,1695,1662.883333,2670,443.15,1451.666667,1719.45,2786.666667
9,618.2666667,1730,726.0666667,1593.333333,1690.483333,2706.666667,604.9833333,1615,1774.183333,2785
10,759.8833333,1926.666667,706.1,1576.666667,1525.65,2570,610.9,1591.666667,1840.7,2836.666667
11,778.65,1835,709.9333333,1748.333333,1551.733333,2546.666667,664.7666667,1635,1731.25,2790
12,756.6666667,1863.333333,569.4333333,1523.333333,1410.4,2523.333333,558.05,1460,1798.9,2793.333333
13,705.2333333,1758.333333,736.8,1830,1474.883333,2573.333333,645.6,1636.666667,1585.666667,2716.666667
14,883.75,1941.666667,721.1166667,1658.333333,1650.333333,2586.666667,632.3333333,1576.666667,1706.85,2771.666667
15,799.2833333,1925,747.8833333,1785,1526.85,2616.666667,641.6,1573.333333,1715.066667,2768.333333
16,892.9833333,1923.333333,753.0666667,1781.666667,1427.333333,2548.333333,693.7333333,1816.666667,1863.2,2816.666667
17,908.95,1996.666667,714.4833333,1711.666667,1587.7,2625,681.35,1680,1880.516667,2846.666667
18,966.9666667,1953.333333,699.05,1773.333333,1540.85,2596.666667,709.0333333,1543.333333,1837.716667,2808.333333
19,948.6,2086.666667,924.1833333,1921.666667,1568.65,2541.666667,718.1,1751.666667,1755.4,2760
20,908.8833333,2031.666667,974.75,1911.666667,1499.283333,2593.333333,614.7666667,1543.333333,1787.583333,2773.333333
