Generation,Before (Pop),Orientation Stdev,Before (Pop),Velocity Stdev,Count,After (Pop),Orientation Stdev,After (Pop),Velocity Stdev,Before (Species),Orientation Stdev,Velocity Avg,Velocity Stdev,After (Species),Orientation Stdev,Velocity Avg,Velocity Stdev
0,0.08210986,0.01748275,0.023052003,0.020092976,100,0.049229072,0.010883554,0.003928927,0.002377431,0.082271111,0.01719188,0.019978974,0.015269899,0.052039378,0.010528551,0.004646825,0.002782057
1,0.049080107,0.011033864,0.004141965,0.002588173,100,0.04660387,0.012219356,0.003023649,0.002336495,0.051942355,0.011616244,0.004766106,0.002567836,0.047672637,0.012753891,0.0036339,0.002944027
2,0.04574988,0.012529725,0.003282609,0.002711172,100,0.044503406,0.013397432,0.002843492,0.002455988,0.046720612,0.012138271,0.003697872,0.002654523,0.045822974,0.012959592,0.002997819,0.00249135
3,0.044377239,0.014027494,0.002891199,0.002415398,100,0.044525247,0.013042067,0.002603212,0.002418574,0.044821236,0.012711683,0.003147437,0.002722546,0.045049796,0.013816449,0.002655246,0.002469148
4,0.04373504,0.012190512,0.002754369,0.002262804,100,0.042208738,0.013314715,0.002432057,0.002237854,0.043835339,0.013469589,0.002851602,0.002644427,0.043894627,0.013215692,0.002262713,0.002227671
5,0.041561836,0.013258084,0.002496264,0.002116234,100,0.041998026,0.013363997,0.002183109,0.001924006,0.042886163,0.013046184,0.002483335,0.001914672,0.043638629,0.012679333,0.002222325,0.002452025
6,0.040756381,0.013833812,0.002342066,0.001955825,100,0.041534957,0.01387331,0.00205729,0.001838575,0.04320191,0.013018293,0.002418727,0.002069883,0.042409778,0.013645081,0.002094404,0.001958267
7,0.040924875,0.013945393,0.002343072,0.00198924,100,0.04217121,0.015037814,0.001953,0.001739497,0.041673391,0.014334468,0.002099978,0.001819924,0.042787784,0.014394594,0.001897149,0.001853806
8,0.041288037,0.014353354,0.002236577,0.001901629,100,0.042190146,0.01629677,0.002044829,0.00213616,0.041011903,0.014569148,0.00199001,0.001667415,0.040796347,0.015200901,0.001752784,0.001785013
9,0.041601326,0.016655204,0.002139517,0.00208515,100,0.040073128,0.015210834,0.001985259,0.002127283,0.039986708,0.014378355,0.001916559,0.00163804,0.040320916,0.015328313,0.001665793,0.001885392
10,0.040133235,0.015594931,0.00236447,0.002255957,100,0.039789129,0.014652752,0.001943245,0.002079564,0.039573572,0.015255604,0.001875543,0.001989658,0.040559727,0.015910281,0.001853088,0.001692532
11,0.039442337,0.015127917,0.002059099,0.00209155,100,0.038782077,0.014694731,0.001745007,0.001596139,0.039378801,0.015363877,0.001941921,0.00172183,0.039576993,0.01585399,0.001694252,0.001568481
12,0.038170646,0.014978099,0.00179977,0.001483288,100,0.037216752,0.015320618,0.00164855,0.001672036,0.038534775,0.015707391,0.001845571,0.001718994,0.038655755,0.015266608,0.001750767,0.00179965
13,0.035773877,0.014667976,0.00178239,0.001697118,100,0.038889763,0.017196559,0.001958025,0.002300422,0.03726724,0.01428104,0.001826755,0.001875776,0.040209345,0.016220646,0.001872805,0.00209094
14,0.037689752,0.016424997,0.002028752,0.002349381,100,0.03675779,0.016983046,0.001700771,0.001718699,0.038724726,0.015112935,0.001756279,0.00191993,0.039149661,0.015556899,0.001518086,0.001629858
15,0.036001344,0.017293765,0.001741782,0.001547117,100,0.036681422,0.016922156,0.001750321,0.001988842,0.037532191,0.015065113,0.001687922,0.001703184,0.038008626,0.014474616,0.001329508,0.001391512
16,0.035849476,0.016662776,0.001876516,0.001735345,100,0.035990632,0.015757274,0.001722674,0.001834461,0.037787522,0.01466119,0.001586391,0.001660638,0.036744739,0.014684888,0.001442851,0.001344442
17,0.034670157,0.015929379,0.001914215,0.002049041,100,0.034453804,0.016749981,0.00194974,0.00251611,0.035930326,0.014739809,0.001614855,0.001690487,0.037676667,0.015308735,0.001524436,0.001719021
18,0.03298683,0.01640483,0.001970115,0.002200668,100,0.034622918,0.016543256,0.001591166,0.001597379,0.036160443,0.015084141,0.001566566,0.001575678,0.035930715,0.015057433,0.001433905,0.001420855
19,0.033433674,0.016190815,0.00170095,0.001812692,100,0.033398825,0.016462544,0.001592956,0.00225144,0.034798698,0.014659258,0.00164544,0.001531271,0.035624502,0.014910877,0.001424057,0.001957927
20,0.03214496,0.016084526,0.001830971,0.00244648,100,0.031110357,0.01626312,0.001522956,0.001917444,0.034675186,0.015070688,0.001507116,0.001599031,0.034490207,0.015287517,0.001500258,0.001600139
21,0.031064663,0.016624766,0.00160256,0.001718717,100,0.032060051,0.017590468,0.001435058,0.001993702,0.033838086,0.014893022,0.001505121,0.001581336,0.034838873,0.015479032,0.001330265,0.001360852
22,0.031453934,0.017213525,0.001557092,0.001988557,100,0.032325106,0.016825039,0.001599044,0.002166477,0.033587269,0.01465466,0.001432287,0.001416319,0.035304126,0.01611307,0.001322035,0.001372196
23,0.031585931,0.016790974,0.00173909,0.002499099,100,0.030989997,0.016274332,0.001819704,0.003466899,0.033768541,0.014945114,0.001398237,0.001341741,0.034741537,0.015077473,0.001293766,0.001328006
24,0.030603196,0.015277926,0.002021305,0.003379873,100,0.032465915,0.017151418,0.001351571,0.001407994,0.034428296,0.01560884,0.001436134,0.001428399,0.034937461,0.017518297,0.001553832,0.002484252
25,0.031209094,0.016105054,0.001539558,0.001493848,100,0.03016856,0.016245322,0.001437792,0.001792412,0.033731493,0.017004708,0.00146445,0.001908948,0.033014744,0.0160303,0.001417791,0.002310163
26,0.028824668,0.015818904,0.001437734,0.00168578,100,0.029109297,0.016293008,0.001436654,0.001948355,0.031724406,0.015381441,0.001437286,0.00190877,0.033712016,0.017084818,0.001411161,0.001716113
27,0.029258537,0.016549496,0.001528576,0.001936207,100,0.029174762,0.016721676,0.00123707,0.001242963,0.032275076,0.016595454,0.001626476,0.001763227,0.032006411,0.016019297,0.001449956,0.001748014
28,0.028448261,0.016260626,0.001358164,0.001356512,100,0.027768734,0.014753522,0.001352932,0.001626885,0.030845427,0.015620618,0.001560273,0.001550677,0.03249318,0.016986811,0.001293833,0.001272752
29,0.027182715,0.014873421,0.001372349,0.001666725,100,0.028910018,0.016418015,0.001391625,0.001731504,0.03179204,0.016976941,0.001429835,0.001457522,0.032281464,0.016662962,0.001317718,0.001384638
