generation,averageFitness,topFitness
0,175,1800
1,206.5,1150
2,634.5,1950
3,427,1900
4,142.5,1100
5,483,2000
6,277.5,900
7,220.5,850
8,127,1100
9,259.5,1350
10,408,1600
11,497,2050
12,27,750
13,538,1800
14,473.5,1700
15,794.5,2000
16,149,1900
17,160.5,1600
18,914,2050
19,770.5,1700
20,483.5,1500
21,588.5,1650
22,348,1700
23,611,2050
24,690,1700
25,1148.5,2000
26,866,2000
27,500,2000
28,819,1700
29,401.5,1350
30,713.5,1900
31,628,1850
32,572.5,1650
33,558.5,1450
34,673,2000
35,763.5,1850
36,1059,2200
37,628,2000
38,525,1850
39,678.5,1850
40,476.5,2000
41,900,1750
42,1164,2250
43,1003,2050
44,1578.5,2400
45,749,1900
46,947.5,2000
47,946.5,2000
48,927,1650
49,299.5,1750
50,856,2150
51,1203.5,2250
52,920,2250
53,824.5,2650
54,1311,2300
55,741.5,1950
56,789.5,2000
57,967,2250
58,1537.5,2800
59,1204,2550
