Generation,Average,Best,Updates
0,25.5,550,1000
1,206.5,1350,8000
2,353,1500,7000
3,488,1300,7000
4,675.5,1550,7000
5,509.5,1300,7000
6,213.5,1300,8000
7,702,1650,5000
8,698.5,1350,6000
9,903.5,1750,6000
10,580,1450,6000
11,529,1650,7000
12,750,1500,6000
13,903,1700,6000
14,780,1500,6000
15,1097,1900,9000
16,952,1750,7000
17,1085.5,1900,8000
18,1113,1900,7000
19,1149.5,2100,8000
20,1127,2000,6000
21,1183.5,2000,8000
22,901,1900,6000
23,1099.5,2150,8000
24,680.5,1850,4000
25,852.5,1850,7000
26,1153,2200,7000
27,1144.5,1850,6000
28,1110.5,2050,5000
29,1179,2150,6000
30,1041,2100,5000
31,1417.5,2150,6000
32,1313,2050,5000
33,1254,2050,8000
34,1292,2150,7000
35,1516,2050,7000
36,1404,2300,7000
37,1639.5,2300,7000
38,1525,2250,8000
39,1648,2450,8000
40,1413,2100,8000
41,1373.5,2000,8000
42,1440,2200,9000
43,1389,2150,10000
44,1584.5,2350,10000
45,1686,2350,10000
46,1605,2400,10000
47,1551.5,2150,10000
48,1581.5,2150,9000
49,1640.5,2300,7000
50,1662,2350,7000
51,1411,2150,5000
52,1797,2700,6000
53,1716.5,2400,7000
54,1593.5,2300,9000
55,1545,2400,8000
56,1564.5,2250,10000
57,1322.5,2200,10000
58,1587,2350,10000
59,1386.5,2100,10000
60,1681,2600,10000
61,1570.5,2500,10000
62,1636,2350,10000
63,1602,2350,10000
64,1588.5,2450,10000
65,1487,2300,10000
66,1443.5,2150,10000
67,1808.5,2650,10000
68,1404,2100,10000
69,1716.5,2550,10000
70,1647,2550,10000
71,1587,2450,10000
72,1269,2250,10000
73,1540.5,2350,10000
74,1516,2350,9000
75,1589,2200,7000
76,1688,2450,7000
77,1668.5,2250,7000
78,1546,2250,7000
79,1596.5,2400,7000
80,1749,2300,8000
81,1738,2550,6000
82,1513,2000,6000
83,1749.5,2450,6000
84,1715.5,2350,8000
85,1839,2300,8000
86,1730,2450,9000
87,1866,2500,9000
88,1803.5,2450,7000
89,1745,2350,7000
90,1919.5,2550,7000
91,1805,2400,6000
92,1847.5,2400,6000
93,1962.5,2500,4000
94,1884,2400,4000
95,1956,2600,5000
96,2005,2550,5000
97,1920.5,2450,8000
98,2055,2650,8000
99,2058.5,2500,9000
100,1925,2500,6000
101,1832.5,2400,8000
102,1943,2550,7000
103,1978.5,2500,5000
104,2140,2700,7000
105,2033,2750,5000
106,1930,2450,9000
107,1932,2500,8000
108,1913,2550,8000
109,2079.5,2700,10000
110,2079.5,2750,10000
111,1741.5,2500,10000
112,2007,2550,10000
113,1949.5,2450,10000
114,2065,2650,10000
115,1933.5,2450,10000
116,1933.5,2550,10000
117,1985.5,2650,10000
118,1952,2500,10000
119,1996,2600,10000
120,2041.5,2700,10000
121,1846.5,2550,10000
122,1992.5,2750,10000
123,2051,2700,10000
124,2068,2600,10000
125,1995,2500,10000
126,2069.5,2600,10000
127,1912.5,2600,10000
128,1916.5,2550,10000
129,2024,2500,10000
130,2035,2700,10000
131,2090.5,2750,10000
132,2053,2550,10000
133,1886.5,2400,10000
134,2057.5,2650,10000
135,2026,2550,10000
136,1945,2650,10000
137,1940,2550,10000
138,2037.5,2650,10000
139,2053,2650,10000
140,2016,2500,10000
141,2126,2700,10000
142,1926.5,2450,10000
143,2034,2600,10000
144,2142,2600,10000
145,2052,2600,10000
146,1892,2500,10000
147,1895.5,2600,10000
148,1976,2600,10000
149,1991,2500,10000
150,2044.5,2550,10000
151,1978.5,2550,10000
152,1989,2500,10000
153,2133.5,2650,10000
154,1995,2550,10000
155,1725.5,2450,10000
156,1969.5,2550,10000
157,1911,2450,10000
158,2026,2550,10000
159,2028.5,2750,10000
160,2020,2500,10000
161,1954,2450,10000
162,1983,2450,10000
163,2150.5,2700,10000
164,1987.5,2450,10000
165,1974.5,2500,10000
166,2130,2600,10000
167,2009.5,2400,10000
168,2165,2650,10000
169,2073.5,2650,10000
170,2118.5,2700,10000
171,2119.5,2750,10000
172,2142,2600,10000
173,1934,2500,10000
174,2031,2550,10000
175,2139.5,2600,10000
176,1840,2500,10000
177,1907,2400,10000
178,2016,2500,10000
179,2107,2550,10000
180,2234,2750,10000
181,1970.5,2500,10000
182,2154,2700,10000
183,1935,2550,10000
184,2119.5,2600,10000
185,2116.5,2600,10000
186,2212,2650,10000
187,2074.5,2650,10000
188,2079.5,2700,10000
189,2083.5,2650,10000
190,2003,2500,10000
191,2095.5,2550,10000
192,2111.5,2550,10000
193,2037,2500,10000
194,2057.5,2600,10000
195,1981,2550,10000
196,2026.5,2550,10000
197,2004,2550,10000
198,2055.5,2650,10000
199,2280,2750,10000
200,1991,2550,10000
201,2020,2600,10000
202,2078,2750,10000
203,2083.5,2600,10000
204,2106,2550,10000
205,2096.5,2500,10000
206,2087.5,2550,10000
207,1917,2350,10000
208,1918.5,2400,10000
209,2053,2700,10000
210,1963,2550,10000
211,2080.5,2550,10000
212,2040.5,2600,10000
213,2096.5,2650,10000
214,2002.5,2550,10000
215,2183.5,2750,10000
216,1945,2500,10000
217,2089,2550,10000
218,2107.5,2700,10000
219,2059,2600,10000
220,2036,2500,10000
221,2068.5,2650,10000
222,2053,2600,10000
223,2163,2650,10000
224,1964.5,2550,10000
225,2140.5,2650,10000
226,1919,2400,10000
227,2139.5,2650,10000
228,1946.5,2650,10000
229,2102.5,2650,10000
230,2153,2700,10000
231,2097.5,2650,10000
232,2128,2650,10000
233,2184,2850,10000
234,2136,2600,10000
235,1913.5,2500,10000
236,2130,2700,10000
237,2031,2700,10000
238,2037.5,2600,10000
239,2083,2650,10000
240,2115,2600,10000
241,2034,2700,10000
242,2043.5,2800,10000
