generation,averageFitness,topFitness
0,309,1200
1,558,2000
2,965,1900
3,1045,2200
4,1157,2100
5,1160.5,2100
6,1421,2500
7,847.5,2000
8,1054.5,2400
9,1070.5,2100
10,1245.5,2350
11,1557,2650
12,995,2200
13,1434,2400
14,1577.5,2450
15,1539.5,2300
16,1668.5,2400
17,1386,2200
18,1602,2350
19,1398.5,2300
20,1595,2500
21,1453.5,2550
22,1574,2400
23,1526.5,2300
24,1357,2300
25,1400.5,2350
26,385,1850
27,1639.5,2400
28,1097,2250
29,923.5,1850
30,1514,2350
31,1363.5,2350
32,1119.5,2250
33,1178,2150
34,1224.5,2050
35,1349,2300
36,1100.5,1850
37,1235.5,2300
38,1691.5,2500
39,1315.5,2050
40,1403.5,2100
41,1454,2500
42,1634,2350
43,994,2000
44,1691.5,2400
45,1717.5,2600
46,1635,2450
47,1768,2400
48,1673,2400
49,1754.5,2300
50,993,2100
51,1338,2300
52,1362,2000
53,1448,2150
54,1523,2250
55,1251.5,2000
56,1570.5,2350
57,1650,2200
58,1162.5,2100
59,1207,2000
60,1831,2500
61,1257.5,2150
62,1698,2400
63,1397.5,2100
64,1322.5,2250
65,944.5,1900
66,1440.5,2250
67,856.5,2100
68,1218,2000
69,1504.5,2150
70,1473,2150
71,1293.5,2000
72,1820,2500
73,1356,2050
74,1508,2300
75,1418,2300
76,961.5,2150
77,1040.5,1900
78,1688.5,2350
79,1583,2400
80,1038,2250
81,1624.5,2500
82,1700,2400
83,1574,2250
84,1144,2100
85,1621.5,2600
86,1361.5,2000
87,1593,2250
88,1508.5,2250
89,1585,2400
90,1395,2150
91,1587,2300
92,1667,2350
93,1460.5,2200
94,1755.5,2350
95,1755,2450
96,1437.5,2200
97,1655,2500
98,1552,2450
99,1692,2350
100,1498.5,2250
101,1809,2400
102,1487,2100
103,1544.5,2450
104,1380.5,2150
105,1316,1950
106,1755,2450
107,1648.5,2400
108,1427.5,2250
109,1502,2150
110,1028.5,2100
111,1429.5,2150
112,1745,2400
113,916,2050
114,1808,2500
115,1557.5,2150
116,1352,2200
117,1831.5,2550
118,1485.5,2500
119,1585,2300
120,1340.5,2050
121,1730,2450
122,1180,2000
123,854,2100
124,1682,2400
125,1801.5,2550
126,1611.5,2400
127,1602.5,2300
128,1743,2400
129,1683,2400
130,1562,2200
131,1429.5,2300
132,1522.5,2200
133,1654,2350
134,1489,2250
135,1259,2000
136,1527.5,2400
137,1627.5,2400
138,1465.5,2200
139,1594,2400
140,1552,2250
141,807,1950
142,1664.5,2350
143,857.5,1900
144,1395.5,2100
145,1242,2100
146,1690,2350
147,1675,2400
148,1509,2350
149,1837,2450
150,1489,2300
151,1555,2300
152,1639,2200
153,1726.5,2400
154,425.5,1950
155,1728,2550
156,1545.5,2350
157,1468.5,2550
158,1256.5,2200
159,1664,2350
160,920,1800
161,1675.5,2450
162,1320.5,2150
163,1651.5,2400
164,1737.5,2350
165,1783.5,2600
166,1809.5,2700
167,1884.5,2550
168,1312.5,2100
169,1607.5,2250
170,1343,2250
171,1525.5,2450
172,1722.5,2450
173,1303,2500
174,1725,2400
175,1627.5,2300
176,1658,2400
177,1429.5,2150
178,1393,2050
179,1739,2450
180,1618,2400
181,1511,2250
182,1731.5,2350
183,1432.5,2150
184,1742,2450
185,1613,2650
186,1501.5,2250
187,1479,2200
188,1501,2200
189,1656.5,2450
190,1371.5,2050
191,1772,2400
192,1515.5,2300
193,1556,2400
194,1435.5,2250
195,1744,2550
196,1759.5,2450
197,1610.5,2300
198,1639,2400
199,1560,2200
200,1515,2300
201,1538.5,2300
202,1614.5,2350
203,1805,2550
204,1522,2100
205,1473.5,2300
206,1765.5,2500
207,1829,2500
208,1763,2350
209,1719.5,2400
210,1726,2350
211,1736.5,2350
212,1283,2100
213,1796.5,2500
214,1694.5,2250
215,1778,2500
216,1849,2450
217,1881.5,2400
218,1722,2550
219,1874.5,2550
220,1499,2350
221,1565,2200
222,1553,2200
223,1643.5,2350
224,1687.5,2250
225,1760.5,2550
226,1009.5,1850
227,1337.5,2000
228,1677,2450
229,2041,2600
230,1593.5,2250
231,1656.5,2450
232,1541.5,2250
233,1589,2350
234,1696,2350
235,1774,2500
236,1432,2300
237,1821.5,2450
238,1592.5,2450
239,1648,2450
240,1718.5,2400
241,1640,2500
242,1798,2500
243,1681.5,2400
244,1535.5,2550
245,1883.5,2500
246,1689.5,2700
247,1730.5,2250
248,1775.5,2450
249,1757.5,2400
250,1517,2150
251,1745.5,2550
252,1866.5,2550
253,1726.5,2500
254,1686.5,2350
255,1382.5,2150
256,1552.5,2250
257,1951.5,2700
258,1520.5,2400
259,1585,2300
260,1807.5,2500
261,1669,2300
262,1527,2200
263,1769,2550
264,1775,2450
265,1857.5,2500
266,1777.5,2400
267,1926,2700
268,1691.5,2450
269,1893,2450
270,1626.5,2300
271,1783.5,2500
272,1768,2650
273,1666,2250
274,1681,2350
275,1866.5,2400
276,1595,2300
277,1666.5,2400
