generation,averageFitness,topFitness
0,693.5,2450
1,2077.5,2700
2,2360,2900
3,2238,2850
4,2229.5,2750
5,2218.5,2800
6,2000.5,2600
7,2299,2850
8,2139,2900
9,2438,2850
10,2399,2900
11,2481,2900
12,2479.5,2850
13,2509,2900
14,2550.5,2900
15,2484.5,2900
16,2214,2750
17,2467,2950
18,2356,2750
19,2381.5,2850
20,2481,2900
21,2337.5,2800
22,2150,2900
23,2191,2750
24,2226,2850
25,2080,2700
26,2266.5,2750
27,2109,2850
28,2091,2900
29,2101,2750
30,2061,2650
31,1867.5,2750
32,2006,2650
33,1674,2600
34,1523.5,2700
35,1672,2650
36,1932.5,2700
37,1765.5,2500
38,1344.5,2550
39,2140,2800
40,1951,2700
41,2313.5,2900
42,2028.5,2700
43,1745.5,2700
44,1455,2400
45,1352.5,2700
46,1968.5,2700
47,1856,2800
48,1782.5,2550
49,1743,2800
50,1846,2650
51,1834.5,2450
52,1899.5,2600
53,1562,2450
54,1823.5,2950
55,1612.5,2800
56,1668,2550
57,1816,2800
58,1799.5,2550
59,1986.5,2750
60,1765,2600
61,1918.5,2550
62,2140,2700
63,2072,2750
64,2241,2800
65,2487,2850
66,2561.5,2900
67,2321,2800
68,2621.5,3000
69,2438.5,2900
70,2127,2650
71,2561.5,2900
72,1647.5,2800
73,2509,2950
74,2196,2700
75,2332,2800
76,2368.5,2850
77,2498.5,2850
78,2498,2850
79,2525.5,2850
80,2383.5,2850
81,2405,2800
82,2567,2900
83,2304.5,2850
84,2489,2900
85,2418.5,2850
86,2485,2900
87,2420.5,2850
88,2368.5,2700
89,2338,2850
90,2518.5,2900
91,2610,2950
92,2483,2900
93,2302.5,2800
94,2006,2850
95,2220,2800
96,2382.5,2800
97,2597.5,2950
98,2522,2950
99,2483,2900
100,2473.5,2900
101,2384,2800
102,2496.5,2950
103,2439.5,2900
104,2035.5,2900
105,2270.5,2850
106,2008.5,2700
107,2176,2650
108,2099.5,2700
109,2037.5,2600
110,1806.5,2650
111,1877.5,2650
112,1891.5,2600
113,2129,2750
114,2104,2700
115,2105.5,2800
116,2362,2750
117,2379.5,2700
118,2253.5,2700
119,2415,2950
120,2394.5,2850
121,2448.5,2850
122,2353,2750
123,2568.5,3000
124,1840.5,2850
125,2067.5,2750
126,2063.5,2650
127,2407.5,2950
128,2432.5,2850
129,2421.5,2800
130,2546.5,2900
131,2283.5,2850
132,2370,2900
133,2593,2950
134,2612.5,3000
135,2182.5,2750
136,2675,2950
137,2473.5,2850
138,2496,2900
139,2373,2850
140,2667,3000
141,2574,2950
142,2701.5,2950
143,2512,2950
144,2460.5,2850
145,2587,2950
146,2450.5,2900
147,2218,2750
148,2594,3000
149,2589,2850
150,2152.5,2800
151,2227,2850
152,2142.5,2800
153,2121.5,2600
154,2168,2750
155,2355,2850
156,2477.5,2800
157,2588,2950
158,2413.5,2900
159,2499.5,2850
160,2594,2850
161,2467,2950
162,2626.5,3000
163,2574.5,2900
164,2534,2900
165,2523.5,2950
166,2459.5,2750
167,2387.5,2950
168,2522,2850
169,2573.5,2900
170,2660,2950
171,2483.5,2850
172,2625,2950
173,2540,2900
174,2607,3000
175,2520.5,2950
176,2494,2850
177,2580,3000
178,2286,2750
179,2113.5,2750
180,2258.5,2800
181,2102.5,2750
182,1988.5,2700
183,1931,2600
184,2492.5,2900
185,2507.5,2900
186,2584,2950
187,2679,3000
188,2608.5,2900
189,2537.5,2950
190,2524.5,2900
191,2420.5,2800
192,2499.5,2900
193,2322,2900
194,2417.5,2900
195,2347.5,2800
196,2520.5,2900
197,2400.5,2800
198,2607.5,2950
199,2554.5,2950
200,2395.5,2850
201,2333,2900
202,2283,2850
203,2416,2800
204,2628.5,2950
205,2569.5,2950
206,2268.5,2900
207,2196,2700
208,2439.5,2850
209,2516,2950
210,2347.5,2850
