Generation,Average,Best,Updates
0,101,1600,908
1,1060,3500,9540
2,1476,3000,13283
3,1616,3200,14543
4,2049,3800,18439
5,2192,3500,19728
6,2223,3900,20004
7,2545,3800,22905
8,1824,3500,16414
9,2448,3900,22028
10,2494,3900,22445
11,2530,3400,22769
12,2594,3700,23341
13,2278,3500,20494
14,2480,3700,22318
15,2404,3500,21635
16,2743,3600,24686
17,2443,3600,21985
18,2513,3700,22610
19,2905,4400,26144
20,2618,4100,23554
21,2617,4000,23550
22,2425,3700,21824
23,2703,4000,24325
24,2471,3800,22237
25,2637,4100,23730
26,2580,3900,23218
27,2655,4000,23895
28,2540,3800,22852
29,2654,3800,23883
30,2791,4100,25117
31,2721,3800,24488
32,2660,3600,23936
33,2658,3900,23922
34,2895,4500,26051
35,2890,4000,26006
36,2772,3600,24947
37,2682,3900,24132
38,2828,4100,25450
39,2667,3500,23997
40,2723,4300,24505
41,2848,4100,25627
42,2898,4000,26079
43,2604,3600,23428
44,2937,4300,26428
45,2882,3900,25935
46,2730,4200,24567
47,2755,3800,24791
48,2545,3600,22903
49,2833,3800,25494
50,2755,4500,24790
51,2625,3800,23618
52,2932,3700,26386
53,2626,3700,23631
54,2588,3800,23287
55,2806,4000,25248
56,2831,3600,25474
57,2724,3700,24512
58,2796,3800,25163
59,2539,3400,22848
60,2989,4100,26895
61,2767,3900,24900
62,2559,3700,23029
63,2855,4000,25693
64,2944,3900,26490
65,2699,3700,24287
66,2863,3700,25763
67,2806,3900,25252
68,2721,3600,24489
69,2875,3800,25873
70,2784,4000,25050
71,2780,3800,25019
72,2691,4000,24214
73,2738,3900,24639
74,2820,4000,25379
75,2675,4000,24074
76,2711,4100,24397
77,2870,3800,25827
78,2721,3800,24484
79,2615,3500,23533
80,2783,3600,25042
81,2727,3700,24542
82,2918,4100,26255
83,2765,3900,24880
84,2573,3800,23156
85,2807,4000,25263
86,2734,4300,24605
87,2751,3900,24751
88,2677,3900,24093
89,2686,3800,24172
90,2953,4100,26573
91,2524,3700,22713
92,2885,3900,25962
93,2694,3700,24243
94,2650,4100,23845
95,2868,4400,25806
96,2751,3600,24755
97,2708,3900,24368
98,2844,4000,25592
99,2934,3900,26404
100,2667,3800,24002
101,2890,4100,26009
102,2624,4000,23614
103,2693,3800,24235
104,2840,3900,25552
105,2460,4000,22137
106,2366,3700,21291
107,2823,4100,25406
108,2800,3700,25195
109,2644,3800,23791
110,2800,3800,25200
111,2876,4100,25880
112,2862,3900,25754
113,2870,3900,25819
114,2854,4100,25682
115,2853,3600,25674
116,2866,3900,25792
117,2630,3700,23662
118,2722,3600,24496
119,2700,3700,24299
120,2731,3900,24577
121,2874,3900,25864
122,2803,4300,25217
123,2733,3700,24595
124,2512,3900,22600
125,2579,3500,23210
126,2637,3800,23731
127,2553,4000,22974
128,2781,3900,25029
129,2715,3800,24434
130,2884,4300,25955
131,2543,4100,22887
132,2709,3700,24380
133,2668,3700,24007
134,2716,3600,24441
135,2637,3500,23731
136,2804,3900,25235
137,2631,3500,23678
138,2717,4000,24448
139,2768,3900,24911
140,2676,3700,24082
141,2694,4100,24242
142,2890,3900,26009
143,2989,4100,26900
144,2769,3900,24919
145,2614,3800,23523
146,2802,4000,25217
147,2816,4100,25342
148,2732,3600,24584
149,2838,4300,25540
150,2578,3500,23201
151,2698,3800,24282
152,2485,3700,22363
153,2676,3800,24084
154,2603,3700,23425
155,2827,3900,25440
156,2628,3800,23646
157,2784,4100,25053
158,2614,4000,23525
159,2219,3700,19971
160,2753,3800,24766
161,2748,4000,24730
162,2552,3800,22966
163,2676,3900,24083
164,2731,3700,24573
165,2773,3700,24950
166,2882,4400,25937
167,2745,4000,24702
168,2908,4000,26169
169,2659,3700,23930
170,2746,4000,24714
171,2822,3900,25386
172,2843,3900,25586
173,2916,4100,26243
174,2739,3900,24649
175,2778,4100,24997
176,2711,3500,24396
177,2870,3900,25829
178,2935,3900,26414
179,2841,4100,25565
180,2649,3500,23839
181,2843,3900,25579
182,2921,4300,26287
183,2703,3500,24323
184,2549,3900,22939
185,2985,4100,26864
186,2743,4000,24686
187,2476,4000,22282
188,2706,3800,24353
189,2720,3900,24478
190,2764,4300,24864
191,2534,3900,22801
192,2812,3800,25304
193,2701,3800,24305
194,2395,3800,21553
195,2710,3700,24380
196,2563,3800,23064
197,2858,4100,25721
198,2561,3600,23048
199,2881,4000,25927
200,2854,3900,25686
