Generation,Average,Best,Updates
0,116,1600,0
1,393,1600,0
2,855,1800,0
3,906,2100,0
4,804,2600,0
5,646,2100,0
6,987,1800,0
7,1088,2000,0
8,1191,2200,0
9,1088,2500,0
10,814,1800,0
11,984,2200,0
12,824,2000,0
13,734,2300,0
14,1281,2100,0
15,650,2500,0
16,869,2200,0
17,1519,3500,0
18,1948,3200,0
19,1817,3300,0
20,1120,2700,0
21,1539,2800,0
22,1794,4200,0
23,1826,3900,0
24,1781,3400,0
25,1892,3800,0
26,2116,3900,0
27,1993,3600,0
28,2138,3600,0
29,2007,3800,0
30,2137,3500,0
31,1966,3800,0
32,1819,3700,0
33,2113,3700,0
34,2066,3900,0
35,2033,3700,0
36,2160,3600,0
37,2049,3600,0
38,2052,3700,0
39,1725,3100,0
40,1528,3500,0
41,1588,3400,0
42,1324,3300,0
43,1494,3400,0
44,1856,3800,0
45,1979,4100,0
46,1880,3600,0
47,2114,3300,0
48,1590,3600,0
49,2426,3800,0
50,1881,3400,0
51,2025,3600,0
52,2272,3500,0
53,2420,3700,0
54,1696,4000,0
55,2302,4200,0
56,2329,3700,0
57,2400,4200,0
58,1951,3900,0
59,1614,3300,0
60,1791,3500,0
61,1942,3800,0
62,2102,4000,0
63,1884,3500,0
64,2158,3800,0
65,2154,3400,0
66,2214,3400,0
67,1870,3900,0
68,2012,3900,0
69,2241,3700,0
70,1973,4000,0
71,2048,3500,0
72,2227,3600,0
73,2002,3300,0
74,2181,3700,0
75,2081,3400,0
76,2493,3800,0
77,2029,3300,0
78,2037,3600,0
79,2295,3800,0
80,2239,3500,0
81,2190,3800,0
82,2326,3600,0
83,1848,3200,0
84,2436,3700,0
85,2159,3400,0
86,2379,3800,0
87,2266,3200,0
88,2035,3800,0
89,2322,4100,0
90,2240,3400,0
91,2590,3700,0
92,2576,3700,0
93,2622,3400,0
94,2856,4000,0
95,2632,3800,0
96,2356,3400,0
97,2726,3700,0
98,2419,3400,0
99,2582,3700,0
100,2409,3400,0
101,2590,3900,0
102,2562,3700,0
103,2711,3600,0
104,2584,3900,0
105,2600,3800,0
106,2644,3500,0
107,2809,4000,0
108,2486,3700,0
109,2485,3600,0
110,2628,3900,0
111,2388,3800,0
112,2471,3500,0
113,2497,3500,0
114,2571,3500,0
115,2597,3800,0
116,2503,3400,0
117,2641,4000,0
118,2472,3900,0
119,2790,3900,0
120,2735,3600,0
121,2667,3900,0
122,2461,4100,0
123,2575,4100,0
124,2455,3800,0
125,2644,3600,0
126,2580,3900,0
127,2546,3900,0
128,2362,3600,0
129,2477,4200,0
130,2601,3800,0
131,2852,4000,0
132,2698,3700,0
133,2643,3900,0
134,2812,3900,0
135,2568,4000,0
136,2739,3600,0
137,2458,3900,0
138,2789,4100,0
139,2285,4300,0
140,2652,3800,0
141,2687,3800,0
142,2486,3600,0
143,2532,3600,0
144,2789,3900,0
145,2581,3700,0
146,2539,3900,0
147,2727,3800,0
148,2704,3500,0
149,2621,3500,0
150,2859,3800,0
151,2353,3500,0
152,2705,4100,0
153,2809,3900,0
154,2669,3800,0
155,2788,4300,0
156,2320,3300,0
157,2747,3800,0
158,2616,3500,0
159,2533,3500,0
160,2783,4000,0
161,2935,3800,0
162,2537,3500,0
163,2845,4000,0
164,2605,3600,0
165,2970,4100,0
166,3014,3900,0
167,2752,3800,0
168,2708,3800,0
169,2793,3500,0
170,2800,3800,0
171,2603,3600,0
172,2737,3700,0
173,2772,4400,0
174,2619,3500,0
175,2882,3500,0
176,2968,3900,0
177,2722,3800,0
178,2895,4000,0
179,2624,3500,0
180,2832,3900,0
181,2712,3500,0
182,2468,3500,0
183,3034,4000,0
184,2281,3400,0
185,2749,3800,0
186,2795,3800,0
187,2856,3700,0
188,2909,4100,0
189,2633,3600,0
190,2667,3600,0
191,2661,3700,0
192,2568,3900,0
193,2540,3500,0
194,2584,3700,0
195,2664,3700,0
196,2759,3900,0
197,2564,3400,0
198,2874,4000,0
199,2257,3500,0
200,2563,3500,0
201,2860,4000,0
202,2718,4000,0
203,2574,3600,0
204,2839,3700,0
205,2553,3700,0
206,2525,3500,0
207,2545,3900,0
208,2864,3800,0
209,2616,3900,0
210,2904,3800,0
211,2618,3700,0
212,2777,3800,0
213,2636,3500,0
214,2708,3600,0
215,2545,3400,0
216,2954,4000,0
217,2614,3800,0
218,2858,4200,0
219,2561,3700,0
220,2584,3500,0
221,2789,3800,0
222,2697,3600,0
223,2711,3700,0
224,2452,3500,0
225,2578,3500,0
226,2961,3900,0
227,2656,3500,0
228,2594,3900,0
229,2682,4000,0
230,2676,4000,0
231,2438,3700,0
232,2856,3800,0
233,2647,3800,0
234,2416,3300,0
235,2753,3900,0
236,2649,3600,0
237,2599,3800,0
238,2701,3700,0
239,2741,4100,0
240,2695,4100,0
241,2681,3900,0
242,2679,3800,0
243,2879,4000,0
244,2723,4000,0
245,2318,3300,0
246,2557,3800,0
247,2768,4000,0
248,2632,4000,0
249,2590,3400,0
250,2675,3600,0
251,2396,4400,0
252,2790,4000,0
253,2620,3600,0
254,2536,4000,0
255,2700,4100,0
256,2745,3600,0
257,2620,3800,0
258,2705,4000,0
259,2654,3800,0
260,2723,4000,0
261,2607,3800,0
262,2588,4100,0
263,2654,4100,0
264,2582,3600,0
265,2789,3800,0
266,2624,3600,0
267,2513,3500,0
