Generation,Average,Best,Updates
0,763,2100,57126
1,2046,3200,95848
2,2488,3800,117625
3,2037,3400,99261
4,2132,3400,102045
5,1997,3900,91935
6,2852,4400,124018
7,2514,3400,111876
8,2593,3500,122139
9,2531,3900,109800
10,2707,3800,117964
11,1970,3400,85163
12,2604,3500,120165
13,2567,3700,112915
14,2625,3600,112620
15,2607,3800,117100
16,2770,3700,123806
17,2747,3900,119620
18,2718,3500,119738
19,2652,3700,120552
20,2480,3600,111363
21,2537,3500,115496
22,2309,3500,100138
23,2675,3700,123530
24,2410,3400,105123
25,2706,3800,115174
26,2654,3800,116019
27,2441,3800,110449
