Generation,Orientation Variance,Velocity Variance
0,0.0947747209561662,0.0298065154767474
1,0.0477175641072299,0.00971956253594953
2,0.0486880215831267,0.00741658604031117
3,0.0464597816963486,0.00762233414490748
4,0.0360352277498886,0.00401950011724622
5,0.0359971179059628,0.00244424326745214
6,0.0439456486280909,0.0081516984788863
7,0.039488789754365,0.00363417481564544
8,0.0448458807315817,0.00406752558151928
9,0.0410491836901056,0.00462922885939704
10,0.0375996477306576,0.00480023011082801
11,0.0330236998800922,0.00504521072812256
12,0.0360096110426541,0.00526082014913251
13,0.0369697158227216,0.00542376673746414
14,0.0292303539271131,0.00446080779864223
15,0.0275953123504203,0.00430727937362965
16,0.0316088052295495,0.00389153056854515
17,0.0290050527537431,0.00263225540407828
18,0.0274450608499236,0.00307990671612774
19,0.0288760666432629,0.00392121816524461
20,0.0296169565066774,0.0040413162771278
21,0.0246190234367424,0.00465393467092995
22,0.0295964414757933,0.00317682639058004
23,0.0308064100943334,0.00295531315030111
24,0.0379671086003455,0.00281023288611706
25,0.0328609602334763,0.00289847702396065
26,0.0303565780754328,0.00233024277866205
27,0.0258441177628688,0.00224538760441042
