Generation,Orientation Variance,Velocity Variance
1,0.0976180684764969,0.014796408861379
2,0.0528829437712531,0.00348109417573667
3,0.0375276026092368,0.00199933960882578
4,0.0331558301812912,0.00412089487273063
5,0.0260914042869908,0.00115503097656456
6,0.0281684215200971,0.00162803027770992
7,0.026948866596143,0.00126743326789821
8,0.0236745313132407,0.00121311676842044
9,0.0237675122832175,0.000373030085327263
10,0.0298951889377197,0.000669664533645145
11,0.027719135422577,0.000641311210177184
12,0.025465434034005,0.000623627771122603
13,0.0238637705983023,0.00093153223525077
14,0.0241048301114648,0.000751470253968085
15,0.0193350940955533,0.00143189146810381
16,0.02304452344496,0.000650904802174669
17,0.0218734264757202,0.000491362805617895
18,0.0231596323400585,0.00113446361728709
19,0.0205812852947545,0.00159052708843561
