Generation,Average,Best,Updates
0,583,1700,46836
1,1942,2900,129123
2,2505,3700,166822
3,2409,3600,163601
4,2745,3900,184224
5,2090,3800,139813
6,1567,3100,115139
7,2416,4000,166443
8,2525,3800,171572
9,2626,3900,170272
10,2864,4200,189697
11,2790,3900,179053
12,2468,3200,162826
13,2679,3800,174616
14,2478,3400,162551
15,2509,4000,161494
16,2692,3600,178087
17,2603,4000,170820
18,2443,3400,167670
19,2622,3900,177583
20,2776,4200,183897
21,2509,3400,168988
22,2656,3500,179504
23,2547,3400,167536
24,2399,3900,162648
25,2019,3400,139729
26,2464,3700,166733
27,2535,3600,169195
28,2466,3600,167361
29,2418,3500,163622
30,2238,3600,154582
31,2658,4000,184914
32,2617,3800,175190
33,2797,3700,184000
34,2605,3800,173956
35,2831,3900,186461
36,2128,3400,147014
37,1967,3300,146869
38,2142,3700,149948
39,2525,3700,171396
40,2234,3400,155117
41,2638,3700,186148
42,2482,3600,169427
43,2709,3700,182970
44,2618,3600,171484
45,2824,3800,187552
46,2785,4000,181949
47,2709,3600,175033
48,2724,3800,186744
49,2315,3400,155135
50,2621,3500,174166
51,2707,3800,180376
52,1806,3200,127168
53,2314,3700,160363
54,2373,3700,160351
55,2436,3600,168384
56,2579,3600,175432
57,2159,3300,147187
58,1637,2800,116516
59,2654,3600,177896
