Generation,Average,Best,Updates
0,153,1500,1000
1,610,2400,10000
2,891,2500,9000
3,1048,2700,9000
4,1176,2600,8000
5,1173,3100,8000
6,1522,2900,9000
7,1663,3000,10000
8,1685,2900,9000
9,1760,2900,9000
10,1785,3000,9000
11,1859,2900,10000
12,1698,3000,10000
13,1578,2700,10000
14,1559,3300,10000
15,1922,3300,10000
16,1641,3000,10000
17,1876,3400,10000
18,1910,3300,10000
19,1729,3200,10000
20,1616,3200,10000
21,1829,3200,10000
22,1893,3200,10000
23,1889,3100,10000
24,1764,3100,10000
25,1861,2700,10000
26,1728,2900,10000
27,1714,3100,10000
28,2017,3100,10000
29,1695,3200,10000
30,1839,2900,10000
31,1648,3500,10000
32,1678,2800,10000
33,1775,2800,10000
34,1647,2800,10000
35,1853,3000,10000
36,1979,3100,10000
37,1786,3100,10000
38,1762,2800,10000
39,1788,3300,10000
40,1573,2800,10000
41,1865,3100,10000
42,1668,2900,10000
43,1784,2900,10000
44,1883,2700,10000
45,1819,3000,10000
46,1906,2800,10000
47,2050,3000,10000
48,1908,2800,10000
49,1830,3200,10000
50,1789,3400,10000
51,1933,3200,10000
52,1835,3000,10000
53,1877,3000,10000
54,2044,3200,10000
55,1859,3100,10000
56,1973,3100,10000
57,2018,3200,10000
58,2039,3200,10000
59,2082,3200,10000
60,2110,3200,10000
61,2043,3000,10000
62,2094,3200,10000
63,1959,3000,10000
64,2064,3000,10000
65,1938,3200,10000
66,2074,3200,10000
67,1772,3300,10000
68,2184,3700,10000
69,2159,3200,10000
70,2182,3700,10000
71,2176,3200,10000
72,2070,3000,10000
73,2073,3000,10000
74,2024,3100,10000
75,2177,3500,10000
76,2139,3100,10000
77,2055,2900,10000
78,2074,3100,10000
79,2076,3000,10000
80,2134,3600,10000
81,2183,3000,10000
82,1792,2800,10000
83,2261,3600,10000
84,1753,3000,10000
85,1930,3000,10000
86,1922,2900,9000
87,2121,3900,10000
88,2137,3200,10000
89,1973,2900,10000
90,2016,3100,10000
91,2152,3200,10000
92,2150,3200,10000
93,2190,3200,10000
94,2021,2900,10000
95,2189,3100,10000
96,2127,3500,10000
97,2341,3600,10000
98,2236,3000,10000
99,2219,3100,10000
100,2065,3200,10000
101,2001,3000,10000
102,2060,3000,10000
103,2188,3300,10000
104,2086,3300,10000
105,2114,3300,10000
106,2128,3400,10000
107,2034,3200,10000
108,2336,3400,10000
109,2228,3200,10000
110,2089,3100,10000
111,2149,3800,10000
112,2075,2800,10000
113,2078,3300,9000
114,2142,3100,9000
115,2190,3600,10000
116,2188,3400,10000
117,2210,3200,9000
118,2290,3300,10000
119,2193,3000,10000
120,2291,3300,10000
121,2457,3700,9000
122,2276,3600,9000
123,2424,3500,10000
124,2292,3300,10000
125,2439,3500,10000
126,2238,3200,10000
127,2357,3600,10000
128,2297,3300,10000
129,2360,3500,10000
130,2186,3200,10000
131,2437,3700,10000
132,2318,3400,10000
133,2293,3200,10000
134,2547,3600,10000
135,2369,3800,10000
136,2351,3500,10000
137,2312,3700,10000
138,2216,3300,10000
139,2350,3300,10000
140,2345,3500,10000
141,2421,3400,10000
142,2363,3700,9000
143,2215,3600,8000
144,2252,3500,7000
145,2241,3600,8000
146,2519,3800,7000
147,2381,3600,7000
148,2301,3300,8000
149,2259,3400,8000
150,2533,3600,10000
151,2297,3200,10000
152,2415,3500,9000
153,2321,3300,10000
154,2382,3500,10000
155,2385,3500,10000
156,2258,3100,10000
157,2398,3300,10000
158,2303,3900,10000
159,2189,3600,10000
160,2324,3700,10000
161,2167,3300,10000
162,2212,3700,10000
163,2399,3300,10000
164,2567,3900,10000
165,2343,3300,10000
166,2427,3500,10000
167,2254,3500,10000
168,2275,3500,10000
169,2273,3500,10000
170,2521,3800,10000
171,2327,3600,10000
172,2419,3400,10000
173,2619,3800,10000
174,2457,3500,10000
175,2441,3600,10000
176,2495,3300,10000
177,2198,3500,10000
178,2141,3100,8000
179,2373,3800,9000
180,2372,3300,8000
181,2591,3800,5000
182,2496,3500,8000
183,2195,3400,9000
184,2573,3700,8000
185,2300,3600,9000
186,2259,3200,8000
187,2514,3500,9000
188,2291,3200,8000
189,2458,3800,9000
190,2386,3500,9000
191,2487,3600,8000
192,2611,3600,8000
193,2654,4000,8000
194,2119,3500,6000
195,2405,4000,6000
196,2563,3500,7000
197,2506,3800,8000
198,2554,3600,6000
199,2331,3800,6000
200,2435,3800,7000
