Generation,Average,Best,Updates
0,468,2100,46120
1,1452,2700,99681
2,1992,3200,145452
3,2306,3100,161607
4,2342,3000,147814
5,1301,3200,75910
6,1841,3000,130014
7,2091,3100,140828
8,2143,3300,141552
9,1997,3100,137319
10,2296,3300,145559
11,2250,3600,162825
12,2367,3300,159017
13,2088,3500,131949
14,2179,3100,155148
15,2312,3400,150988
16,1555,2900,101975
17,2019,3100,124414
18,1527,2700,98346
19,1808,2600,124214
20,2171,3100,147011
21,2377,3400,151292
22,2558,3700,182736
23,2505,3300,163799
24,2596,3500,174961
