Generation,Orientation Variance,Velocity Variance
1,0.0123907982485368,0.00629144791790675
2,0.0240138681186907,0.014283322924444
3,0,0.0478766393229286
4,0,0.0774873971665919
5,0,0.0700282664859988
6,0,0.0192112991647087
7,0,0.0450038442447639
8,0,0.0267431159712097
9,0,0.0685403923501487
10,0,0.0386421861552873
11,2.42709266643269E-06,0.025965335256551
12,0.00182834937734128,0.0641292903626121
13,0.0147255168686204,0.0165697987964739
14,0.00268129224675372,0.00731965545001278
15,0.00584104960402734,0.0107507215457154
16,0.0134995843332071,0.0127560246528053
17,0.010496927296513,0.0676001294393054
18,0.0106009828833518,0.0275601510559301
