Generation,Orientation Variance,Velocity Variance
1,0.0598413572771396,0.00345710086584829
2,0.0429739468377202,0.00602939362179419
3,0.0270194193772907,0.00263229690579823
4,0.0269139327133165,0.00396361646531547
5,0.0277246679530771,0.00188134089601986
6,0.0266181441764343,0.00110594294976038
7,0.0319930168571009,0.00134528029841435
8,0.0275252068437647,0.00299564328837196
9,0.033081595674627,0.0033114426535274
10,0.0265707574605826,0.00109776877024623
11,0.0288225486811599,0.00185122200404441
12,0.0302731206339959,0.00130670778155565
13,0.0260547249581182,0.00125578760142812
14,0.0288737857519678,0.00288958815933098
15,0.0305610014352503,0.0012475687394581
16,0.0297774853147045,0.0010512156143874
17,0.0311234236666127,0.000821657650740504
18,0.0268061379156197,0.000972939712263738
19,0.037681398723674,0.00137667989317469
20,0.0337280666224915,0.00165237950077866
21,0.0326678165055985,0.000775105024008849
22,0.030095408578039,0.000404952319532884
23,0.0358185570017579,0.000891333183476678
24,0.0378508182650512,0.00182100882999932
25,0.0355799332677211,0.000808875369047321
26,0.0376386571744764,0.000913049079454718
27,0.0385002171906912,0.00195176980554171
28,0.0478142464779918,0.00071020697989523
29,0.0372273427092806,0.00077435678436459
30,0.0406908927743085,0.0012643832702362
