Generation,Average,Best,Updates
0,956,3500,94595
1,1645,4000,100112
2,2083,3600,152342
3,2158,3400,157813
4,2142,3700,140714
5,1786,3000,120177
6,844,2500,54500
7,1164,3100,80248
8,1084,3000,72835
9,1116,2500,71553
10,1430,2500,95215
11,1171,2200,81677
12,1418,3300,86924
13,1257,3100,82950
14,1839,3400,133649
15,2008,2900,137626
16,1375,2700,93993
17,2091,3100,140097
18,2463,3200,167582
19,2635,3600,186144
20,2702,4100,172924
21,2706,4000,175514
22,2551,3600,180881
23,2303,4000,151017
24,2454,3400,162206
25,1275,3100,73160
26,1927,3400,132994
27,1814,3400,115092
28,2353,3900,164675
29,1549,3000,100795
30,1317,3100,84430
31,1464,2600,109240
32,2193,3600,141833
33,2107,3300,151994
34,2034,3600,136286
35,2308,3400,150065
36,2639,3800,194291
37,2595,3600,177556
38,2755,3700,181490
39,2356,3500,152640
40,1804,3500,110119
41,2325,3700,151997
42,1820,3400,119483
43,1795,3100,114046
44,2006,3700,140426
45,1615,3000,102227
46,2441,3700,169102
47,2648,4000,180440
48,2230,3300,137373
49,2398,3500,157883
50,1997,3300,128718
51,2417,3700,163372
52,2720,4000,179212
53,2031,3600,127195
54,2465,3500,174804
55,2452,3400,158572
56,2032,3800,128721
57,2384,4400,155979
58,2092,3700,140930
59,1790,3300,114205
60,2440,3400,172902
61,2202,3400,146889
62,2306,3600,153780
63,1699,3000,112335
64,2046,3300,146180
65,2749,4000,181072
66,2699,3600,174085
67,2356,3600,152083
68,2672,3800,187301
69,2569,3500,176269
70,2860,4000,191677
71,2549,3500,168258
72,2641,3700,169245
73,2811,3500,189153
74,2611,3500,177720
75,2412,3600,154991
76,2586,3600,177308
77,2151,3300,138283
78,2265,3800,150712
79,2446,3600,164803
80,2570,3700,167758
81,2771,3700,182218
82,2583,4000,169484
83,2450,3400,157934
84,2784,3600,180787
85,2594,3800,173667
86,2368,3600,160092
87,2298,3300,156699
88,1566,3000,99174
89,2036,2900,141068
90,2405,3500,165435
91,2446,3600,159768
92,2686,3800,182028
93,1945,3300,111811
94,1834,3400,117435
95,2568,3900,179118
96,2539,3500,172397
97,2389,3500,160205
98,2473,4100,169975
99,2532,3500,167200
100,2556,3500,173583
101,2442,3500,162762
102,2292,3200,147809
103,2196,3500,147686
104,1980,3500,128985
105,1671,2800,106240
106,2069,4100,150281
107,2638,3500,170192
108,1883,3500,112755
109,2596,3500,171945
110,2575,3700,172849
111,2507,4000,165004
112,2426,3800,168151
113,2089,3500,136655
114,2318,3700,151085
115,2108,4100,145993
116,2437,3500,163101
117,2178,3600,151500
118,2169,3400,151545
119,2370,3500,172981
120,2472,3600,172841
121,2655,3700,177782
122,2748,4100,185394
123,2680,3700,178957
124,2766,4000,180354
125,2649,3900,182312
126,2628,3500,170877
127,2381,3500,156143
128,2513,3600,172613
129,2333,3300,154932
130,1864,3500,118021
131,2524,3700,175652
132,2426,3700,150538
133,2619,3600,177024
134,2049,3600,137197
135,1872,3300,122150
136,2507,3600,162575
137,2483,3600,163943
138,2521,4100,174997
139,2406,3600,159929
140,2130,3100,160601
141,2346,3700,146056
142,1944,3500,133185
143,1886,3300,117699
144,2575,3800,174735
145,2401,3100,158008
146,2769,3800,178442
147,2504,3500,168196
148,2490,3600,161491
149,2515,3400,206606
150,2469,3600,165374
151,2497,3700,166675
152,2559,3400,207246
153,2619,3500,197108
154,2355,3300,153709
155,2383,3400,185817
156,2103,3300,137906
157,1908,2800,148333
158,2232,3800,146014
159,2738,3700,233732
160,2275,3400,142804
161,2119,3200,178021
162,1876,3200,130526
163,1793,3200,113695
164,1788,3700,126160
165,1487,2600,96134
166,1703,3100,144142
167,1949,3000,140087
168,2341,3100,153568
169,2486,3600,218710
170,2620,3800,205285
171,2317,3300,155905
172,2575,3600,176950
173,2313,3300,188744
174,2245,3600,154110
175,2429,3700,183041
176,2425,3500,179472
177,2430,3600,172481
178,2383,3600,141495
179,2448,3500,152144
180,2467,3500,167599
181,2695,3700,183525
182,1928,3400,131156
183,2539,3700,170688
184,2749,3800,182566
185,2410,3400,156680
186,2214,3600,149811
187,2422,3200,164655
188,2523,3600,176420
189,2070,3500,137119
190,1996,3600,124377
191,2235,3600,154669
192,2529,3800,182396
193,2528,3400,177868
194,2486,3300,164034
195,2629,3400,176417
196,2761,3700,180562
197,2313,3400,159626
198,2391,3900,149653
199,2618,3600,192954
200,2411,3700,206091
